,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
GALNT3,-0.10942222,-0.14114381,0.27217096,-0.0028853123,0.053829957,-0.07096815
PTK7,-0.03037803,0.12226837,0.026698966,0.19357581,-0.086818255,0.07847532
IGFBP4,0.18945055,0.1623031,0.14376542,-0.016959598,-0.0031626995,0.041081596
FZD7,-0.015814846,-0.08590807,0.20010452,0.08863609,-0.17494828,-0.14491054
ADAM22,-0.1255724,0.03738215,0.15400895,0.12802954,0.19917828,0.0040873643
LOX,-0.009249075,0.13110997,0.06782011,0.019297844,0.039744105,0.13495022
MMP11,0.075824924,0.013118437,0.0587339,0.0118329385,-0.15273802,-0.03267406
PDGFRL,0.021189053,0.15673122,0.15320647,-0.11721956,-0.13637926,-0.0042686025
IBSP,-0.087604195,-0.13507004,0.23152217,-0.021931665,0.21163455,0.26706937
GPC2,-0.058265947,0.002863527,0.061983515,0.19035895,0.09106971,0.1061793
IRX2,-0.0884817,0.01985375,0.07957008,0.079817906,0.10364868,-0.008941888
IFI35,0.20012134,-0.14040369,0.038458407,-0.0049198726,-0.02122016,-0.16059574
CTSH,0.22225542,-0.09260473,0.024305688,0.0033395253,0.0133709805,-0.16011856
LRRN3,-0.089912914,0.11805333,0.12061331,0.07188883,0.07246055,0.16583319
CADPS2,0.11252245,0.08334575,0.19933006,0.00093196187,0.01048587,-0.008131313
ADAMTS4,0.07031515,0.21546674,-0.014970414,0.106936224,-0.12785244,0.12866414
WNT5A,-0.056480728,0.022520445,0.029781353,0.13970254,-0.15305074,0.002872974
GIMAP4,0.31482592,-0.03752561,-0.02645565,0.049631502,0.25814492,-0.098833345
TM4SF1,0.22454253,0.1562654,0.014366408,-0.04782819,-0.0041370057,-0.005133649
HSPB8,-0.05040146,0.05473204,0.052681014,-0.018167928,-0.07980924,-0.11666854
DLX1,-0.16415818,-0.079929344,0.06575783,0.1696335,0.109391935,-0.040733
ATP6V1B2,0.12620933,-0.23763946,0.101850145,0.05920067,-0.23228249,0.32457623
ACTA2,0.14849962,0.16027549,0.056311324,0.009315886,-0.14569663,-0.07553533
SPI1,0.25722826,-0.22779523,0.048856225,0.03303192,-0.0853852,0.22273351
CDC20,-0.13298276,-0.02546004,-0.084339954,0.35035557,0.027239189,0.050628554
RARB,-0.057693906,-0.19508323,0.23496732,0.069530845,0.105430365,-0.0408683
SULF2,0.07047428,0.103820436,0.0026399095,0.120922014,-0.104629755,-0.075097844
APOE,0.2539119,-0.032743253,0.025686085,-0.013167186,0.097574286,0.048939556
PITX2,-0.09303744,0.052822433,0.044364754,0.041346792,0.0019199803,-0.08769592
SLC29A4,-0.1347502,-0.10810324,0.21304736,0.013970384,0.008421647,0.013886727
SPOCK2,0.17553161,-0.058589958,0.16684753,-0.0043343706,0.14381512,-0.058252856
LRRC25,0.2892387,-0.15288645,-0.01451362,0.06339623,0.006451816,0.20008013
CDC42EP5,0.015324728,0.14036506,0.10875818,-0.15272398,0.023223998,0.076174214
ISG20,0.22105087,-0.020525225,-0.08539186,0.10026663,0.015703324,-0.117093764
FBN1,0.15913752,0.2245211,0.094124466,0.0017407942,-0.22825897,-0.05452307
GABBR1,-0.07225158,0.09485245,0.17414689,-0.024671474,0.046360303,-0.040233724
NRXN2,0.0010634048,0.096082546,0.18138929,-0.015830174,-0.036564473,-0.09973996
NINJ2,0.00043645717,-0.038337342,0.20127551,-0.093831144,-0.074559785,0.00039966614
PROS1,0.085628755,0.062187687,0.19908611,-0.012001629,0.0048447046,0.07720994
PPFIA2,-0.07038827,-0.17823356,0.28714812,-0.028621804,-0.01220522,-0.13381675
TNFAIP8L3,-0.11009115,0.1223776,0.11175205,0.047829777,-0.016745225,-0.032085173
TSC22D3,0.070156105,0.0053825183,0.11458991,-0.08377371,-0.099791005,-0.17689346
BMP7,-0.117933825,-0.007473027,0.1076561,0.11203869,0.18106838,0.12404971
FN1,0.11766229,0.09977342,0.15992036,-0.02847053,-0.2832981,-0.015141941
CAV2,0.18043503,0.21566007,-0.07684817,0.013859624,-0.1026238,-0.039410483
STEAP3,-0.057060637,-0.1498093,0.18742196,-0.02801897,0.0901128,0.061319407
LCP2,0.32276088,-0.11847785,0.041776665,0.060679484,0.06717194,-0.010844123
COL15A1,0.17344257,0.13558723,0.098276295,0.062652335,-0.13373877,-0.008191035
SDK2,-0.17007865,-0.07747973,0.30917898,0.019900486,0.1421684,0.003019673
LSP1,0.1947618,0.22374824,0.012430292,-0.032792337,0.033583704,0.05118127
SLC38A5,0.0034109193,0.14213775,-0.14652163,0.0040482245,-0.02684778,0.047493443
COL11A2,-0.16750021,0.026305195,0.17301223,-0.010557948,0.25958362,0.1323317
BAMBI,-0.15704298,-0.21307823,0.2745449,0.005212036,0.18809466,0.124364994
AEBP1,0.092681006,0.21461192,0.11333478,-0.06281767,-0.27128688,0.04358274
TGFBI,0.057137214,0.20515175,-0.008130429,0.11522046,-0.0911304,0.21756087
SNTB1,0.031259194,0.09903763,0.14015321,0.09020863,-0.07186013,-0.09296339
ANGPTL4,-0.094353765,-0.03738961,0.173183,-0.013462163,-0.034209013,-0.050447155
SCD,-0.11036744,-0.069433145,0.053516,0.15030004,-0.025222437,-0.09516337
