,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
SLC7A5,-0.03961754243932422,0.0009052843289548151,0.001602500413441866,0.04798612096146602,0.029151583666018548,-0.023867461788000005,0.011084667413057825,0.026827349264468562
COL12A1,0.018480137386787512,0.06265254153099634,0.035151051771948896,-0.015968161614166615,0.05235239130156491,0.062335311657907656,0.020663201560739638,0.01353326841686289
CPE,-0.06271400549283178,-0.022329005889700555,0.07027298473915371,-0.013527485552580678,-0.0410030657094134,0.043238397194889984,0.0053208900169623395,0.054214037649528556
CTSS,0.08031918229151125,-0.0288339289571869,-0.020807502292788403,0.048861671795405244,-0.006103051724270499,-0.0022133965252269247,0.057173564143416095,0.08220381686142998
TSPAN33,-0.017730022405738795,-0.04102549226817628,0.01873412671757498,0.05461521103221739,-0.04758492867258966,-0.009219835893328105,0.07804613457076076,-0.007646404586061242
DPT,0.022487587913379754,0.014484406756739922,0.04305179650634049,-0.06841776384974875,0.040291677221598675,0.022311111579587685,0.029449200778492737,0.05013659245429245
MAPK13,0.022468472524151722,-0.004032227326650157,-0.002467555518834723,0.03853962416657978,-0.009216178623395504,0.04630790092620911,0.06513951816954812,-0.019257373589894277
FLNC,0.01046715745698342,0.06783083251599378,0.00825328690617928,0.03748069642729136,0.020864872444113874,-0.026078023011212093,-0.028221088129061225,0.004936429135169406
LRP4,-0.04772552779376449,-0.045686372676463555,0.05718573252584199,0.002516104214684077,-0.012864389839002253,-0.009736366585591426,0.012166852148060348,0.015270775705898552
ITGA2,0.021621063641036446,-0.06463481397449602,0.055925657437514355,0.018625557203624795,0.03561026564549797,0.06038364975104816,-0.06550521420714649,-0.049491382619534514
ENTPD3,-0.010030663251149591,-0.05080697780174527,0.0496415455426369,-0.006667885869572274,-0.006063311975577016,0.04658598847115568,-0.027625931414562488,0.04224096452663481
C1QTNF1,-0.006970632612501457,-0.05409600408846475,0.07361618848215858,-0.07303655027817496,-0.018495243225360176,0.03537467276154217,-0.012046249865250679,0.04610542755869324
NRIP3,0.024593119353922246,0.004970309169391989,0.026374812573292092,0.0392462693359552,0.016263971212518297,0.06787150813582296,0.01580547995527333,-0.024699844342469163
FBLN1,0.022855443479912592,0.027604492430975413,0.06298440891823384,-0.026972261668353065,0.02827296423273375,-0.07623918653567634,0.036962332258769166,-0.043736762369854826
VCAM1,0.05301843307403327,0.014595194466587524,0.039036660423802,0.029783312900622434,0.009854203132924403,-0.011978535163880037,-0.00910124258877895,-0.0024638212781391312
RNF150,0.0013110488173597155,0.03748994639101977,0.04468095454607492,0.04951519384840347,-0.021018837867421338,-0.013735938352635781,0.04264711843665271,-0.04854201909395529
IL11RA,0.01050092663348505,0.0679578449871452,0.023991854167857023,0.03108588007898305,-0.033681679983247365,-0.001138023510146857,0.06243908974008182,0.012678149874804413
HERC5,0.022729952713782912,-0.059001788438056,0.01878399640726146,0.021064567547383093,0.011849382500248098,-0.061601066793481325,0.022310460104362412,0.04065774213991772
RHBDL2,-0.06325847336142673,-0.044739751702819346,0.037506172482378974,-0.03372951157047994,-0.032272139429520626,0.030813033756233683,0.02124580698334816,0.053364162073993415
AHR,0.04754034536045563,0.04415311590667199,0.023684381489467658,0.03399077263258882,-0.015767683739112123,-0.017571797614983682,-0.05186185094639753,0.03482706649988429
MMP2,0.028871063394350922,0.07220486109185802,0.03786345308124392,-0.028300105480678454,0.024293688016005552,0.009778226913988776,0.053468122039912414,0.028506452011977094
DTNA,-0.010291425006749729,0.011132786196618602,0.018493055896035407,0.015679489123008476,-0.07468648970694976,-0.03953869886721945,-0.026732970303828145,0.05684106480113707
ECM1,0.0485772968952903,0.01487125639030771,0.040124142443009075,-0.027257635181733856,0.020489210184150043,-0.009335730465572708,0.0030057106889471025,0.044684331652894135
KCNG1,-0.042275316008548704,0.004480230046963885,0.01983210111951378,0.04429609506070777,-0.007746313589233865,0.021108448896158562,0.0074454101223508234,0.0017532360729455448
HEY1,-0.0405615175591456,-0.051483854375507704,0.04546006338753684,0.021651306205632766,-0.03591310276777916,0.013373756423273927,-0.030396649018776877,-0.03896023560381284
