,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
MYOM1,0.005325496233185228,-0.006165512597428979,0.03198821729655586,-0.0014616493624213754,-0.04568825679665016,0.004791211109402207,-0.011517922827483318,-0.002501187399101985
PRSS23,0.03139325963209388,0.036515621412679534,0.016616841774206578,-0.01604199016813114,0.036517462266714804,0.012977870665698601,-0.011136840037526836,0.01428527023544259
SCARA5,0.01639761255695671,0.014275188272732933,0.037127354175568394,-0.006070077064759559,0.006717778049862763,0.027809543428952477,0.02196306412731079,-0.010107196399647292
ABI3BP,0.02667745914407501,0.05349693053696038,0.030656932075724466,0.008579882531889828,-0.01539628041141123,0.006371841783085213,0.013858304774002347,-0.021299657489872285
RHPN2,-0.03900248254682913,-0.009545953398763834,0.024002427240492494,0.025127666714313282,-0.044004635370529704,-0.02662140178748816,0.02171603623956924,-0.011070539107526273
BMP4,-0.025547801211750966,-0.050388369499184446,0.023610784761128746,-5.042380464705072e-05,-0.00895342732872597,-0.020239726516458167,-0.004150897178028822,-0.009581169534607806
OAS2,0.039512223692598734,-0.02013296398866759,0.0008699519036081968,0.002556143939971384,0.010480504062997081,-0.030943142053530794,-0.019056950641486468,-5.899301027637721e-05
GLDN,0.004977355261411522,-0.03092000510919585,0.050036901342006994,-0.030025808557529045,0.021917652211649197,-0.020307163876588957,-0.007641932659986255,0.013233054176983242
DKK1,-0.011530273245577816,-0.017920806551942104,0.026364876398535,-0.0012087528277370814,-0.04501503265823615,0.013183714779110458,0.014912629888309761,-0.04568979033685587
ASPN,0.0016962330828250416,0.062029122498544934,0.020072880358014175,0.0036871678405233,0.03486778084499576,0.004982341165474381,0.03945588775116633,-0.026363039965016623
RARRES2,0.03127341327395138,0.04538551908168233,0.007084660502836713,0.010113244552292823,-0.013508139846003651,0.00326998524402582,0.02095394351295395,-0.011922585004367776
TFAP2A,-0.019980327935227964,0.0017469011503125314,0.013555927354925244,0.029667334164942594,-0.013376004849460815,-0.017647302461358975,0.005961840410350903,-0.014950831014063628
COL3A1,0.007194592095807768,0.06921466335845418,0.022682759039262364,0.0033798124824760355,0.028911469889319617,0.03218580483553078,0.029632055297065835,-0.005694163203772368
SPP1,0.021501951046741317,-0.05267151844633908,0.009848188356433318,-0.0019790751109954796,0.01843132478126725,0.040980520136173544,0.061209366803825396,-0.03341449794554853
ESM1,-0.00650805233214642,-0.011562943900944193,0.002556907688110778,0.01744084519084041,-0.014856900457214854,0.03703315624918589,-0.02973633857163803,-0.021535344994788125
BIRC3,0.04023170476327925,-0.04140200803581166,-0.007002797221713089,0.010155555244160867,0.027705167500181625,0.02421704479938408,0.0029516617039634123,0.007509929955175622
TCIRG1,0.02859963167254624,-0.05642083293094724,0.008186839343578858,-0.005370239852462297,0.048696670453503524,0.0456001378085834,0.04923403793618635,0.009059716726405726
OAS1,0.031052638509837915,-0.025840448116638486,-0.005006276710628018,0.007139785637237868,0.012294499890716667,-0.050843216281865174,-0.010981254969658925,-0.006839458289302856
CD248,0.012423069601276813,0.04006280252498057,0.023527481960818705,0.017757681550214188,0.01656329786655449,0.023817570532874983,0.06086496453856558,-0.00350271382887224
TNC,-0.00801100495653808,0.006060089071166082,0.03776702908583367,0.006091006130654527,0.045460718039797586,-0.00645006825945893,0.009219935538607919,0.0026825196744443957
COL5A3,0.018339865870932986,0.013036623268063924,0.038897971706344396,-0.0032786983375349987,0.0021785940490082144,0.034906164503521346,0.012843876669919888,0.06565414214693603
APOC1,0.04385155740443074,-0.019270995958098378,-0.02700682895797068,0.03336923804196974,-0.007582345236995764,-0.018802378310347975,0.027029968936293846,-0.0335537162663221
COL6A3,0.009929721368725932,0.05181859707222401,0.02951065731540517,0.005530000117761959,0.05635240549179427,0.015233867640468041,0.004066079206013587,0.00959461288044192
ENPEP,-0.01176232527079114,0.008178151237729242,0.04014087060648463,0.027596409182225074,0.0174752540032879,-0.004283753125651296,0.007736243089882916,0.01345771133354957
ECM2,0.009179412295149326,0.04452664900701217,0.02985715513424679,-0.010352058663269267,0.04560985451252885,-0.01185739674775757,0.018644927719921666,0.006426743650498468
SRPX2,0.02768959846988721,0.0038922705483112464,0.011250425912966483,-0.021698631844716668,0.05961684251228198,0.024908111987842686,-0.011846431091433754,-0.012800118315166704
COL24A1,-0.036661178268374485,-0.022509249762987564,0.03333876578443081,0.006887060779941681,-0.011466701701014726,0.024720953437975323,0.02110466588166986,-0.044878605600719663
