,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
ABI3BP,0.06395095,0.3762371,0.014513095,-0.00059313385,-0.011123601,-0.14952682,-0.0030900002,-0.030756408,0.052373324,-0.10013649,0.017293574,0.011061358,0.0026268703
RHPN2,-0.108222894,-0.053920604,0.14578083,0.024400327,-0.016027223,-0.1425742,0.1751903,0.0364185,-0.16090384,-0.09111377,0.0032415944,0.0062597874,-0.2701673
BMP4,-0.03882458,-0.2626395,0.21586347,0.040011395,-0.004290195,0.015685966,0.09631387,-0.003323969,-0.11727651,-0.027157895,-0.15541646,-0.17745495,0.02206485
OAS2,0.18937945,-0.04866493,0.043434314,0.00900968,-0.033707608,-0.0021602742,-0.0590599,-0.2647097,-0.12876152,0.031897247,-0.11757033,-0.17987211,0.26712883
GLDN,0.047913555,-0.068037346,0.29477945,-0.020679383,-0.04746887,0.07845376,-0.045487702,-0.1023373,-0.031617697,0.06630668,-0.07570498,-0.06335342,0.20435473
DKK1,-0.0052305483,-0.047559146,0.14304549,-0.004210273,0.10458804,-0.11993821,0.19224697,0.027467238,0.015230906,-0.20058872,0.061083365,0.007633933,-0.04867131
ASPN,-0.046650365,0.41722462,-0.054841064,0.0017131006,0.07565406,0.04962388,0.027657019,0.0012817553,0.00036809972,0.05994738,-0.22003324,0.14414732,0.022855924
RARRES2,0.08795696,0.3015363,-0.07317942,-0.0039151204,-0.028326835,-0.13821653,0.065855145,0.014748819,0.023693154,-0.04386142,0.06319411,-0.04435591,0.09180284
TFAP2A,-0.03977762,0.031252492,0.05664139,0.015641082,0.18954952,-0.03206858,0.12109524,-0.105548956,-0.17568244,-0.0017506643,0.046488676,-0.11040545,-0.20146053
COL3A1,-0.037803367,0.4346729,-0.07247128,0.0054300902,0.11987663,0.009163282,-0.012897491,-0.030196333,0.1330274,0.10153851,-0.20150162,0.033073988,0.0015636268
SPP1,0.14427693,-0.06897253,0.10408132,-0.0024859377,-0.014504405,0.22385442,0.3119703,0.22408979,0.18825924,-0.10880583,-0.005461502,0.020007249,0.012317937
ESM1,-0.0013154108,-0.09317049,0.019207563,0.02208901,0.30696657,-0.033997506,-0.009600463,0.11154645,0.094648026,-0.020200625,0.012688008,-0.29222953,-0.15215091
BIRC3,0.20430255,-0.06295905,0.015621932,0.01967261,0.0059589036,0.18619555,0.07343992,-0.14589621,0.09497464,0.0005204156,0.26544133,-0.0066775633,0.0026327153
TCIRG1,0.16160549,-0.03787832,0.1089648,-3.6561487e-05,-0.07991512,0.3482619,0.2635899,-0.07232259,0.21083924,0.031364918,0.13540405,0.0018357834,0.0050626746
OAS1,0.17860574,-0.083355695,0.04363485,0.03754551,-0.09052824,0.0054542623,-0.0041512027,-0.20298561,-0.2181343,0.028229533,-0.14633247,-0.10831214,0.30720478
CD248,0.014938506,0.34680098,-0.0065095415,0.003484313,-0.0039536655,0.008534401,0.17833869,-0.116788074,0.07586452,0.02672145,-0.15252605,-0.03203514,-0.09954134
TNC,-0.030964483,0.13305907,0.1467968,0.098340206,-0.12287388,0.13059703,-0.07362871,0.0013200382,-0.011105315,0.03616541,-0.23288691,0.019724838,0.08876524
COL5A3,0.043210756,0.12826277,0.12899919,-0.0018668965,-0.0013403451,-0.04663515,-0.00038587616,-0.025872149,0.16631854,0.29214764,-0.107598305,-0.15546395,0.008072186
APOC1,0.24804053,-0.030089416,-0.101094104,0.011140505,-0.0019214604,-0.014055528,0.13458273,-0.012801089,-0.106266424,-0.068399295,-0.106130995,-0.011958387,-0.005124125
COL6A3,-0.013854776,0.35188407,-0.0069645364,-4.423489e-05,0.02323559,0.12638283,-0.14179802,-0.108984075,0.03659209,0.11802819,-0.19566882,-0.18479714,-0.090000056
ENPEP,-0.013384457,0.13983595,0.13943832,0.08411217,0.18159442,0.03791095,-0.0022223901,0.05674861,-0.08424101,0.17849435,-0.061126947,0.120528385,-0.09455347
ECM2,-0.009914863,0.32437754,0.04016667,0.006173586,-0.067259744,0.059913766,-0.08348446,0.015316103,-0.019947646,0.14476962,-0.18519913,0.1289388,0.218766
SRPX2,0.07165802,0.10643085,0.0038808822,-0.047158726,-0.034774516,0.22227325,-0.16791573,-0.0063850684,0.12652549,-0.019927204,-0.097693555,-0.30452958,0.0831608
COL24A1,-0.09431649,-0.07530736,0.20247984,0.0813758,0.08869385,0.00016767003,0.16575919,0.017306611,0.0784874,-0.18610023,-0.25418803,-0.005257364,-0.13956624
AIF1,0.2965565,-0.012747358,-0.09113156,-0.040442728,-0.0465375,-0.08832692,0.05153472,0.19144145,-0.12027192,-0.04505425,-0.18921143,0.00216989,0.0051908516
PRSS35,-0.059383947,0.11996748,0.11291853,0.008882206,0.07160048,-0.055126276,0.039556343,-0.022262331,0.1661517,-0.22366233,-0.2350482,0.020985838,0.2095635
LRRC17,-0.024140066,0.28128704,0.0012935728,0.04919842,-0.08674516,0.010158959,0.013016085,0.00014508446,0.14433898,-0.07101529,-0.20361677,0.12352603,0.0020316944
GAS1,0.04753458,0.29864025,-0.0031505316,-0.010748806,0.06331714,0.04004287,-0.086045966,0.09729165,-0.004232154,0.08295633,0.066567354,-0.066908896,0.2318324
COL9A2,-0.08450142,0.18914002,0.020807616,0.015167424,-0.0056505734,-0.071309686,0.281325,-0.034830913,-0.049044963,-0.0051478264,-0.021395124,0.12830307,-0.12804265
ITGA11,-0.0036034868,0.23386623,0.0651323,-0.04790056,-0.047186643,0.30786648,-0.12493732,-0.09429977,-0.055929642,0.07958628,-0.19914196,-0.012783724,-0.018933771
ALDH1A1,0.11014779,-0.0043430473,0.001179855,0.093494855,-0.07944015,-0.01804687,0.114283316,0.120857,0.0012220469,0.093276896,-0.026442824,0.070387416,-0.14272082
PRICKLE1,0.004975603,0.31667793,-0.037855048,0.026463294,0.012936264,-0.10604319,0.0419941,-0.06366468,0.027293334,-0.040929664,0.021481138,-0.0082166,-0.2444553
AQP1,0.025089037,0.103086546,0.24511723,-0.09120173,-0.12146973,-0.034345213,-0.08995385,-0.118492246,-0.045616142,0.0007537806,-0.029397156,-0.19710037,0.14283504
HAS2,-0.005680897,0.30391052,-0.11672984,0.073425114,0.21825854,0.006084032,0.0032243037,0.10584683,-0.010108327,0.07731178,-0.11364238,0.06690793,-0.062093455
COL14A1,-0.0023370464,0.39424682,-0.032717273,0.0015412865,-0.014395919,-0.12695223,-0.0417007,0.27566037,0.0061761043,0.11080417,0.0004810009,-0.02010982,0.0061440393
PLXDC1,0.051279232,-0.032325793,0.25187892,-0.09816287,-0.16085938,0.12380855,-0.16523528,0.12658136,-0.13280596,0.1763481,-0.12688838,-0.02904063,0.045646917
FOS,0.064650685,0.012810237,-0.009083515,0.061158836,-0.029453738,0.0030788041,-0.040883303,-0.010796875,0.10238615,-0.038273178,0.09203504,-0.3999002,0.11531341
CDO1,-0.057756964,0.14244908,0.07177503,-0.0006974767,-0.053357173,-0.106580466,0.12059952,0.08053612,0.024782697,-0.11384621,0.030107114,0.02400212,-0.10474712
MAMDC2,-0.0004145154,-0.11774699,0.24870542,0.01142307,0.1131355,0.10433284,0.054859824,-0.059344426,0.15887244,-0.119439766,-0.20910501,-0.13146047,0.0009604391
DDIT4L,-0.003096067,0.25082025,0.05795963,-0.015903886,-0.029959837,-0.07444174,-0.1451052,0.036990434,-0.15376845,-0.00078896875,0.02772711,0.031474855,0.13400614
COL18A1,0.07201342,0.20365475,0.0787796,-0.048740253,0.04234546,-0.16939038,0.18120624,-0.18907866,0.10443247,0.28993782,0.052039344,-0.29996923,0.002490982
TNFAIP6,0.043342084,0.33401597,-0.06533996,0.0043659024,0.0043375716,-0.007550272,0.02503598,0.0674117,0.10258256,-0.036643457,-0.13577881,-0.15507475,-0.02230293
HSPA2,-0.021109847,-0.043562792,0.18442,0.06591397,-0.041571826,0.034029163,-0.025396278,-0.029321859,-0.18495786,-0.005794098,-0.012278628,-0.15508875,0.057378054
NT5E,0.06012134,0.10805409,0.12110791,-0.06855616,0.20619589,0.21607074,-0.17317833,-0.0091617545,0.06713108,0.03397001,0.06869673,-0.15249488,0.11148922
ANPEP,0.09322154,-0.019948764,0.09446338,0.060334075,-0.088368766,0.29841474,0.20133147,-0.005691021,0.10688277,0.1254426,-0.14776163,-0.014941299,-0.15291484
PHOSPHO1,-0.07627278,-0.11760604,0.19243962,0.0016349779,0.06952917,-0.07071721,0.36927453,0.01597711,0.11972491,-0.22319227,-0.13838655,0.0018906579,0.027611835
RGS5,0.07598163,0.2236137,0.16964643,-0.012059499,0.0654149,-0.20081499,-0.00080345914,0.073038,0.10894483,0.06625206,0.007878171,0.02360048,0.11594515
FLRT3,-0.025296388,0.22324052,0.05165267,0.1257152,0.063398205,0.070963725,0.13702637,0.05346331,-0.09023738,0.26222095,-0.017610911,0.16648504,-0.03311359
SYTL2,-0.05823296,-0.04205631,0.12175176,0.055439148,0.080015615,0.0007451416,-0.09624624,0.08737792,0.16099775,-0.09809814,-0.29228795,0.011065749,0.14309883
BAALC,0.02239745,0.069185086,0.054075938,-0.059773125,-0.021022823,-0.03362013,-0.025391376,0.29149005,0.071435034,0.08944016,-0.11282555,-0.24706519,-0.013532323
SOST,-0.049318608,-0.09275139,0.21887645,-0.005622941,0.052145366,-0.09249495,0.37280503,0.14951077,0.0050401497,-0.15225673,-0.013946289,0.0045377375,-0.09356554
SLCO2B1,0.3123423,0.045868766,0.019229399,0.01741845,-0.0022684885,-0.09065986,-0.050500926,-0.03482676,-0.12133253,-0.030818097,-0.19021975,0.09484371,-0.07573407
SEMA3A,-0.032439325,0.29485345,-0.07718899,0.077178776,0.004738303,-0.0002727771,0.039215427,0.016395543,-0.03967011,0.048078552,-0.03344136,0.09768837,-0.11065689
NID2,0.034403272,0.26621336,-0.0714395,0.12209185,0.33490855,0.0055324333,-0.10523651,-0.005038901,0.14206223,0.16874263,-0.037699476,-0.0934467,-0.26813367
QPCT,-0.011879237,-0.09521319,0.15290031,0.015526778,-0.037531827,0.056028746,0.1885686,0.16473393,0.07752282,-0.103472695,-0.12583655,-0.02790358,0.08878172
SLIT2,0.0005910981,0.1061368,0.25891024,0.001733586,-0.0052349763,-0.00058298267,0.10054512,-0.14792383,-0.028219294,0.07985116,-0.017387135,0.21363975,-0.14663953
CA3,-0.04228698,-0.10988469,0.1402223,0.069317885,-0.035761137,-0.1255106,0.25918278,0.22572134,0.15179314,-0.1753934,-0.09614804,0.0017629509,0.065529324
OSMR,0.11693072,0.22777171,-0.011853986,-0.0021773453,-0.109251894,0.15602776,-0.096037954,-0.04865064,0.19672479,-0.11070925,-0.05661576,-0.1848374,0.002402981
EGR1,0.07160331,0.043025203,0.11348892,0.0005477573,-0.0067621632,0.002511047,-0.022896504,-0.0050201807,0.033357896,-0.040374532,0.09550976,-0.34954205,0.054487176
LIFR,0.0048976727,-0.23959444,0.2822822,0.045828447,0.2861795,0.12364381,-0.12726006,0.12317343,0.009291164,-0.021770712,-0.09692602,0.008170631,-0.055721965
FZD1,-0.009548502,0.39856976,-0.072309546,0.035200734,0.33329937,0.057521146,-0.0978058,0.017748622,0.015877761,-0.012352039,-0.08824047,0.016178217,0.03948392
TGFB3,-0.003848361,0.32268456,-0.035469465,0.07947731,0.0151678175,0.01683629,-0.049285337,-0.08357099,0.1459272,0.17148572,-0.11448061,-0.051058173,-0.1388083
COL8A2,-0.07194102,0.28470147,0.062068786,-0.06192216,-0.021003315,0.18405318,0.057940155,0.11291116,-0.28231764,0.20394285,-0.107559994,0.12252039,0.008583377
PSAT1,-0.08354752,-0.021764098,-0.0242459,0.21633425,-0.04619539,-0.06885329,-0.031947315,-0.112148814,-0.20158334,0.13104329,-0.052644007,-0.0056613195,-0.03152615
SLC7A5,-0.067731604,-0.07300408,-0.0052737296,0.16179352,-0.10812638,0.0005042136,-0.031308316,-0.2233949,-0.052681368,-0.096839055,-0.039576527,-0.2783806,-0.15015064
COL12A1,-0.013188121,0.35024393,-0.010278297,0.00035146176,-0.006853651,0.14291501,0.00035784178,0.1670058,0.102698736,-0.02770231,-0.22351284,0.03591854,0.016206315
SMOC2,-0.029076543,0.3952005,0.037313182,-0.061826818,0.009113128,0.058892075,-0.007746232,-0.05980281,-0.036630232,0.023517406,-0.09028987,0.03617175,-0.008645862
CPE,-0.11406543,-0.11146849,0.27482542,0.00072111055,0.20942128,-0.027744912,0.159294,-0.108556464,0.04679441,-0.16411701,-0.2020068,0.008904747,-0.11093585
CTSS,0.300976,-0.00061198085,-0.108562775,0.008896651,0.012230429,-0.074363954,0.0038954453,0.1545048,-0.116420545,-0.07664234,-0.2383364,-0.040998016,0.0054555903
