,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,group
DOG2::57_0709_tumor,-2.1749332,-4.5174184,1.7584684,0.0176246,0.10104868,0.081957206,-1.1718014,0.48248604,DOG2
DOG2::58_1104_tumor,-4.045912,0.63152415,4.238484,1.9275106,-0.7725742,1.8986896,-0.17166087,-2.5451217,DOG2
DOG2::59_1003_tumor,-2.7310054,2.6924963,1.1134821,-1.9561639,-1.5436548,1.5938706,1.8999768,0.32154676,DOG2
DOG2::5_0220__Tumor,1.6881932,-0.15922213,-0.42492354,-2.4950233,2.5535827,3.186721,0.24288091,-1.7152747,DOG2
DOG2::5_0817_Tumor,-2.877893,1.2536349,1.5487707,1.2701004,-3.1059442,-0.92226684,0.95888907,-0.93736815,DOG2
DOG2::60_1415_tumor,-0.48146895,-0.582976,3.2850025,0.23207073,0.3858798,-0.02209449,0.69977003,-0.7110454,DOG2
DOG2::61_1005_tumor,-3.2502627,-1.8520435,0.67206305,-0.15281406,-2.1996965,-0.54921454,-0.91478926,4.931975,DOG2
DOG2::62_2003_tumor,-0.41078338,-3.2011344,2.2637947,0.98447186,0.6617559,0.626506,0.12992248,-0.9282401,DOG2
DOG2::63_1411_tumor,-6.6991515,-1.6263992,2.316464,0.8943011,-1.4178193,3.2517388,0.8705066,-0.115796536,DOG2
DOG2::64_1009_tumor,-5.504199,-1.6454666,2.1994796,-1.0090622,-3.3025599,3.535258,-0.026812186,0.8342586,DOG2
DOG2::65_2009_tumor,-2.9878006,-1.5164729,2.784066,-0.7869597,-3.3151302,0.56097966,-0.23402888,-0.6820729,DOG2
DOG2::66_0206_tumor,4.730884,-0.025207091,-3.9204895,0.74450403,3.1259344,-0.51840997,0.27732664,1.3882703,DOG2
DOG2::67_1909_tumor,5.2379737,0.74118364,-0.48757774,-0.7634999,0.6119299,-1.6052057,-0.16253442,-0.65728694,DOG2
DOG2::68_0210_tumor,2.8737612,4.126025,-1.8952512,-1.5799881,-0.105245054,-2.7539446,0.4844289,-1.2100966,DOG2
DOG2::69_0222_tumor,-0.82113546,-0.4940336,-1.4192271,-0.24420248,4.0326123,-0.14278871,-0.17638831,-0.23789349,DOG2
DOG2::6_0305__Tumor,-4.5745826,0.9916374,0.71950257,2.0457673,-2.254193,2.053546,1.2485583,-1.2015591,DOG2
DOG2::6_1012_Tumor,-4.9380374,-0.38309288,-4.61942,2.3824337,-0.28521448,-2.0304174,-1.9453616,3.333956,DOG2
