,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11
KIAA0040,0.06934623,-0.02775829,-0.050942443,0.088480905,0.033172615,0.47417632,0.025039215,0.031698868,-0.045827266,0.020862568,0.09632785
KIF15,-0.0008244376,0.06324661,0.40254784,-0.04915623,0.02266275,-0.0016156133,0.002461401,-0.004936934,-0.10878537,-0.043352082,-0.00875183
KIF22,0.007227162,-0.0074068718,0.36664093,-0.010921102,-0.0020002641,-0.00132372,0.0015197693,-0.0035378167,0.11382338,-0.028438235,0.008070725
KIF23,-0.0013573937,-0.0020527926,0.38979197,-0.083940804,0.03564018,-0.0010310101,-0.0038939463,0.012039609,-0.035694685,-0.093534775,0.006331051
KIF4A,-8.0835074e-05,-0.040867463,0.39169914,-0.036791336,-0.009519991,0.00045008445,0.005722714,0.059779104,0.05318059,-0.15452029,-0.00085733586
LAMA3,0.017539509,0.019194106,-0.05000778,0.17436287,-0.08308346,0.0032322651,-0.03443166,0.24134168,-0.24585421,0.11902549,-0.022663588
LAPTM5,0.26596087,-0.02856745,-0.00018545943,-0.010288967,-0.023358887,0.25359255,0.0013599858,-0.027417278,0.045697197,-0.040921897,-0.07504313
LCP1,0.25872216,-0.043322954,0.0022500176,-0.07576333,0.04352322,0.25596505,-0.03800071,-0.047092777,-0.05508361,-0.004801097,-0.01520817
LGR4,-0.08725059,0.0329906,0.11555374,0.19214119,0.11119471,-0.064903356,0.063307025,-0.13092466,-0.15906924,0.0028333475,0.01792304
LHX2,-0.023381812,0.13762273,0.20081463,0.14374162,-0.016916078,-0.017982561,-0.0097179655,-0.006079612,0.18939571,0.02755391,-0.0043610074
LIMS2,0.08004928,0.18311296,-0.1429791,-0.021098075,0.021769457,-0.09628866,0.17803417,0.00904673,-0.014790833,0.07560911,0.20815533
LY96,0.21082719,0.09078536,-0.08245369,-0.10810234,0.0042387443,0.051258896,0.01301925,0.075155936,0.01271257,-0.10123439,-0.0044131093
MAP1LC3C,0.00096676184,0.11992372,-0.120412506,-0.0380333,0.0023896506,0.1309212,0.0007014261,0.061021682,-0.21972285,0.12655957,0.011965965
MCAM,-0.034828413,-0.013666858,0.045411106,0.0074953074,0.3271424,-0.079835124,0.51525986,-0.12562639,-0.08571697,-0.08243079,-0.00938627
MCM2,-0.012193965,0.0063702585,0.3680431,0.048475184,-0.04387881,-0.00039820737,-0.003316797,0.083003074,0.04198959,0.07512313,0.008759206
MCM5,0.0013854136,-0.07846837,0.33002138,0.021804774,-0.115776986,0.0011789352,0.0013221857,-0.0006717752,0.10392022,0.0012319582,0.0105841
MCTP1,0.18448833,0.057336386,-0.028647928,-0.13146004,0.09486305,-0.00021447249,0.16223629,-0.035236347,-0.1790608,0.08023322,0.16556376
MOSPD2,0.1391137,-0.0752144,0.00039013207,0.09867031,-0.045453463,0.0076963026,0.0024790831,0.34648067,-0.092495196,0.05455212,-0.011079562
MS4A7,0.3216792,0.088074766,-0.015028528,-0.015280078,0.05377026,-0.17880572,-0.0058535165,-0.066390626,-0.06666878,-0.13217351,-0.08935483
MSI1,-0.0010056609,-0.014575401,0.10619765,0.2648823,-0.039878335,-0.09104009,-0.04668219,-0.046578225,-0.023152545,0.24654923,-0.051425736
MXRA5,0.04819643,0.35612026,-0.016312515,-0.018907245,-0.027362308,-0.0010247834,0.0060187657,0.24824515,-0.028134173,-0.21235348,-0.117734015
MYBL2,0.0052665705,-0.021280222,0.3315679,-0.07973649,0.12596348,0.0014133676,-0.015002944,-0.07419444,0.12024612,-0.12009194,-0.0035808142
MYO1G,0.31048995,0.0007928771,-0.0011182321,-0.007290943,-0.05643599,0.0027542242,-0.0030913705,-0.0049949563,0.021747641,0.1994887,-0.0024763746
NCF4,0.28404707,-0.059716597,-0.005591506,0.04404677,-0.09182585,0.17607196,-0.0030727352,-0.079731904,0.05192113,-0.057865154,-0.007293182
NDUFB9,-0.00077490666,-0.16973017,0.12676468,0.039474864,0.05470038,-0.0009739154,-0.0228133,-0.09989429,0.08564574,0.07813917,0.015166511
NETO1,-0.014678796,0.05404952,0.14803386,0.011682357,0.010786834,-0.0026670329,0.09113003,-0.3044859,-0.016154379,0.09772332,-0.022024821
NFAM1,0.30870068,-0.009189882,0.007064158,0.0051585687,-0.096686475,0.11177949,-0.0013791422,-0.06299799,0.0044044573,-0.005109722,-0.00028436875
NR2F1,-0.01787811,0.18607631,0.12768757,-0.037492167,-0.07861971,0.0006840355,0.24546681,-0.10825244,0.029419433,0.035440188,-0.02087156
OAS1,0.21741615,0.0012616586,0.066853754,-0.00017891412,0.18781981,-0.058697563,-0.06775361,0.34741068,0.24726477,0.006892952,0.33585352
OAS2,0.19432735,0.0019064125,0.03714682,-0.053141367,0.23500217,-0.034100417,0.005087421,0.3676292,0.1778749,0.009916462,0.3203562
OSBPL3,0.124146245,0.0646659,0.088271834,-0.019632576,-0.09526858,0.07251087,0.18138647,0.16535725,-0.14019959,0.15436402,-0.0023372325
OSR2,-0.07675758,0.10021974,0.075295135,0.0016339009,-0.0888931,-0.12316034,0.105728805,-0.05074433,0.013349125,0.106189005,-0.008775677
PAG1,0.19055077,0.082379155,0.076259576,-0.024108445,-0.16511606,-0.010666558,0.0069064796,-0.01744749,-0.19936427,0.124665886,-0.035105262
