,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
CSF1R,0.07029672699354751,-0.04705826003293967,0.025417910997542054,0.028143832399186244,0.04888568553477065,-0.04729379482118048,0.04472979135709286,0.002927023041077017,-0.010910480312394513,-0.01904408588872079,-0.0046961044003138094,0.0011044608538962435
CSF2RB,0.07274507455747037,-0.007042915234591515,0.0048537709704710285,0.025653246109374556,0.0133268031018948,-0.04076752335970248,-0.014584449240323361,0.01431653948114925,1.1177051272535119e-05,-0.014231183474002623,-0.017703686625553366,0.029481980539327234
CTSH,0.05529595933242591,-0.010972174582783841,0.004957685752220954,0.013575934299513207,-0.011447415981706805,0.07304742523397997,0.04956486809635863,0.02477274112573868,0.0032237969703074777,0.024919572044713907,0.008640991271673898,-0.0067881714775216455
CXCL14,0.03317233478699883,0.06111350169964838,0.05554845377455689,-0.00874313584182122,-0.007881545241378417,0.014154247951324517,0.005996652824795196,0.0341809430953907,0.011555563795131632,0.0333004127352991,0.022703367138600106,0.0017892756889624885
CYP4V2,0.06414620799983584,-0.006217349584918137,0.0181776818312062,0.00787661523515924,0.0007531590797993717,0.05385322501805778,-0.004803354241127551,0.023912112218536043,-0.019209444153712073,0.01196389022166658,-0.011810832752609171,0.002440627136964145
CYSLTR2,0.05102123791659875,-0.004861902596763611,-0.005696166599313407,0.014616805524006068,-0.05187110419925494,-0.00604312342768114,-0.0467947790569996,0.03341241690534585,-0.018797076526333084,-0.007351321970596508,0.059649720154738586,-0.027452704006762325
DAPP1,0.06878723353760896,-0.005160782441636506,-0.021676814224960587,0.029315085134226117,-0.042205971408841796,0.001299708438394078,-0.03520287890771168,0.006519474952903861,-0.0628033887136658,0.025194586755248116,0.03618292924088525,-0.0628651305072001
DENND1C,0.07562157351246901,-0.020784722188124154,-0.014965315347419917,0.02277826185401871,-0.02119611359283119,-0.020555541784425653,0.03269250714539484,-0.0055075055322504,-0.009467917865658423,0.02981022155408198,-0.042656143387622664,-0.02024946189224805
DEPDC1,-0.050153170904233935,-0.016209753773120568,-0.03699772407179519,0.09415460398521067,0.02721060589074848,0.026397264874209063,-0.0473038200390053,0.02422492354061638,-0.01379828613541825,-0.018933005062095654,-0.029843375578524012,-0.007050065475333208
DNAJB1,-0.02025688336809154,0.0012286579130019182,0.004872482915851995,0.026037723969476397,0.03397894997311642,0.07396114064338506,0.011200572019735218,-0.038987428491204665,0.05046072358476634,0.10927814671661915,0.02100930102352357,0.04928256550663732
DNASE1L3,0.047011272397722265,-0.012052109536892841,0.036660455689221966,-0.0004185260369854345,-0.04800588394257419,0.0020537807043745173,-0.008926366737465791,-0.018216315175757024,0.03756547018529439,-0.01536437970974163,0.015739718983802022,0.010434706980729918
DOCK2,0.08205415056385218,-0.010802866199252213,-0.019001669225375217,0.04355124011698237,-0.0363598037042589,0.018706893822606353,0.01961210464518158,0.011521946040200414,-0.021288265459224246,-0.02128635549086414,0.02737813612889544,0.02811882938782594
DOK2,0.06910538495312643,-0.006859602485865257,-0.039106637899552196,0.03006586228111092,-0.04194771615191963,-0.016004735938760437,0.023951226891443286,0.03057312902423141,0.02173296898798224,0.00960307404123591,-0.018801186486424253,-0.03791431726958473
DRD1,-0.0030886351775202335,0.014654244951467688,0.01603362431090888,0.021790456500768697,-0.030171625025672662,-0.005377378115236385,-0.053769208287098726,-0.04324002909879362,0.03767551777658436,-0.015061975603746168,0.07586262660038633,0.005486415213769493
DTX3L,0.04237123112504543,-0.02628598280118162,0.01719246331100661,0.021614176720989337,-0.006029591853035218,0.10906354133340122,-0.012664289835849961,0.019198516559326043,-0.02655800572545925,-0.022416913184091607,0.04017318484744773,0.010574471069187012
E2F1,-0.04681015567371981,-0.028905955071618628,-0.0483844544171489,0.061716780695294404,0.009797438988815473,-7.426373913129716e-05,-0.004628426339314304,0.005799995328643517,0.029650743467874486,0.017754991845559218,0.06684641101854111,0.04729280209775305
E2F7,-0.03655114211113788,0.01461761553772814,-0.03228625595655089,0.11228269908785032,0.03800954705342718,0.018239939690439095,-0.01752651946452456,0.005479034411690981,0.0011709165457881596,-0.02930154625090706,-0.013141669048932634,0.03835258053241717
E2F8,-0.03891160323970566,-0.030116140538156803,-0.028537621280730695,0.08987525522052946,0.009499084520837123,0.033240550239246526,-0.03118803337718683,0.007733235371206634,0.0017575932979452388,-0.028862418334357487,0.04445785067557901,0.06800750309407039
ECT2,-0.03344870535703769,-0.013068445847806556,-0.03749387720197429,0.0970159055026393,0.0401267282166059,0.03501460080136828,-0.02845939355522408,0.028419024251656086,0.013104877660195859,-0.02401783945915511,0.008767151255439875,0.07976271428662769
EGR1,0.0234096545054891,-0.0022434908357298012,0.03267806241434478,0.017467581304529516,0.010325701974729835,0.004434660250944012,-0.06457402320624082,0.002336884227571951,0.04418693367266806,0.07298185088178714,0.013493378048015378,0.009134537565622458
