,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
SPAG5,-0.02504031,-0.008164239,0.37281957,-0.08200957,0.006005524,0.00083162606
SRM,-0.031151872,0.030000942,0.13611199,-0.0983042,0.2350411,0.011135362
ST6GALNAC3,0.01103261,-0.017201811,0.15992321,0.14658679,0.18399253,-0.0022743263
ST8SIA5,-0.06730239,-0.0020737427,0.10474506,0.07199434,0.1784333,-0.106760666
STC1,0.001717682,0.051615845,0.08589498,-0.04027886,0.019989554,-0.033059
SUSD1,0.12768956,-0.14921317,-0.0010578065,0.16618551,-0.106023856,-0.012400593
SYK,0.26364863,-0.0837405,-0.008379747,0.04351953,0.044805083,-0.2036926
SYTL1,0.16255021,-0.041054297,-0.017768173,-0.005940448,0.04504957,-0.15393332
TAGAP,0.28716663,-0.00079069124,-0.0035273877,-0.01601745,-0.059041206,0.037821107
TAPBPL,0.18777387,-0.04866822,-0.0038116025,0.08310043,-0.20997922,0.020512545
TBC1D9,0.22099999,-0.07884139,0.02312725,0.110138565,-0.009129824,-0.2581165
TK1,-0.0009369894,-0.08582002,0.29605713,-0.12206456,0.008550331,-0.040106334
TLR1,0.2943515,0.045884944,0.023212668,0.0012056625,5.9225076e-05,0.11242806
TLR3,0.15668479,-0.010051386,0.0037335234,0.14401786,-0.3214877,0.08775908
TLR7,0.29403204,0.03313763,0.0008907312,0.08434077,-0.085699394,0.110736705
TLR8,0.30726352,0.026004769,0.0019573956,-0.073726006,0.055883363,0.08436137
TMEM123,0.08409747,-0.048237942,0.058175948,0.1513689,-0.25863808,0.036776982
TMEM86A,0.2705412,-0.06810269,-0.0037321423,0.031255506,-0.020551287,-0.07783306
TNFAIP8,0.24806795,0.053823978,0.057657763,-0.078563794,0.03970329,0.005797367
TNFAIP8L2,0.28206033,-0.048742253,-0.05347442,-0.04064505,0.024378583,0.108627446
TNFSF8,0.27062637,0.053644437,-0.0032801763,-1.671518e-05,-0.044748075,0.16114084
TOP2A,-0.0014190304,0.022983164,0.4183149,-0.003690771,-0.024592893,-0.0015386234
TRIB3,-0.012834422,-0.04423117,0.15786703,-0.05417794,-0.037042134,0.012744994
TRIM14,0.18778783,-0.00888718,0.115529664,-0.03648545,-0.2605244,0.075390466
TRIM22,0.26158616,-0.0018675919,0.0037597609,0.027550125,-0.12901866,0.17978366
TRIP13,-0.022399036,-0.005415081,0.31984785,-0.071377695,-0.0046707415,-0.014893342
TSPAN33,0.08392375,-0.12432385,0.11804253,0.14091799,0.21646148,0.11004755
TYMS,-0.046229523,-0.059644368,0.31099144,0.023284484,-0.010309867,0.0044155545
UBE2S,-0.03752141,-0.0613387,0.2466635,-0.13212739,0.124639764,-0.00060732896
UBE2T,-0.0530001,-0.11351677,0.30126148,-0.094057225,0.00019498616,0.003664218
UHRF1,-0.0015152718,0.034122925,0.37333003,-0.012865339,-0.024277994,-0.017545512
VAV1,0.3253999,-0.0060630306,0.0006481068,-0.03533629,0.004188072,-0.0020809274
ZMAT1,0.1588942,-0.07096961,-0.0047728177,0.12230507,-0.09559144,-0.012565894
A4GALT,0.10082581,0.17314869,-0.13223788,0.039412208,0.00151668,0.075750306
AADAT,-0.042905286,-0.09620245,0.10978127,0.07105607,0.012642717,0.023290468
ABCA3,0.2225658,-0.07387728,0.009984125,0.10619089,0.13914423,0.093431436
ABI3BP,0.08415613,0.2944215,-0.018650368,0.09386741,0.108778134,0.026519315
ABLIM2,-0.00044219565,-0.1535452,-0.026258282,0.22307013,0.027005142,-0.01271947
ACOT7,0.020707326,-0.041938104,0.20857893,-0.14149205,0.09236419,-0.021114882
ACTA2,0.06920538,0.20569558,-0.0032612646,0.014369296,-0.1680784,-0.0045506232
ADAM12,0.045304887,0.11497416,0.0935989,0.028274164,-0.009589304,-0.1357238
ADAM22,-0.031345274,-0.007088172,0.13877913,0.17122102,0.18722183,0.10310781
ADAMTS2,0.0082519455,0.13346545,-0.10320894,0.21914043,-0.006421863,0.006943509
ADAMTSL2,-0.0024085804,-0.009489427,-0.008061199,0.3433287,0.0030502079,-0.006806496
AEBP1,0.0056578484,0.27676654,-0.051168244,0.104590915,-0.1538358,-0.110338315
AGTR1,0.0013367593,0.14641672,0.009487627,0.09519609,-0.13304605,0.005370631
AHR,0.103145644,0.22734797,0.011454642,0.017689507,-0.0955642,0.05970853
AIF1,0.3055284,0.0007665564,-0.051807333,-0.078129515,0.07111866,0.12758222
ALCAM,0.12960182,0.0026781305,0.010332142,-0.021435734,-0.016710972,-0.008408576
ALDH1A1,0.14313069,-0.011378698,0.09273799,0.0050232117,0.13528073,-0.008455284
ALDH1A3,0.01941668,0.012832211,0.022816468,0.18663003,0.14039707,0.052421786
ALDOC,-0.06494583,0.004841142,0.022990754,-0.11692343,-0.11004025,0.016296087
AMOT,-0.07017173,0.03952971,0.18215305,0.22825345,0.037172712,0.013392465
AMPH,-0.004543106,0.21289144,0.06100013,-0.0015431273,-0.045573488,-0.020443903
ANGPT1,0.008908619,-0.12583913,0.08118642,0.18843345,0.08133596,0.060675994
ANGPTL2,-0.010846982,0.33607215,0.058338303,-0.012721476,0.12625773,-0.0028438852
ANGPTL4,-0.07453084,-0.030687373,0.007303682,0.1811355,-0.04954043,0.0026795585
ANKRD35,0.0043270653,0.1721189,-0.051050548,0.08170138,0.18633471,-0.082806826
ANPEP,0.11960618,-0.06255455,0.09509052,0.11627707,0.041143484,-0.28371722
AOAH,0.27935666,-0.040365174,-0.0021644994,-0.0377927,-0.011023438,0.11502013
AOC2,-0.04553136,-0.105927646,-0.0017235776,0.32915094,-0.010293307,0.02390612
APCDD1,-0.0026678268,-0.10211641,0.10867312,0.245264,0.34195155,-0.0013673018
APOC1,0.25929865,-0.041077,0.0030393435,-0.086567126,0.08972146,0.06765574
APOE,0.22627687,0.007953821,-0.048254177,0.024914214,0.032309093,0.002748008
AQP1,0.006164421,0.09359513,-0.061130576,0.2801664,-0.2141008,0.041538745
ARHGEF19,-0.10035347,0.12580214,-0.0981688,0.1879456,-0.011757482,-0.0392275
ARMCX2,0.016326098,0.1544676,0.00042440335,0.06566438,-0.004713629,0.028185854
ASPN,-0.017956235,0.3170077,0.001124339,0.048670862,0.14065415,-0.036688913
ATP6V0D2,0.10352212,-0.1384753,-0.00026821851,0.1252321,-0.0009573308,-0.41725615
ATP6V1A,0.147535,-0.113140345,0.084794305,0.12186127,-0.026128247,-0.38554353
ATP6V1B2,0.14824988,-0.12840903,0.05156848,0.09097509,-0.004115948,-0.40254098
BAALC,0.0041759918,0.078715235,-0.05782928,0.037869323,-0.01506995,0.0009158093
BACE2,-0.0009040779,0.17966515,-0.024911854,0.11687532,-0.06541782,-0.06788686
BAIAP2L2,-0.07857157,-0.09459692,0.0034527208,0.19031508,0.16817513,0.038025048
BAMBI,-0.045534838,-0.24935424,0.05072799,0.3001911,0.1880358,-0.010136588
BASP1,0.015763655,0.17581181,0.064197876,-0.050129462,0.18763296,-0.02587409
BCAT1,0.049976874,0.1523182,0.13025968,-0.15625298,0.14215747,-0.0008375171
BCL11A,-0.00016546567,0.03896317,0.116320446,0.016374348,0.21862587,0.007618081
BCL6B,0.0787393,0.02557689,-0.036581997,0.20710295,-0.0037106809,0.0022574365
BGLAP,-0.005839902,-0.10413868,-0.06261618,0.29420888,-0.03611632,0.0014968928
BIRC3,0.18890445,-0.09944147,0.0057408,-0.022166014,-0.09664434,-0.23869076
BMP2,-0.027124073,-0.02885134,0.0143507095,0.19875771,0.18647183,-0.0039616916
BMP4,-0.01213155,-0.21259315,0.09341041,0.2177546,-0.020999435,0.08960757
BMP5,0.005551511,0.053226337,0.0013822678,0.116182245,0.24627316,0.017901886
BMP6,-0.054779533,-0.1607641,-0.000204463,0.23383766,-0.02100717,0.107150026
BMP7,-0.016281769,-0.046748288,0.10490109,0.131492,0.2500314,0.0041254624
BNC2,0.058287054,0.3060586,0.06285279,-0.07782737,-0.05305192,-0.10506298
BNIP3,-0.10704556,0.040199433,0.034302294,-0.11447074,-0.020876978,-0.0040720874
C1QA,0.30231678,-0.0026800532,-0.051246118,-0.00473561,0.027057607,0.17964971
C1QB,0.28770447,0.0015270594,-0.03828924,-0.0022827138,0.016517617,0.17648207
C1QTNF1,-0.0033200725,-0.15116982,-0.091354735,0.34085968,-0.1183128,-0.013005803
C1R,0.07572179,0.15346506,-0.06770881,0.14143556,-0.3252902,0.004563158
C2,0.23684672,0.073552765,0.0043249954,-0.07497911,-0.012009517,-0.017422128
C5AR1,0.26342183,0.040078864,0.01859247,-0.12466754,-0.0017285983,0.10343424
CA12,0.002915127,0.27257267,-0.0030105102,-0.14408563,0.09064699,-0.0709028
CA3,-0.0025098508,-0.15791328,0.037625015,0.19769731,0.26170754,0.023418305
CADPS2,0.08109623,0.104358986,-0.0023330161,0.18263005,-0.031533122,0.0022314407
CAV1,0.09423331,0.24633192,0.011908607,-0.13437034,-0.16947669,-0.0040007373
CAV2,0.09112979,0.24751256,-0.007641018,-0.12531061,-0.10920465,0.00030104726
CBS,-0.04463989,-0.013128867,0.1977812,0.1455273,0.055616368,0.055392593
CCDC3,0.007322496,-0.04437579,-0.086951435,0.23187393,-0.054200515,0.058894683
CCDC68,-0.02472447,0.040064033,0.04947003,0.10747993,0.059974317,0.021302259
CCL21,0.04905136,0.07990182,-0.10625793,0.028186794,0.015881091,-0.0026559227
CD248,0.043074206,0.23828986,0.010591666,0.09542964,0.20306617,-0.07256808
CD72,0.2553538,0.0050936677,-0.011587705,-0.09387134,0.10170456,0.08144624
CD83,0.07767514,-0.053908538,0.09835818,0.1057083,-0.20177366,0.10674935
CD84,0.15697196,-0.13713738,-0.000450433,0.13398615,-0.008346593,-0.3813067
CDA,0.21006301,-0.02921241,-0.0034850677,-0.12120536,-0.06431791,-0.11943417
CDC42EP5,-0.015183785,0.12746869,-0.123085335,0.116868734,0.05776453,-0.004827983
CDH15,0.007863486,-0.20747411,0.020428086,0.2690412,0.08808031,-0.007069281
CDH23,-0.04310415,0.14098929,0.0049650487,0.191166,-0.07521548,0.0040151887
CDK5R1,-0.007922516,-0.008273716,0.10383942,0.21944942,0.022459714,0.020042783
CDO1,-0.017221095,0.078818634,-0.0011166508,0.13078532,0.23689938,0.009884271
CENPF,-0.03597184,-0.007178186,0.38722935,0.0016963158,-0.10276533,0.0042959885
CFI,0.1451248,0.0591684,-0.07231109,0.058931086,0.018006228,-0.10124553
CGNL1,0.0048616044,0.23711006,0.0030041996,0.13060996,-0.08643957,-0.0027078597
CHAD,-0.0005256795,-0.013559926,-0.09574034,0.32611877,0.12657456,0.003259123
