canine_gene,human_gene_symbol,available_DOG2,available_TARGET_OS,available_GSE21257,available_GSE39055,gse39055_best_detected_fraction_p_lt_0_01,is_primary_frozen_gene,DOG2_robust_variability,DOG2_variability_percentile,TARGET_OS_robust_variability,TARGET_OS_variability_percentile,GSE21257_robust_variability,GSE21257_variability_percentile,GSE39055_robust_variability,GSE39055_variability_percentile,minimum_four_cohort_variability_percentile,median_four_cohort_variability_percentile,minimum_three_cohort_variability_percentile,median_three_cohort_variability_percentile
SYBU_3,SYBU,True,True,False,False,,False,0.7009092002291295,0.6576231200235919,0.48705251657616677,0.3567631423508565,,,,,0.3567631423508565,0.5071931311872242,0.3567631423508565,0.5071931311872242
SYCE2_3,SYCE2,True,True,False,True,0.1891891891891892,False,0.5319899799271083,0.2925390740194633,0.39226984076615057,0.232132309509746,,,0.121326712000001,0.32841691248770893,0.232132309509746,0.2925390740194633,0.232132309509746,0.26233569176460464
SYDE2_3,SYDE2,True,True,True,False,,False,0.72177468885038,0.6871129460336184,0.529184503395385,0.4249852333136444,0.08538501099999962,0.2721915285451197,,,0.2721915285451197,0.4249852333136444,0.2721915285451197,0.4249852333136444
SYK_3,SYK,True,True,True,True,0.2972972972972973,True,0.7006996305387432,0.6567384252432911,0.6963766531348026,0.673656231541642,0.32399709100000074,0.623572744014733,0.3327205460000009,0.5119632907243526,0.5119632907243526,0.640155584629012,0.623572744014733,0.6567384252432911
SYNC_3,SYNC,True,True,False,True,0.6216216216216216,False,0.41023710756359705,0.08522559716897671,0.6115580031325034,0.5567040756054341,,,0.6995339810000001,0.7476237299246149,0.08522559716897671,0.5567040756054341,0.08522559716897671,0.3209648363872054
SYNE2_3,SYNE2,True,True,True,True,0.7027027027027027,False,0.46585155071040507,0.13919197876732528,0.6889625393783626,0.6636148848198464,0.1735410110000002,0.41325966850828727,0.8431997840000012,0.8085873484103573,0.13919197876732528,0.5384372766640668,0.13919197876732528,0.41325966850828727
SYNGR1_3,SYNGR1,True,True,True,True,0.6216216216216216,False,0.5424702506560495,0.31849012090828666,0.9164032013342172,0.8532191376255168,0.4979336210000005,0.8169429097605894,1.779602691,0.9882005899705014,0.31849012090828666,0.835081023693053,0.31849012090828666,0.8169429097605894
SYNGR3_3,SYNGR3,True,True,True,True,0.054054054054054,False,0.5691136577099132,0.3886759068121498,0.4738950676165064,0.3340224453632605,0.07752421999999992,0.2570902394106814,0.01272856300000047,0.0019665683382497543,0.0019665683382497543,0.2955563423869709,0.2570902394106814,0.3340224453632605
SYNPO2_3,SYNPO2,True,True,True,True,0.4324324324324324,False,0.822491399326757,0.7953406074904158,0.39027725294733284,0.2303603071470762,0.1001880289999999,0.2994475138121547,0.6914263699999994,0.7440183546378236,0.2303603071470762,0.5217329342249891,0.2303603071470762,0.2994475138121547
SYNPO2L_3,SYNPO2L,True,True,True,True,0.3243243243243243,False,0.39159007062958207,0.07578885284576821,0.33890087395851876,0.19373892498523332,0.06094652899999975,0.19779005524861878,0.21179390999999903,0.4165847263192396,0.07578885284576821,0.19576449011692604,0.07578885284576821,0.19373892498523332
SYNPR_3,SYNPR,True,True,True,True,0.081081081081081,False,0.16426230450533313,0.016514302565614862,0.0517897076412887,0.032486709982279975,0.02658222800000054,0.023204419889502764,0.022523051999999488,0.049491969845952145,0.016514302565614862,0.027845564935891368,0.016514302565614862,0.023204419889502764
SYP_3,SYP,True,True,True,True,0.2702702702702703,False,0.38218622338596764,0.07107048068416397,0.4760509180748689,0.3372711163614885,0.067525893,0.22173112338858195,0.02353998600000029,0.057358243198951164,0.057358243198951164,0.14640080203637296,0.07107048068416397,0.22173112338858195
SYPL2_3,SYPL2,True,True,True,True,0.054054054054054,False,0.635392562829981,0.545561781185491,0.39709966251528817,0.23715298287064382,0.06318814400000061,0.20699815837937385,0.030849010999999926,0.10980006555227795,0.10980006555227795,0.22207557062500882,0.20699815837937385,0.23715298287064382
SYT1_3,SYT1,True,True,True,True,0.081081081081081,False,0.85510342607595,0.8215865526393394,0.27923743955248825,0.1668635558180744,0.06998946700000008,0.23167587476979742,0.02094045300000058,0.037037037037037035,0.037037037037037035,0.19926971529393592,0.1668635558180744,0.23167587476979742
SYT11_3,SYT11,True,True,True,True,0.8378378378378378,False,0.465142629065566,0.13830728398702447,0.691884007513035,0.668044890726521,0.3850774619999999,0.7042357274401473,0.64587708,0.7191084890199935,0.13830728398702447,0.6861403090833341,0.13830728398702447,0.668044890726521
SYT12_3,SYT12,True,True,True,True,0.1081081081081081,False,0.5914246587860031,0.4441167797109997,1.2696795096736504,0.9574719432959244,0.20195895500000027,0.4567219152854512,0.26153247899999954,0.4644378892166503,0.4441167797109997,0.4605799022510507,0.4441167797109997,0.4567219152854512
SYT13_3,SYT13,True,True,True,True,0.1081081081081081,False,1.0684627249145402,0.9227366558537304,0.37950386579216533,0.22031896042528057,0.06939856800000044,0.2279926335174954,0.0670982690000006,0.24647656506063587,0.22031896042528057,0.23723459928906565,0.22031896042528057,0.2279926335174954
SYT16_3,SYT16,True,True,True,True,0.054054054054054,False,0.8053130520554106,0.783249778826305,0.035449189159240606,0.018015357353809804,0.045021650999999885,0.13333333333333333,0.22740374799999952,0.43198951163552934,0.018015357353809804,0.2826614224844313,0.018015357353809804,0.13333333333333333
SYT7_3,SYT7,True,True,True,True,0.4324324324324324,False,0.5149952133588109,0.24506045414332056,0.7018882690769122,0.6807442409923213,0.06354638499999954,0.20810313075506445,0.28207272100000047,0.48312028843002297,0.20810313075506445,0.36409037128667177,0.20810313075506445,0.24506045414332056
SYT8_3,SYT8,True,True,True,True,0.027027027027027,False,0.38621137357725177,0.07313476850486582,0.3597259584153418,0.2049616066154755,0.1497861140000003,0.3874769797421731,0.040607966000000495,0.1628974106850213,0.07313476850486582,0.1839295086502484,0.07313476850486582,0.2049616066154755
SYTL1_3,SYTL1,True,True,True,True,0.0,True,0.49530254951243236,0.19640224122677677,0.36003562213724305,0.20614294152392204,0.06057781799999962,0.19631675874769797,0.026730431999999915,0.08226810881678139,0.08226810881678139,0.19635949998723737,0.19631675874769797,0.19640224122677677
SYTL2_3,SYTL2,True,True,True,True,0.8378378378378378,False,0.9639883592017156,0.8826304924800944,0.7395434603522539,0.7250443000590667,0.5759671189999995,0.8758747697974217,0.78547981,0.7846607669616519,0.7250443000590667,0.8302677683795368,0.7250443000590667,0.8758747697974217
SYTL3_3,SYTL3,True,True,True,True,0.081081081081081,False,0.463748812006704,0.13683279268652315,0.4593037206660542,0.31098641464855287,0.2406265509999992,0.507182320441989,0.030876315999999626,0.1111111111111111,0.1111111111111111,0.223909603667538,0.13683279268652315,0.31098641464855287
TACC3_3,TACC3,True,True,True,True,0.4864864864864865,False,0.485721899037018,0.17841344736066056,0.49722337469686906,0.3733018310691081,0.5387409659999989,0.8519337016574585,1.3304704189999992,0.9455916093084235,0.17841344736066056,0.6126177663632832,0.17841344736066056,0.3733018310691081
TAF8_3,TAF8,True,True,False,True,0.8918918918918919,False,0.3628573444652923,0.06517251548215866,0.41798646349958135,0.2587123449497933,,,0.8925042800000007,0.8253031792854801,0.06517251548215866,0.2587123449497933,0.06517251548215866,0.16194243021597599
TAF9B_3,TAF9B,True,True,False,True,0.4054054054054054,False,0.4403264894553942,0.1073429666764966,0.45572112818463806,0.30744240992321326,,,0.4843390750000003,0.615535889872173,0.1073429666764966,0.30744240992321326,0.1073429666764966,0.20739268829985494
