source,candidate,n_nonempty,n_unique,n_overlap,overlap_fraction
expression,AIF1L_3,186,186,0,0.0
expression,AIFM1_3,186,186,0,0.0
expression,AIFM2_3,186,186,0,0.0
expression,AIG1_3,186,186,0,0.0
expression,AIMP1_3,186,186,0,0.0
expression,AIMP2_3,186,186,0,0.0
expression,AIP_3,186,186,0,0.0
expression,AJUBA_3,186,186,0,0.0
expression,AK1_3,186,186,0,0.0
expression,AK2_3,186,186,0,0.0
expression,AK3_3,186,186,0,0.0
expression,AK4_3,186,186,0,0.0
expression,AK5_3,186,186,0,0.0
expression,AK6_3,186,186,0,0.0
expression,AKAP1_3,186,186,0,0.0
expression,AKAP10_3,186,186,0,0.0
expression,AKAP11_3,186,186,0,0.0
expression,AKAP12_3,186,186,0,0.0
expression,AKAP13_3,186,186,0,0.0
expression,AKAP17A_3,186,186,0,0.0
expression,AKAP5_3,186,186,0,0.0
expression,AKAP6_3,186,186,0,0.0
expression,AKAP7_3,186,186,0,0.0
expression,AKAP8_3,186,186,0,0.0
expression,AKAP8L_3,186,186,0,0.0
expression,AKAP9_3,186,186,0,0.0
expression,AKIP1_3,186,186,0,0.0
expression,AKIRIN1_3,186,186,0,0.0
expression,AKIRIN2_3,186,186,0,0.0
expression,AKNA_3,186,186,0,0.0
expression,AKR1A1_3,186,186,0,0.0
expression,AKR1B1_3,186,186,0,0.0
expression,AKR1E2_3,186,186,0,0.0
expression,AKR7A2_3,186,186,0,0.0
expression,AKT1_3,186,186,0,0.0
expression,AKT1S1_3,186,186,0,0.0
expression,AKT2_3,186,186,0,0.0
expression,AKT3_3,186,186,0,0.0
expression,AKTIP_3,186,186,0,0.0
expression,ALAD_3,186,186,0,0.0
expression,ALAS1_3,186,186,0,0.0
expression,ALCAM_3,186,186,0,0.0
expression,ALDH16A1_3,186,186,0,0.0
expression,ALDH18A1_3,186,186,0,0.0
expression,ALDH1A3_3,186,186,0,0.0
expression,ALDH1L2_3,186,186,0,0.0
expression,ALDH2_3,186,186,0,0.0
expression,ALDH3A2_3,186,186,0,0.0
expression,ALDH3B1_3,186,186,0,0.0
expression,ALDH4A1_3,186,186,0,0.0
expression,ALDH5A1_3,186,186,0,0.0
expression,ALDH6A1_3,186,186,0,0.0
expression,ALDH7A1_3,186,186,0,0.0
expression,ALDH9A1_3,186,186,0,0.0
expression,ALDOA_3,186,186,0,0.0
expression,ALDOC_3,186,186,0,0.0
expression,ALG1_3,186,186,0,0.0
expression,ALG11_3,186,186,0,0.0
expression,ALG12_3,186,186,0,0.0
expression,ALG13_3,186,186,0,0.0
expression,ALG14_3,186,186,0,0.0
expression,ALG2_3,186,186,0,0.0
expression,ALG3_3,186,186,0,0.0
expression,ALG5_3,186,186,0,0.0
expression,ALG6_3,186,186,0,0.0
expression,ALG8_3,186,186,0,0.0
expression,ALG9_3,186,186,0,0.0
expression,ALKBH1_3,186,186,0,0.0
expression,ALKBH2_3,186,186,0,0.0
expression,ALKBH3_3,186,186,0,0.0
expression,ALKBH4_3,186,186,0,0.0
expression,ALKBH5_3,186,186,0,0.0
expression,ALKBH6_3,186,186,0,0.0
expression,ALKBH7_3,186,186,0,0.0
expression,ALKBH8_3,186,186,0,0.0
expression,ALMS1_3,186,186,0,0.0
expression,ALOX15B_3,186,186,0,0.0
expression,ALOX5_3,186,186,0,0.0
expression,ALPK1_3,186,186,0,0.0
expression,ALPK3_3,186,186,0,0.0
expression,ALPL_3,186,186,0,0.0
expression,ALS2_3,186,186,0,0.0
expression,ALS2CL_3,186,186,0,0.0
expression,ALX1_3,186,186,0,0.0
expression,ALYREF_3,186,186,0,0.0
expression,AMACR_3,186,186,0,0.0
expression,AMBRA1_3,186,186,0,0.0
expression,AMD1_3,186,186,0,0.0
expression,AMDHD1_3,186,186,0,0.0
expression,AMDHD2_3,186,186,0,0.0
expression,AMER1_3,186,186,0,0.0
expression,AMFR_3,186,186,0,0.0
expression,AMIGO1_3,186,186,0,0.0
expression,AMIGO3_3,186,186,0,0.0
expression,AMMECR1_3,186,186,0,0.0
expression,AMMECR1L_3,186,186,0,0.0
expression,AMN1_3,186,186,0,0.0
expression,AMOT_3,186,186,0,0.0
expression,AMOTL1_3,186,186,0,0.0
expression,AMOTL2_3,186,186,0,0.0
expression,AMPD2_3,186,186,0,0.0
expression,AMT_3,186,186,0,0.0
expression,AMZ2_3,186,186,0,0.0
expression,ANAPC1_3,186,186,0,0.0
expression,ANAPC10_3,186,186,0,0.0
expression,ANAPC11_3,186,186,0,0.0
expression,ANAPC13_3,186,186,0,0.0
expression,ANAPC15_3,186,186,0,0.0
expression,ANAPC16_3,186,186,0,0.0
expression,ANAPC2_3,186,186,0,0.0
expression,ANAPC4_3,186,186,0,0.0
expression,ANAPC5_3,186,186,0,0.0
expression,ANAPC7_3,186,186,0,0.0
expression,ANGEL1_3,186,186,0,0.0
expression,ANGEL2_3,186,186,0,0.0
expression,ANGPT1_3,186,186,0,0.0
expression,ANGPT2_3,186,186,0,0.0
expression,ANGPT4_3,186,186,0,0.0
expression,ANGPTL2_3,186,186,0,0.0
expression,ANGPTL4_3,186,186,0,0.0
expression,ANGPTL6_3,186,186,0,0.0
expression,ANK1_3,186,186,0,0.0
expression,ANK2_3,186,186,0,0.0
expression,ANK3_3,186,186,0,0.0
expression,ANKFY1_3,186,186,0,0.0
expression,ANKH_3,186,186,0,0.0
expression,ANKHD1_3,186,186,0,0.0
expression,ANKIB1_3,186,186,0,0.0
expression,ANKLE1_3,186,186,0,0.0
expression,ANKLE2_3,186,186,0,0.0
expression,ANKMY2_3,186,186,0,0.0
expression,ANKRA2_3,186,186,0,0.0
expression,ANKRD10_3,186,186,0,0.0
expression,ANKRD11_3,186,186,0,0.0
expression,ANKRD12_3,186,186,0,0.0
expression,ANKRD13A_3,186,186,0,0.0
expression,ANKRD13B_3,186,186,0,0.0
expression,ANKRD13C_3,186,186,0,0.0
expression,ANKRD13D_3,186,186,0,0.0
expression,ANKRD16_3,186,186,0,0.0
expression,ANKRD17_3,186,186,0,0.0
expression,ANKRD2_3,186,186,0,0.0
expression,ANKRD22_3,186,186,0,0.0
expression,ANKRD23_3,186,186,0,0.0
expression,ANKRD26_6,186,186,0,0.0
expression,ANKRD27_3,186,186,0,0.0
expression,ANKRD28_3,186,186,0,0.0
expression,ANKRD29_3,186,186,0,0.0
expression,ANKRD33B_3,186,186,0,0.0
expression,ANKRD34A_3,186,186,0,0.0
expression,ANKRD37_3,186,186,0,0.0
expression,ANKRD39_3,186,186,0,0.0
expression,ANKRD40_3,186,186,0,0.0
expression,ANKRD42_3,186,186,0,0.0
expression,ANKRD44_3,186,186,0,0.0
expression,ANKRD46_3,186,186,0,0.0
expression,ANKRD49_3,186,186,0,0.0
expression,ANKRD50_3,186,186,0,0.0
expression,ANKRD52_3,186,186,0,0.0
expression,ANKRD54_3,186,186,0,0.0
expression,ANKRD6_3,186,186,0,0.0
expression,ANKRD9_3,186,186,0,0.0
expression,ANKS1A_3,186,186,0,0.0
expression,ANKS1B_3,186,186,0,0.0
expression,ANKS3_3,186,186,0,0.0
expression,ANKS4B_3,186,186,0,0.0
expression,ANKS6_3,186,186,0,0.0
expression,ANKZF1_3,186,186,0,0.0
expression,ANLN_3,186,186,0,0.0
expression,ANO1_3,186,186,0,0.0
expression,ANO10_2,186,186,0,0.0
expression,ANO5_3,186,186,0,0.0
expression,ANO6_3,186,186,0,0.0
expression,ANO8_3,186,186,0,0.0
expression,ANOS1_3,186,186,0,0.0
expression,ANP32A_3,186,186,0,0.0
expression,ANP32B_3,186,186,0,0.0
expression,ANP32E_3,186,186,0,0.0
expression,ANPEP_3,186,186,0,0.0
expression,ANTKMT_3,186,186,0,0.0
expression,ANTXR1_3,186,186,0,0.0
expression,ANTXR2_3,186,186,0,0.0
expression,ANXA1_3,186,186,0,0.0
expression,ANXA11_3,186,186,0,0.0
expression,ANXA2_3,186,186,0,0.0
expression,ANXA3_3,186,186,0,0.0
expression,ANXA4_3,186,186,0,0.0
expression,ANXA5_3,186,186,0,0.0
expression,ANXA6_3,186,186,0,0.0
expression,ANXA7_3,186,186,0,0.0
expression,ANXA9_3,186,186,0,0.0
expression,AOAH_3,186,186,0,0.0
expression,AOC2_3,186,186,0,0.0
expression,AOC3_4,186,186,0,0.0
expression,AP1AR_3,186,186,0,0.0
expression,AP1B1_3,186,186,0,0.0
expression,AP1G1_3,186,186,0,0.0
expression,AP1G2_3,186,186,0,0.0
expression,AP1M1_3,186,186,0,0.0
expression,AP1S1_3,186,186,0,0.0
expression,AP1S2_3,186,186,0,0.0
expression,AP2A1_3,186,186,0,0.0
expression,AP2A2_3,186,186,0,0.0
expression,AP2B1_3,186,186,0,0.0
expression,AP2M1_3,186,186,0,0.0
expression,AP2S1_3,186,186,0,0.0
expression,AP3B1_3,186,186,0,0.0
expression,AP3D1_3,186,186,0,0.0
expression,AP3M1_3,186,186,0,0.0
expression,AP3M2_3,186,186,0,0.0
expression,AP3S1_3,186,186,0,0.0
expression,AP3S2_3,186,186,0,0.0
expression,AP4B1_3,186,186,0,0.0
expression,AP4E1_3,186,186,0,0.0
expression,AP4M1_3,186,186,0,0.0
expression,AP4S1_3,186,186,0,0.0
expression,AP5B1_3,186,186,0,0.0
expression,AP5S1_3,186,186,0,0.0
expression,AP5Z1_3,186,186,0,0.0
expression,APAF1_3,186,186,0,0.0
expression,APBA1_3,186,186,0,0.0
expression,APBA3_3,186,186,0,0.0
expression,APBB1_3,186,186,0,0.0
expression,APBB1IP_3,186,186,0,0.0
expression,APBB2_3,186,186,0,0.0
expression,APBB3_3,186,186,0,0.0
expression,APC_3,186,186,0,0.0
expression,APCDD1_3,186,186,0,0.0
expression,APEH_3,186,186,0,0.0
expression,APEX1_3,186,186,0,0.0
expression,APEX2_3,186,186,0,0.0
expression,APH1A_3,186,186,0,0.0
expression,APH1B_3,186,186,0,0.0
expression,API5_3,186,186,0,0.0
expression,APIP_3,186,186,0,0.0
expression,APLF_3,186,186,0,0.0
expression,APLN_3,186,186,0,0.0
expression,APLNR_3,186,186,0,0.0
expression,APLP1_3,186,186,0,0.0
expression,APLP2_3,186,186,0,0.0
expression,APMAP_3,186,186,0,0.0
expression,APOBR_3,186,186,0,0.0
expression,APOC1_3,186,186,0,0.0
expression,APOD_3,186,186,0,0.0
expression,APOE_3,186,186,0,0.0
expression,APOL5_3,186,186,0,0.0
expression,APOL6_3,186,186,0,0.0
expression,APOLD1_3,186,186,0,0.0
expression,APOM_3,186,186,0,0.0
expression,APOO_3,186,186,0,0.0
expression,APOOL_3,186,186,0,0.0
expression,APP_3,186,186,0,0.0
expression,APPBP2_3,186,186,0,0.0
expression,APPL1_3,186,186,0,0.0
expression,APPL2_3,186,186,0,0.0
expression,APRT_3,186,186,0,0.0
expression,APTX_3,186,186,0,0.0
expression,AQP1_3,186,186,0,0.0
expression,AQP5_3,186,186,0,0.0
expression,AQR_3,186,186,0,0.0
expression,ARAF_3,186,186,0,0.0
expression,ARAP1_3,186,186,0,0.0
expression,ARAP2_3,186,186,0,0.0
expression,ARAP3_3,186,186,0,0.0
expression,ARCN1_3,186,186,0,0.0
expression,AREL1_3,186,186,0,0.0
expression,ARF1_3,186,186,0,0.0
expression,ARF3_3,186,186,0,0.0
expression,ARF4_3,186,186,0,0.0
expression,ARF5_3,186,186,0,0.0
expression,ARF6_3,186,186,0,0.0
expression,ARFGAP1_3,186,186,0,0.0
expression,ARFGAP2_3,186,186,0,0.0
expression,ARFGAP3_3,186,186,0,0.0
expression,ARFGEF1_3,186,186,0,0.0
expression,ARFGEF2_3,186,186,0,0.0
expression,ARFGEF3_3,186,186,0,0.0
