gene,p,endpoint,fold
FOXF1_3,0.007006732814677885,DFI,1
BACE2_3,0.007038442715871371,DFI,1
SKP2_3,0.007043033417754216,DFI,1
CMKLR1_3,0.007128616461914124,DFI,1
IGSF6_3,0.0071797927790661735,DFI,1
RBM44_3,0.0071948599153616385,DFI,1
SEMA4D_3,0.00724665268596862,DFI,1
YPEL3_3,0.007271173765194617,DFI,1
SLC9A3R1_3,0.007330323210271609,DFI,1
UCP2_3,0.007355094059394323,DFI,1
SDK2_3,0.007390972788364411,DFI,1
IL21R_3,0.00742977253256217,DFI,1
FGD3_3,0.00743965542933949,DFI,1
SPTLC3_3,0.007460868766490445,DFI,1
CLNK_3,0.007485738973227224,DFI,1
LOC119866222_1,0.007540949327476576,DFI,1
TMEM176B_3,0.00756969833168643,DFI,1
CD68_3,0.0075862555328593505,DFI,1
ARHGEF3_3,0.007586913315981491,DFI,1
STRADB_3,0.007618194235458662,DFI,1
TTC38_3,0.0076424365957878295,DFI,1
GTSE1_3,0.007724707038976875,DFI,1
LAMP3_3,0.007769326082934156,DFI,1
GZMK_3,0.007784210867799295,DFI,1
NCAPH_3,0.007838879125815696,DFI,1
OCIAD2_3,0.0078661900278637,DFI,1
LRRC25_3,0.007874715721714168,DFI,1
CTSC_3,0.007880018960846828,DFI,1
TMEM71_3,0.007902918071497046,DFI,1
RAB38_3,0.007907179401300403,DFI,1
NDRG1_3,0.007924066249808322,DFI,1
FYB1_3,0.007971158593604174,DFI,1
SLC8A1_3,0.007989707079134009,DFI,1
LRFN4_3,0.00803432452923775,DFI,1
PTPRE_3,0.008187743793210902,DFI,1
CCR5_3,0.008217835685936821,DFI,1
FMNL1_3,0.00823336358256154,DFI,1
ATP6V0C_3,0.008244486159697638,DFI,1
PRKAR2B_3,0.008276384642402483,DFI,1
CD86_3,0.00828953241056214,DFI,1
LOC119879511,0.00833580595670111,DFI,1
LOC119877599,0.008353148001310836,DFI,1
GPX7_3,0.00836644873060716,DFI,1
GPR68_3,0.008439589178154431,DFI,1
ADRA1D_3,0.008444060893080899,DFI,1
SEMA4A_3,0.008467902435152556,DFI,1
CD84_3,0.008575451168670579,DFI,1
EPHB2_3,0.008607180558413372,DFI,1
FAM83G_3,0.008618609348776993,DFI,1
MSI1_3,0.00861921221244091,DFI,1
SLAMF8_3,0.008644979538331736,DFI,1
IL1R2_3,0.008669326963680881,DFI,1
EMILIN3_3,0.008673127230815609,DFI,1
SLC25A48_3,0.008704246923576119,DFI,1
MEGF6_3,0.008732023293140755,DFI,1
FCER1G_2,0.008746538833410275,DFI,1
CCR1_3,0.00876247073891758,DFI,1
LOC102152083_3,0.008769618209039232,DFI,1
ETV1_3,0.00878977811466333,DFI,1
FNBP1_3,0.008806295900167323,DFI,1
BHLHE40_3,0.008822725958686828,DFI,1
TLR8_3,0.008827178308039415,DFI,1
NUDT19_3,0.008840458399152273,DFI,1
PLPPR5_3,0.008843459824741152,DFI,1
CA11_3,0.00886578021239053,DFI,1
GPSM2_3,0.008954418493095329,DFI,1
CDCA7_3,0.008964230347133851,DFI,1
S100A4_3,0.008995991463620161,DFI,1
LOC119869063_2,0.00899898589281396,DFI,1
PDE1C_3,0.009020965423535383,DFI,1
MCM2_3,0.009085969561552007,DFI,1
S1PR3_3,0.009090720915078617,DFI,1
SERPINH1_3,0.009091491692299898,DFI,1
