module_label,canine_gene,canine_gene_symbol,human_gene_symbol,ortholog_qc_status,raw_pca_loading,risk_oriented_loading,absolute_risk_loading,is_strict_mapping,is_broad_mapping,human_symbol_duplicate_count,normalized_abs_sum_weight
M34,PIK3AP1_3,PIK3AP1,PIK3AP1,strict_symbol_concordant_one_to_one,0.07895788661681716,-0.07895788661681716,0.07895788661681716,True,True,1,-0.00763354294133909
M34,PIK3CG_3,PIK3CG,PIK3CG,strict_symbol_concordant_one_to_one,0.06738641155942166,-0.06738641155942166,0.06738641155942166,True,True,1,-0.006514828199467451
M34,PIK3IP1_3,PIK3IP1,PIK3IP1,strict_symbol_concordant_one_to_one,0.04017988837403882,-0.04017988837403882,0.04017988837403882,True,True,1,-0.003884537902716734
M34,PRDM1_3,PRDM1,PRDM1,strict_symbol_concordant_one_to_one,0.060903346558740135,-0.060903346558740135,0.060903346558740135,True,True,1,-0.005888054140602831
M34,PRKAR2B_3,PRKAR2B,PRKAR2B,strict_symbol_concordant_one_to_one,0.058207196186944386,-0.058207196186944386,0.058207196186944386,True,True,1,-0.005627393926389009
M34,PTAFR_3,PTAFR,PTAFR,strict_symbol_concordant_one_to_one,0.0776773936324589,-0.0776773936324589,0.0776773936324589,True,True,1,-0.0075097465911452355
M34,PTK2B_3,PTK2B,PTK2B,strict_symbol_concordant_one_to_one,0.07467151982286098,-0.07467151982286098,0.07467151982286098,True,True,1,-0.007219142728947572
M34,PTPN6_3,PTPN6,PTPN6,strict_symbol_concordant_one_to_one,0.08389956261392247,-0.08389956261392247,0.08389956261392247,True,True,1,-0.00811129757159098
M34,PTPRC_4,PTPRC,PTPRC,strict_symbol_concordant_one_to_one,0.0840791735623078,-0.0840791735623078,0.0840791735623078,True,True,1,-0.008128662118009096
M34,PTPRJ_3,PTPRJ,PTPRJ,strict_symbol_concordant_one_to_one,0.07336456239207162,-0.07336456239207162,0.07336456239207162,True,True,1,-0.007092787831445695
M34,PTPRO_3,PTPRO,PTPRO,strict_symbol_concordant_one_to_one,0.07114201464915074,-0.07114201464915074,0.07114201464915074,True,True,1,-0.006877914886364243
M34,PYCARD_3,PYCARD,PYCARD,strict_symbol_concordant_one_to_one,0.0821541154173578,-0.0821541154173578,0.0821541154173578,True,True,1,-0.007942550069628605
M34,RAB29_3,RAB29,RAB29,strict_symbol_concordant_one_to_one,0.05741990660248391,-0.05741990660248391,0.05741990660248391,True,True,1,-0.005551279821671216
M34,RASSF5_3,RASSF5,RASSF5,strict_symbol_concordant_one_to_one,0.051031910969929525,-0.051031910969929525,0.051031910969929525,True,True,1,-0.004933696942245408
M34,RETSAT_3,RETSAT,RETSAT,strict_symbol_concordant_one_to_one,0.045618134175450756,-0.045618134175450756,0.045618134175450756,True,True,1,-0.004410300237923325
M34,RGS18_3,RGS18,RGS18,strict_symbol_concordant_one_to_one,0.07676137038081624,-0.07676137038081624,0.07676137038081624,True,True,1,-0.0074211866875524
M34,RNASEL_3,RNASEL,RNASEL,strict_symbol_concordant_one_to_one,0.052709172520620004,-0.052709172520620004,0.052709172520620004,True,True,1,-0.005095852347103037
M34,RNF213_3,RNF213,RNF213,strict_symbol_concordant_one_to_one,0.06066804670223427,-0.06066804670223427,0.06066804670223427,True,True,1,-0.005865305664982589
M34,SAMD9L_3,SAMD9L,SAMD9L,strict_symbol_concordant_one_to_one,0.07262337706627064,-0.07262337706627064,0.07262337706627064,True,True,1,-0.007021131024831179
M34,SAMSN1_3,SAMSN1,SAMSN1,strict_symbol_concordant_one_to_one,0.07492943604412454,-0.07492943604412454,0.07492943604412454,True,True,1,-0.0072440777244830775
M34,SASH3_3,SASH3,SASH3,strict_symbol_concordant_one_to_one,0.0786452864304232,-0.0786452864304232,0.0786452864304232,True,True,1,-0.0076033211731465185
M34,SCTR_3,SCTR,SCTR,strict_symbol_concordant_one_to_one,0.05162830720282972,-0.05162830720282972,0.05162830720282972,True,True,1,-0.004991355732886428
M34,SERPINB8_3,SERPINB8,SERPINB8,strict_symbol_concordant_one_to_one,0.043365779865334575,-0.043365779865334575,0.043365779865334575,True,True,1,-0.004192545633765518
