analysis_set,initial_factors,module_label,n_module_genes,factor,signed_cosine,absolute_cosine,squared_cosine,active_group_count,active_groups,activity_class
four_cohort_detection_aware,12,M11,5,Factor1,0.002460597804433601,0.002460597804433601,6.0545415551834575e-06,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M11,5,Factor2,0.10414948677786669,0.10414948677786669,0.010847115596093028,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M11,5,Factor3,0.06066554783270492,0.06066554783270492,0.0036803086938422087,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M11,5,Factor4,-0.05825225338956859,0.05825225338956859,0.003393325024962505,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M11,5,Factor5,-0.007712388983048307,0.007712388983048307,5.9480943825844905e-05,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,12,M11,5,Factor6,-0.04530271843516114,0.04530271843516114,0.002052336297615489,1,DOG2,group_specific
four_cohort_detection_aware,12,M11,5,Factor7,0.26295997782026564,0.26295997782026564,0.0691479499352346,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,12,M11,5,Factor8,0.15059852772771484,0.15059852772771484,0.022679916553755296,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,12,M40,32,Factor1,-0.18670452068522508,0.18670452068522508,0.03485857804429964,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M40,32,Factor2,-0.15837265037213952,0.15837265037213952,0.025081896385895943,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M40,32,Factor3,0.006658348197302793,0.006658348197302793,4.433360071652535e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
