endpoint,gene,gene_symbol_clean,human_gene_symbol,candidate_transfer_set,rna_evidence_tier,rna_evidence_priority_score,expression_column_used,gene_proliferation_correlation,gene_only_coef,gene_only_hr,gene_only_p,gene_only_c_index,gene_plus_proliferation_coef,gene_plus_proliferation_hr,gene_plus_proliferation_p,gene_plus_proliferation_c_index,gene_plus_proliferation_proliferation_p,gene_plus_proliferation_weight_coef,gene_plus_proliferation_weight_hr,gene_plus_proliferation_weight_p,gene_plus_proliferation_weight_c_index,gene_plus_proliferation_weight_proliferation_p,gene_plus_proliferation_weight_weight_p,abs_coef_ratio_after_proliferation_adjustment,retains_nominal_p05_after_proliferation,gene_only_error,gene_plus_proliferation_error,gene_plus_proliferation_weight_error,gene_only_q,gene_plus_proliferation_q,gene_plus_proliferation_weight_q
DFI,FAM107A_3,FAM107A,FAM107A,strict_primary,medium_rna_evidence,6.0,FAM107A_3,-0.3071775167261529,-0.256649484494377,0.7736393388299234,0.0005555470188467041,0.5909225969395335,-0.2062373868955245,0.8136399059044321,0.008526130286399035,0.608527707621453,0.003921283070928937,-0.18997231424761507,0.8269820292461125,0.01621916737087196,0.6277740163996088,0.01071155304911741,0.0123537908216933,0.8035760808241288,True,,,,0.0010317301778581648,0.015168806081452275,0.02108491758213355
OS,FAM107A_3,FAM107A,FAM107A,strict_primary,medium_rna_evidence,6.0,FAM107A_3,-0.3071775167261529,-0.2714613281777082,0.7622647610654384,0.0008528452437186073,0.6011833373310946,-0.23764274102207741,0.7884843338882993,0.005066850137691162,0.6128568001918926,0.04364140124072634,-0.2363174129658263,0.789530027088121,0.005367308946700534,0.6209775472156926,0.07591179952549876,0.24324422976620436,0.87542023984539,True,,,,0.0018705261206871011,0.01317381035799702,0.015505559179357099
DFI,ALOX5_3,ALOX5,ALOX5,strict_primary,medium_rna_evidence,6.0,ALOX5_3,-0.4102148647787186,-0.3373609920694291,0.7136511709842361,4.161832643870678e-05,0.6130589808349428,-0.25703136107118807,0.773343960490149,0.0050198384322877624,0.6236071906106077,0.05477640515526547,-0.24634385406942802,0.7816534040066926,0.00758457294507466,0.6477093206951027,0.1275391921355994,0.011579966383234332,0.7618882061453355,True,,,,0.00017830506100114982,0.01305157992394818,0.017048911360343116
OS,ALOX5_3,ALOX5,ALOX5,strict_primary,medium_rna_evidence,6.0,ALOX5_3,-0.4102148647787186,-0.3401034898367465,0.7116966655795567,0.00011988548605119602,0.6200527704485488,-0.29470365446964736,0.7447522587699236,0.002637082475915293,0.6218917406252499,0.29086161702117275,-0.29307000139457406,0.7459699199347739,0.002982654253898867,0.6261651941314744,0.39183525782206663,0.3175157302178471,0.86651170386728,True,,,,0.0006234045274662193,0.009794877767685376,0.009693626325171319
DFI,RETSAT_3,RETSAT,RETSAT,strict_primary,medium_rna_evidence,6.0,RETSAT_3,-0.24244511485051026,-0.2681923467761347,0.764760667705976,0.0007360954719678286,0.598796612687565,-0.21393292911583853,0.8074025364086617,0.00913940966561719,0.6259842519685039,0.0039206291242592445,-0.19612846007843598,0.8219066457041736,0.01870351225460773,0.6467313623711728,0.009108595053189115,0.018560083174301596,0.7976846904375405,True,,,,0.0011961551419477216,0.015168806081452275,0.02315672945808576
OS,RETSAT_3,RETSAT,RETSAT,strict_primary,medium_rna_evidence,6.0,RETSAT_3,-0.24244511485051026,-0.23581286747122573,0.7899284814168557,0.006633288405033239,0.5833533221396018,-0.19699859248745802,0.8211917891495871,0.02802046810237935,0.6058207403853841,0.030850460788749333,-0.196704140517087,0.821433626292919,0.031030570086215157,0.6127097349436654,0.04627792972637079,0.3795514642603678,0.8354022178687772,True,,,,0.00783934084231201,0.04047400948121462,0.04246288538113653
DFI,PIANP_3,PIANP,PIANP,strict_primary,medium_rna_evidence,6.0,PIANP_3,0.04930789435551231,-0.2630838965418036,0.7686774052298055,0.0013140705849974583,0.5791858564849205,-0.27973486122484403,0.7559841555988239,0.0008417997887236564,0.6323726043678503,0.00021474410159367044,-0.2595050951604804,0.77143327740762,0.0023642304626106687,0.646806589934552,0.0007975732915232449,0.0286282705328104,1.06329146292082,True,,,,0.0017082917604966958,0.004377358901363013,0.012293998405575476
OS,PIANP_3,PIANP,PIANP,strict_primary,medium_rna_evidence,6.0,PIANP_3,0.04930789435551231,-0.18600451761131506,0.8302698441370179,0.02996607535266923,0.5468137842808027,-0.18334239197425967,0.8324830714122251,0.035728011557629995,0.6004637403054289,0.008467439049745921,-0.1785199871354963,0.8365073373248103,0.04451227360645708,0.60962956958742,0.01538114562568134,0.38268462247466806,0.9856878441919442,True,,,,0.032463248298724996,0.04644641502491899,0.0578659556883942
DFI,TRIP13_3,TRIP13,TRIP13,strict_primary,medium_rna_evidence,5.0,TRIP13_3,0.7891251558767096,0.36219739868706063,1.4364824737293316,7.927804051068263e-06,0.6246471549546873,0.3132861287613026,1.3679128742539393,0.008123797307332778,0.6247214381221216,0.5687659941688095,0.31557511688762824,1.3710475968837044,0.009286589361735703,0.6462799969908974,0.7857741841155405,0.007550079647664399,0.864959632225251,True,,,,5.573827177453102e-05,0.015168806081452275,0.017550082223618948
OS,TRIP13_3,TRIP13,TRIP13,strict_primary,medium_rna_evidence,5.0,TRIP13_3,0.7891251558767096,0.31007185664147147,1.3635230888018004,0.00041425904438178914,0.6056608299352363,0.29313633867271555,1.340625557081378,0.0215961841806822,0.6067802030862717,0.8545826779143881,0.3042670237691835,1.3556309934620767,0.018782863622436884,0.6118991651130745,0.9668810769198155,0.20392810544588208,0.9453819570979702,True,,,,0.0015943268824044874,0.03509379929360858,0.03255696361222393
