endpoint,method,gene,selected_in_folds,mean_gene_rank,n_method_folds,selection_frequency,gene_symbol_clean
OS,elastic_net_cox,CYP4V2_3,3,1.6666666666666667,5,0.6,CYP4V2
OS,elastic_net_cox,FAM107A_3,3,10.333333333333334,5,0.6,FAM107A
OS,elastic_net_cox,FGL2_3,3,11.0,5,0.6,FGL2
OS,elastic_net_cox,KCTD12_3,2,2.5,5,0.4,KCTD12
OS,elastic_net_cox,EVI2B_3,2,4.5,5,0.4,EVI2B
OS,elastic_net_cox,ALOX5_3,2,9.5,5,0.4,ALOX5
OS,elastic_net_cox,BLNK_3,2,9.5,5,0.4,BLNK
OS,elastic_net_cox,TNFRSF6B_3,2,9.5,5,0.4,TNFRSF6B
OS,elastic_net_cox,GPRC5C_3,2,10.0,5,0.4,GPRC5C
OS,elastic_net_cox,ADAMTSL3_3,2,12.5,5,0.4,ADAMTSL3
OS,elastic_net_cox,DDIT4_3,2,13.0,5,0.4,DDIT4
OS,elastic_net_cox,ADAMTS4_3,1,1.0,5,0.2,ADAMTS4
OS,elastic_net_cox,VGLL2_3,1,1.0,5,0.2,VGLL2
OS,elastic_net_cox,CARD9_3,1,2.0,5,0.2,CARD9
OS,elastic_net_cox,FAM241A_3,1,2.0,5,0.2,FAM241A
OS,elastic_net_cox,GPR34_3,1,2.0,5,0.2,GPR34
OS,elastic_net_cox,CHST2_3,1,3.0,5,0.2,CHST2
OS,elastic_net_cox,GPSM3_3,1,3.0,5,0.2,GPSM3
OS,elastic_net_cox,PON3_3,1,3.0,5,0.2,PON3
OS,elastic_net_cox,APOBEC3Z3_4,1,4.0,5,0.2,APOBEC3Z3
OS,elastic_net_cox,IRF7_3,1,4.0,5,0.2,IRF7
OS,elastic_net_cox,PRKAR2B_3,1,4.0,5,0.2,PRKAR2B
OS,elastic_net_cox,ZNF608_3,1,4.0,5,0.2,ZNF608
OS,elastic_net_cox,LOC111091730_3,1,5.0,5,0.2,LOC111091730
