endpoint,module_label,score_type,score_column,module_proliferation_correlation_raw,score_proliferation_correlation_after_residualization,n,events,coef,hr,p,se,c_index,error,module_transfer_qc_tier,transfer_priority_score,n_module_genes,fraction_strict_symbol_concordant,fraction_broad_transferable,n_high_or_medium_rna_evidence,strict_human_symbols,module_proliferation_correlation,module_only_p,module_plus_proliferation_p,module_plus_proliferation_q,module_plus_proliferation_c_index,abs_coef_ratio_after_proliferation_adjustment,q
DFI,M23,residual_after_proliferation_and_weight,module_M23__residual_after_proliferation_and_weight,0.4032636461012663,4.275596527816216e-17,185,142,0.173536912787341,1.1895045938893518,0.03717840172532957,0.08327908048185508,0.5700744752877455,,low_transfer_readiness,2.0,4,0.5,0.5,0,RBM44;SYCE2,0.4032636461012663,0.000130782969346,0.0210186739030466,0.0210186739030466,0.6342296835537067,0.6696990197692784,0.04027660186910703
OS,M23,original,module_M23__original,0.4032636461012663,0.4032636461012663,186,124,0.19677006288594082,1.2174640683447777,0.014958949241653216,0.08086314524778075,0.5807947549372352,,low_transfer_readiness,2.0,4,0.5,0.5,0,RBM44;SYCE2,0.4032636461012663,0.0149589492416532,0.1656433206781238,0.1656433206781238,0.6007036059806509,0.6200590984579104,0.014958949241653216
OS,M23,residual_after_proliferation,module_M23__residual_after_proliferation,0.4032636461012663,1.9323881834016236e-16,186,124,0.12764788181848738,1.1361528721713088,0.13846059766747926,0.0861584503295822,0.5515311425601663,,low_transfer_readiness,2.0,4,0.5,0.5,0,RBM44;SYCE2,0.4032636461012663,0.0149589492416532,0.1656433206781238,0.1656433206781238,0.6007036059806509,0.6200590984579104,0.13846059766747926
OS,M23,residual_after_proliferation_and_weight,module_M23__residual_after_proliferation_and_weight,0.4032636461012663,4.275596527816216e-17,185,123,0.11105736385522204,1.1174590067726125,0.19633151098560242,0.08595278744199557,0.5455134959876793,,low_transfer_readiness,2.0,4,0.5,0.5,0,RBM44;SYCE2,0.4032636461012663,0.0149589492416532,0.1656433206781238,0.1656433206781238,0.6007036059806509,0.6200590984579104,0.19633151098560242
DFI,M24,original,module_M24__original,0.38834755867836485,0.38834755867836485,186,143,0.352881819907843,1.423162943967011,4.80469013170839e-06,0.07716401091104416,0.6262071014708067,,high_primary_transfer_readiness,10.0,7,1.0,1.0,1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,0.3883475586783648,4.804690131708406e-06,0.0008623957015157,0.0022422288239408,0.630589808349428,0.8040233343766413,2.6425323353562484e-05
DFI,M24,residual_after_proliferation,module_M24__residual_after_proliferation,0.38834755867836485,1.920385772324595e-17,186,143,0.2804032749595535,1.3236635050642147,0.00044033949183177256,0.07978135614478063,0.6050363987520427,,high_primary_transfer_readiness,10.0,7,1.0,1.0,1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,0.3883475586783648,4.804690131708406e-06,0.0008623957015157,0.0022422288239408,0.630589808349428,0.8040233343766413,0.0011448826787626087
DFI,M24,residual_after_proliferation_and_weight,module_M24__residual_after_proliferation_and_weight,0.38834755867836485,1.7343264788888307e-16,185,142,0.2525598061563496,1.2873164833034914,0.001776694996611146,0.08081333626310196,0.5942225231324757,,high_primary_transfer_readiness,10.0,7,1.0,1.0,1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,0.3883475586783648,4.804690131708406e-06,0.0008623957015157,0.0022422288239408,0.630589808349428,0.8040233343766413,0.004619406991188979
OS,M24,original,module_M24__original,0.38834755867836485,0.38834755867836485,186,124,0.3098500723748149,1.363220714365667,0.00018000398462129233,0.0827250065921731,0.6063004717358279,,high_primary_transfer_readiness,10.0,7,1.0,1.0,1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,0.3883475586783648,0.0001800039846212,0.0031917368850146,0.0054712352999657,0.6067802030862717,0.8513006366288068,0.00041789731788957634
OS,M24,residual_after_proliferation,module_M24__residual_after_proliferation,0.38834755867836485,1.920385772324595e-17,186,124,0.24701245092622567,1.2801950522931895,0.0030548999041377137,0.08338932901077059,0.59078915807148,,high_primary_transfer_readiness,10.0,7,1.0,1.0,1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,0.3883475586783648,0.0001800039846212,0.0031917368850146,0.0054712352999657,0.6067802030862717,0.8513006366288068,0.004964212344223785
OS,M24,residual_after_proliferation_and_weight,module_M24__residual_after_proliferation_and_weight,0.38834755867836485,1.7343264788888307e-16,185,123,0.24232597321674107,1.2742094832898017,0.004748332546750929,0.08582075769942515,0.5828807651779201,,high_primary_transfer_readiness,10.0,7,1.0,1.0,1,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,0.3883475586783648,0.0001800039846212,0.0031917368850146,0.0054712352999657,0.6067802030862717,0.8513006366288068,0.00771604038847026
DFI,M25,original,module_M25__original,-0.27511300106719366,-0.27511300106719366,186,143,-0.31888219337710993,0.7269611851041964,1.4739471228528751e-05,0.07360156771713929,0.626578517307978,,medium_sensitivity_transfer_readiness,3.0,6,0.6666666666666666,0.6666666666666666,0,STK39;SERTM1;KCTD12;ENC1,-0.2751130010671936,1.4739471228528684e-05,0.0004288565860586,0.0018583785395876,0.6425493983063438,0.8560747615467237,2.9625078940792195e-05
DFI,M25,residual_after_proliferation,module_M25__residual_after_proliferation,-0.27511300106719366,-8.161639532379528e-17,186,143,-0.2556367073992962,0.7744232599338062,0.0003586964747531854,0.07163211919889698,0.6116476006536918,,medium_sensitivity_transfer_readiness,3.0,6,0.6666666666666666,0.6666666666666666,0,STK39;SERTM1;KCTD12;ENC1,-0.2751130010671936,1.4739471228528684e-05,0.0004288565860586,0.0018583785395876,0.6425493983063438,0.8560747615467237,0.0011448826787626087
DFI,M25,residual_after_proliferation_and_weight,module_M25__residual_after_proliferation_and_weight,-0.27511300106719366,-6.262845618209669e-17,185,142,-0.23798054860606194,0.7882180228839298,0.0009017927293244592,0.07169171638142806,0.603776423681637,,medium_sensitivity_transfer_readiness,3.0,6,0.6666666666666666,0.6666666666666666,0,STK39;SERTM1;KCTD12;ENC1,-0.2751130010671936,1.4739471228528684e-05,0.0004288565860586,0.0018583785395876,0.6425493983063438,0.8560747615467237,0.0029308263703044925
OS,M25,original,module_M25__original,-0.27511300106719366,-0.27511300106719366,186,124,-0.2745122211202412,0.7599427168408527,0.0004782701902201809,0.07859733432048538,0.6036619493083873,,medium_sensitivity_transfer_readiness,3.0,6,0.6666666666666666,0.6666666666666666,0,STK39;SERTM1;KCTD12;ENC1,-0.2751130010671936,0.0004782701902201,0.005261302650425,0.0071072211142037,0.6199728152234748,0.8510663695945908,0.0006898486991917073
OS,M25,residual_after_proliferation,module_M25__residual_after_proliferation,-0.27511300106719366,-8.161639532379528e-17,186,124,-0.23255274038061732,0.7925079510735775,0.002885936421752052,0.07804743660468537,0.5902294714959623,,medium_sensitivity_transfer_readiness,3.0,6,0.6666666666666666,0.6666666666666666,0,STK39;SERTM1;KCTD12;ENC1,-0.2751130010671936,0.0004782701902201,0.005261302650425,0.0071072211142037,0.6199728152234748,0.8510663695945908,0.004964212344223785
OS,M25,residual_after_proliferation_and_weight,module_M25__residual_after_proliferation_and_weight,-0.27511300106719366,-6.262845618209669e-17,185,123,-0.2286933004805006,0.7955724977941169,0.003651628690627114,0.07867565661220674,0.5835292210423928,,medium_sensitivity_transfer_readiness,3.0,6,0.6666666666666666,0.6666666666666666,0,STK39;SERTM1;KCTD12;ENC1,-0.2751130010671936,0.0004782701902201,0.005261302650425,0.0071072211142037,0.6199728152234748,0.8510663695945908,0.006781596139736069
DFI,M27,original,module_M27__original,0.29832212360607696,0.29832212360607696,186,143,0.3148193801766447,1.3700118373122963,3.6408476427399506e-05,0.07624288741453654,0.6167731392066558,,high_sensitivity_transfer_readiness,5.0,8,0.5,0.75,2,CA14;LEPR;HK2;DLG2,0.2983221236060769,3.640847642739951e-05,0.0008139202280138,0.0022422288239408,0.6354182142326549,0.8554565509356847,4.733101935561936e-05
DFI,M27,residual_after_proliferation,module_M27__residual_after_proliferation,0.29832212360607696,1.0082025304704122e-16,186,143,0.24018636609589894,1.2714860901405536,0.0011288837114805052,0.07376131015322297,0.5990937453573021,,high_sensitivity_transfer_readiness,5.0,8,0.5,0.75,2,CA14;LEPR;HK2;DLG2,0.2983221236060769,3.640847642739951e-05,0.0008139202280138,0.0022422288239408,0.6354182142326549,0.8554565509356847,0.0021400221359348243
DFI,M27,residual_after_proliferation_and_weight,module_M27__residual_after_proliferation_and_weight,0.29832212360607696,5.781088262962772e-17,185,142,0.1977055181885133,1.2186034844165157,0.0066660765921045095,0.07287121253823393,0.587226359738208,,high_sensitivity_transfer_readiness,5.0,8,0.5,0.75,2,CA14;LEPR;HK2;DLG2,0.2983221236060769,3.640847642739951e-05,0.0008139202280138,0.0022422288239408,0.6354182142326549,0.8554565509356847,0.009614824495293762
OS,M27,original,module_M27__original,0.29832212360607696,0.29832212360607696,186,124,0.3023517525469459,1.3530370772517912,0.00039540351170979304,0.08533458053093768,0.5999040537299113,,high_sensitivity_transfer_readiness,5.0,8,0.5,0.75,2,CA14;LEPR;HK2;DLG2,0.2983221236060769,0.0003954035117097,0.0033669140307481,0.0054712352999657,0.6174142480211082,0.8714543053957201,0.0006425307065284137
OS,M27,residual_after_proliferation,module_M27__residual_after_proliferation,0.29832212360607696,1.0082025304704122e-16,186,124,0.24073027381701387,1.2721778493518054,0.003704532203097255,0.08294512947941582,0.5781562325097945,,high_sensitivity_transfer_readiness,5.0,8,0.5,0.75,2,CA14;LEPR;HK2;DLG2,0.2983221236060769,0.0003954035117097,0.0033669140307481,0.0054712352999657,0.6174142480211082,0.8714543053957201,0.005350990960029368
OS,M27,residual_after_proliferation_and_weight,module_M27__residual_after_proliferation_and_weight,0.29832212360607696,5.781088262962772e-17,185,123,0.21287365798342633,1.2372283274468252,0.008837110230560635,0.08130248400262725,0.5758288076517792,,high_sensitivity_transfer_readiness,5.0,8,0.5,0.75,2,CA14;LEPR;HK2;DLG2,0.2983221236060769,0.0003954035117097,0.0033669140307481,0.0054712352999657,0.6174142480211082,0.8714543053957201,0.012764714777476474
DFI,M28,original,module_M28__original,-0.40618162148164316,-0.40618162148164316,186,143,-0.4232614159069978,0.6549074075182986,4.512375081507683e-07,0.08388116009278421,0.6337097013816669,,medium_sensitivity_transfer_readiness,3.0,13,0.4615384615384615,0.6153846153846154,0,SUGCT;TTC39B;MPIG6B;ATP8B4;ZBED2;SCRN2,-0.4061816214816431,4.512375081507734e-07,5.269112509492332e-05,0.0003456609128392,0.6485663348685188,0.8646702561699189,5.866087605959988e-06
DFI,M28,residual_after_proliferation,module_M28__residual_after_proliferation,-0.40618162148164316,-1.920385772324595e-17,186,143,-0.31298290747470114,0.7312624115833319,6.416835416147882e-05,0.07830576066131935,0.609419105630664,,medium_sensitivity_transfer_readiness,3.0,13,0.4615384615384615,0.6153846153846154,0,SUGCT;TTC39B;MPIG6B;ATP8B4;ZBED2;SCRN2,-0.4061816214816431,4.512375081507734e-07,5.269112509492332e-05,0.0003456609128392,0.6485663348685188,0.8646702561699189,0.00027806286803307487
DFI,M28,residual_after_proliferation_and_weight,module_M28__residual_after_proliferation_and_weight,-0.40618162148164316,6.744602973456566e-17,185,142,-0.2812856419709194,0.754812698497314,0.0002905313741881699,0.07762602976832449,0.5982848115549537,,medium_sensitivity_transfer_readiness,3.0,13,0.4615384615384615,0.6153846153846154,0,SUGCT;TTC39B;MPIG6B;ATP8B4;ZBED2;SCRN2,-0.4061816214816431,4.512375081507734e-07,5.269112509492332e-05,0.0003456609128392,0.6485663348685188,0.8646702561699189,0.001310154669001018
OS,M28,original,module_M28__original,-0.40618162148164316,-0.40618162148164316,186,124,-0.37955802225639756,0.6841637275390009,3.8877790935650044e-05,0.09225898150323526,0.6192532181978092,,medium_sensitivity_transfer_readiness,3.0,13,0.4615384615384615,0.6153846153846154,0,SUGCT;TTC39B;MPIG6B;ATP8B4;ZBED2;SCRN2,-0.4061816214816431,3.88777909356504e-05,0.0007370479412028,0.0031938744118788,0.6316462780842728,0.892888489463236,0.0003380676664643618
OS,M28,residual_after_proliferation,module_M28__residual_after_proliferation,-0.40618162148164316,-1.920385772324595e-17,186,124,-0.2962452532435302,0.7436050341082242,0.0007497740769549558,0.08788834266079962,0.5937475013992164,,medium_sensitivity_transfer_readiness,3.0,13,0.4615384615384615,0.6153846153846154,0,SUGCT;TTC39B;MPIG6B;ATP8B4;ZBED2;SCRN2,-0.4061816214816431,3.88777909356504e-05,0.0007370479412028,0.0031938744118788,0.6316462780842728,0.892888489463236,0.0036362199478153106
OS,M28,residual_after_proliferation_and_weight,module_M28__residual_after_proliferation_and_weight,-0.40618162148164316,6.744602973456566e-17,185,123,-0.2822551484978447,0.754081257285322,0.001288795194443761,0.08769873487669241,0.5933371159925428,,medium_sensitivity_transfer_readiness,3.0,13,0.4615384615384615,0.6153846153846154,0,SUGCT;TTC39B;MPIG6B;ATP8B4;ZBED2;SCRN2,-0.4061816214816431,3.88777909356504e-05,0.0007370479412028,0.0031938744118788,0.6316462780842728,0.892888489463236,0.005267764581092672
DFI,M30,original,module_M30__original,-0.32935558900500533,-0.32935558900500533,186,143,-0.3258383346097162,0.7219218877820005,3.407811829624706e-05,0.07862233009170909,0.5768087951270242,,high_sensitivity_transfer_readiness,5.0,7,0.4285714285714285,1.0,1,PTEN;RNLS;ATAD1,-0.3293555890050054,3.407811829624717e-05,0.0023334907127339,0.0032120696060035,0.620264448076066,0.7683424277261821,4.733101935561936e-05
DFI,M30,residual_after_proliferation,module_M30__residual_after_proliferation,-0.32935558900500533,-1.2962603963191015e-16,186,143,-0.24071615943755442,0.786064711776416,0.0046673597582715595,0.08508463580687814,0.5470212449858862,,high_sensitivity_transfer_readiness,5.0,7,0.4285714285714285,1.0,1,PTEN;RNLS;ATAD1,-0.3293555890050054,3.407811829624717e-05,0.0023334907127339,0.0032120696060035,0.620264448076066,0.7683424277261821,0.00644400443862807
DFI,M30,residual_after_proliferation_and_weight,module_M30__residual_after_proliferation_and_weight,-0.32935558900500533,-2.8905441314813855e-16,185,142,-0.23673756553285624,0.7891983736978833,0.0057298649979514735,0.08568592200671586,0.5430677800346047,,high_sensitivity_transfer_readiness,5.0,7,0.4285714285714285,1.0,1,PTEN;RNLS;ATAD1,-0.3293555890050054,3.407811829624717e-05,0.0023334907127339,0.0032120696060035,0.620264448076066,0.7683424277261821,0.009311030621671145
OS,M30,original,module_M30__original,-0.32935558900500533,-0.32935558900500533,186,124,-0.3287911401948563,0.7197933369447034,5.698782529143251e-05,0.08168828832895332,0.5980650835532102,,high_sensitivity_transfer_readiness,5.0,7,0.4285714285714285,1.0,1,PTEN;RNLS;ATAD1,-0.3293555890050054,5.698782529143232e-05,0.0015872197137697,0.0050684703228358,0.6214120092748061,0.8413201972917594,0.0003380676664643618
OS,M30,residual_after_proliferation,module_M30__residual_after_proliferation,-0.32935558900500533,-1.2962603963191015e-16,186,124,-0.2758440517419555,0.7589312755435668,0.0016782553605301433,0.08779384603548798,0.5744782921563925,,high_sensitivity_transfer_readiness,5.0,7,0.4285714285714285,1.0,1,PTEN;RNLS;ATAD1,-0.3293555890050054,5.698782529143232e-05,0.0015872197137697,0.0050684703228358,0.6214120092748061,0.8413201972917594,0.0036362199478153106
OS,M30,residual_after_proliferation_and_weight,module_M30__residual_after_proliferation_and_weight,-0.32935558900500533,-2.8905441314813855e-16,185,123,-0.27381134623417347,0.7604755283012115,0.0019290282033472819,0.08829926697264535,0.5716138445327065,,high_sensitivity_transfer_readiness,5.0,7,0.4285714285714285,1.0,1,PTEN;RNLS;ATAD1,-0.3293555890050054,5.698782529143232e-05,0.0015872197137697,0.0050684703228358,0.6214120092748061,0.8413201972917594,0.005267764581092672
