initial_factors,module_label,subspace_name,analysis_set_a,analysis_set_b,capture_a,capture_b,capture_difference_a_minus_b
12,M40,ubiquitous_all_groups,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.015440369382833965,0.3264793322359663,-0.3110389628531324
12,M40,ubiquitous_all_groups,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.2798486997294839,0.3264793322359663,-0.04663063250648242
12,M40,partially_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.3136872143356677,0.004698212479597067,0.30898900185607064
12,M40,partially_shared,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.3136872143356677,0.0045754960914487835,0.3091117182442189
12,M40,partially_shared,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.004698212479597067,0.0045754960914487835,0.00012271638814828362
12,M40,shared_non_ffpe_only,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.3136872143356677,0.004698212479597067,0.30898900185607064
12,M40,shared_non_ffpe_only,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.3136872143356677,0.3267122775319514,-0.013025063196283715
12,M40,shared_non_ffpe_only,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.004698212479597067,0.3267122775319514,-0.32201406505235436
12,M40,gse39055_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.015440369382833965,0.2798486997294839,-0.26440833034664996
16,M34,all_retained,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.35554173812128037,0.3424813312552999,0.013060406865980478
16,M34,all_retained,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.35554173812128037,0.3287600736130333,0.026781664508247094
16,M34,all_retained,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.3424813312552999,0.3287600736130333,0.013721257642266615
16,M34,shared_two_or_more,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.3483185702794604,0.34052349792461234,0.007795072354848054
