endpoint,module_label,contrast,model_a,model_b,mean_repeat_c_index_a,mean_repeat_c_index_b,n_repeats,n_fold_pairs,mean_delta_c_index,median_delta_c_index,std_delta_c_index,bootstrap_repeat_mean_ci_low,bootstrap_repeat_mean_ci_high,fraction_repeat_deltas_positive,wilcoxon_repeat_p_two_sided,wilcoxon_repeat_p_greater,sign_repeat_p_two_sided,sign_repeat_p_greater,corrected_t,corrected_t_df,corrected_t_p_two_sided,corrected_standard_error,correction_factor,wilcoxon_repeat_p_two_sided_bh_q,wilcoxon_repeat_p_greater_bh_q,corrected_t_p_two_sided_bh_q,descriptive_support
DFI,M17,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.6320489694917939,0.6003221908374103,20,100,0.03172677865438372,0.03406019433589491,0.011369635781359003,0.02667713680379269,0.03640978826149158,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.4003010708101165,99.0,0.1645494687938366,0.02265711232801445,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.3095097151122165,strong_descriptive_support
DFI,M11,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.6406628931488894,0.6185646868310735,20,100,0.02209820631781586,0.02455443051103523,0.009789647214971749,0.017982680245698105,0.02621156642620738,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.135502372567242,99.0,0.25890641972563955,0.019461171417770186,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.4162983471447286,strong_descriptive_support
DFI,M40,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.6575943471191769,0.6359537020119748,20,100,0.021640645107202088,0.023094236169541538,0.006992202730124978,0.018552199867948285,0.024542737826224764,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,2.5187311854865286,99.0,0.013379603356603325,0.00859188357689783,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.07301195302298273,strong_descriptive_support
DFI,M28,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.6445324445280587,0.6348602013448914,20,100,0.009672243183167461,0.008900789067440629,0.007900652588641262,0.006394346806031977,0.01307841329700116,0.85,3.62396240234375e-05,1.811981201171875e-05,0.0025768280029296875,0.0012884140014648438,0.8068321489704823,99.0,0.42169728813305185,0.01198792486827557,0.26,4.996675433534564e-05,3.925959269205729e-05,0.5817488111643591,weak_positive_descriptive_support
DFI,M25,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.639259684169693,0.6300436675956382,20,100,0.009216016574054742,0.008726525809509222,0.007036099856731148,0.006402941056961064,0.012297213655549966,0.95,3.814697265625e-06,1.9073486328125e-06,4.00543212890625e-05,2.002716064453125e-05,0.44127641835382786,99.0,0.6599751461049603,0.020884906128532537,0.26,5.690777888063525e-06,4.567598041735198e-06,0.7667358315042921,weak_positive_descriptive_support
DFI,M38,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.6165466164814684,0.6076913480980591,20,100,0.008855268383409354,0.009305569867570918,0.0050009437849946724,0.006671063915859925,0.01102647239416282,0.95,3.814697265625e-06,1.9073486328125e-06,4.00543212890625e-05,2.002716064453125e-05,0.784755776005477,99.0,0.4344706311227492,0.011284107303400787,0.26,5.690777888063525e-06,4.567598041735198e-06,0.5817488111643591,weak_positive_descriptive_support
DFI,M34,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.6418075134740231,0.6344928447664213,20,100,0.007314668707601635,0.007708285416202776,0.008840682862854688,0.003564785875891013,0.010988902676173161,0.75,0.0019855499267578125,0.0009927749633789062,0.04138946533203125,0.020694732666015625,0.4074070688493824,99.0,0.6845886407427323,0.017954201747799894,0.26,0.002509514490763346,0.0019221813120740526,0.7726071802667979,weak_positive_descriptive_support
DFI,M24,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.628362028895247,0.6255148144248533,20,100,0.0028472144703936887,0.0015932268836477692,0.006236988255568225,0.00017565306436406497,0.005526897971583575,0.7,0.058258056640625,0.0291290283203125,0.11531829833984375,0.057659149169921875,0.195584682772955,99.0,0.8453361221653107,0.014557451176782078,0.26,0.06975635729337994,0.05301483154296875,0.8789837977920959,weak_positive_descriptive_support
DFI,M40,module_vs_disjoint_proliferation,module_only,disjoint_proliferation_only,0.6359537020119748,0.5990777535687319,20,100,0.03687594844324289,0.03805317349912085,0.0035412346937920445,0.03529396236478413,0.03825271976236705,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,4.740511668710745,99.0,7.152858388839386e-06,0.007778896250090213,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.0002825379063591557,strong_descriptive_support
DFI,M28,module_vs_disjoint_proliferation,module_only,disjoint_proliferation_only,0.6348602013448914,0.6077530718737091,20,100,0.027107129471182247,0.02587370207596218,0.009840906405489685,0.022858526901956812,0.031083896409399753,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,0.9080102545311478,99.0,0.36607783951489903,0.0298533296688142,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.5456631947486231,strong_descriptive_support
