endpoint,module_label,model,repeat,n_valid_folds,repeat_mean_c_index,repeat_median_c_index,repeat_min_c_index,repeat_max_c_index
DFI,M17,disjoint_proliferation_only,14,5,0.6026740460626341,0.6289424860853432,0.4915572232645403,0.6673728813559322
DFI,M17,disjoint_proliferation_only,15,5,0.6122817365787934,0.6243386243386243,0.5385906040268457,0.6647058823529411
DFI,M17,disjoint_proliferation_only,16,5,0.6079107787279705,0.6068376068376068,0.5813492063492064,0.6382189239332097
DFI,M17,disjoint_proliferation_only,17,5,0.6098568223670597,0.6064400715563506,0.560081466395112,0.6494252873563219
DFI,M17,disjoint_proliferation_only,18,5,0.6076035932945165,0.602510460251046,0.4990825688073395,0.7449908925318761
DFI,M17,disjoint_proliferation_only,19,5,0.5991237622538222,0.5841584158415841,0.5509090909090909,0.6964285714285714
DFI,M17,disjoint_proliferation_only,20,5,0.6013243577168194,0.5923217550274223,0.493069306930693,0.6837121212121212
DFI,M17,module_only,1,5,0.6029494999871784,0.6242171189979123,0.5139146567717996,0.6614481409001957
DFI,M17,module_only,2,5,0.5940575896892728,0.6051502145922747,0.5218181818181818,0.6513761467889908
DFI,M17,module_only,3,5,0.60502355302692,0.6145251396648045,0.563953488372093,0.6303501945525292
DFI,M17,module_only,4,5,0.5927204044152343,0.5919732441471572,0.5473251028806584,0.6290909090909091
DFI,M17,module_only,5,5,0.5994213236175273,0.611353711790393,0.4659685863874345,0.66600790513834
DFI,M17,module_only,6,5,0.6035883752505324,0.5852372583479789,0.5065502183406113,0.7030411449016101
DFI,M17,module_only,7,5,0.587145376870329,0.588021778584392,0.4980544747081712,0.6981818181818182
DFI,M17,module_only,8,5,0.5991179227028632,0.6106719367588933,0.4818355640535373,0.6777003484320557
DFI,M17,module_only,9,5,0.6241071374973377,0.6454720616570327,0.5471014492753623,0.6800847457627118
DFI,M17,module_only,10,5,0.59817095551476,0.6185770750988142,0.504302925989673,0.6593625498007968
DFI,M17,module_only,11,5,0.5961980410334455,0.6045197740112994,0.5278276481149012,0.6451612903225806
DFI,M17,module_only,12,5,0.5929593633488991,0.589648798521257,0.5079365079365079,0.6763110307414105
DFI,M17,module_only,13,5,0.5979914164866388,0.6070038910505836,0.5503080082135524,0.6666666666666666
DFI,M17,module_only,14,5,0.6006238457668014,0.5741525423728814,0.5628517823639775,0.6589595375722543
DFI,M17,module_only,15,5,0.5956781260380228,0.5726141078838174,0.5318791946308725,0.6843137254901961
DFI,M17,module_only,16,5,0.6026474469369393,0.588126159554731,0.5456171735241503,0.6623931623931624
DFI,M17,module_only,17,5,0.6022950221238011,0.5806451612903226,0.5440613026819924,0.6994633273703041
DFI,M17,module_only,18,5,0.6113707700380742,0.6192468619246861,0.5507518796992481,0.6612021857923497
DFI,M17,module_only,19,5,0.6001459656199323,0.6038135593220338,0.4871287128712871,0.6767857142857143
DFI,M17,module_only,20,5,0.6002316807836956,0.6158415841584158,0.509469696969697,0.6614481409001957
DFI,M17,module_plus_disjoint_proliferation,1,5,0.6381914697982863,0.6580756013745704,0.5365344467640919,0.7181996086105675
DFI,M17,module_plus_disjoint_proliferation,2,5,0.6205874008925273,0.5977653631284916,0.5581818181818182,0.708256880733945
DFI,M17,module_plus_disjoint_proliferation,3,5,0.636769018503722,0.626970227670753,0.5968992248062015,0.6883629191321499
DFI,M17,module_plus_disjoint_proliferation,4,5,0.6298786774133992,0.6172839506172839,0.597872340425532,0.6746323529411765
DFI,M17,module_plus_disjoint_proliferation,5,5,0.6335598325674597,0.601018675721562,0.5165794066317626,0.7371541501976284
DFI,M17,module_plus_disjoint_proliferation,6,5,0.6375702549723898,0.6498194945848376,0.5895196506550219,0.6869409660107334
DFI,M17,module_plus_disjoint_proliferation,7,5,0.6320946196391682,0.6206896551724138,0.556420233463035,0.6961770623742455
DFI,M17,module_plus_disjoint_proliferation,8,5,0.6507582193106575,0.6620553359683794,0.5487571701720841,0.7112676056338029
DFI,M17,module_plus_disjoint_proliferation,9,5,0.6352405426533985,0.5960144927536232,0.5636704119850188,0.7288135593220338
DFI,M17,module_plus_disjoint_proliferation,10,5,0.608294225586711,0.6110154905335629,0.536144578313253,0.6812749003984063
DFI,M17,module_plus_disjoint_proliferation,11,5,0.6356437304281055,0.62890625,0.5763016157989228,0.687382297551789
DFI,M17,module_plus_disjoint_proliferation,12,5,0.6334999928009093,0.6635338345864662,0.5198412698412699,0.6871609403254972
DFI,M17,module_plus_disjoint_proliferation,13,5,0.6109629439503932,0.602112676056338,0.5338809034907598,0.6741996233521658
DFI,M17,module_plus_disjoint_proliferation,14,5,0.62789023566652,0.6313559322033898,0.5422138836772983,0.681260945709282
