cohort,module_label,gene,frozen_risk_loading,frozen_risk_sign,cohort_pc1_loading_aligned,cohort_pc1_sign,loading_sign_concordant
CANINE_DOG2,M40,MYBL2_3,0.1041204659402498,1.0,0.11886458471877587,1.0,True
CANINE_DOG2,M40,MYOF_3,-0.054401665449972,-1.0,-0.06236883365621423,-1.0,True
CANINE_DOG2,M40,NCAPG_3,0.1049393112364354,1.0,0.12005029988817341,1.0,True
CANINE_DOG2,M40,NDUFB9_3,0.0504737577972878,1.0,0.05756277306393955,1.0,True
CANINE_DOG2,M40,NIBAN1_3,-0.0655626460490474,-1.0,-0.07429876296589867,-1.0,True
CANINE_DOG2,M40,NMRAL1_3,0.0933106347422463,1.0,0.10672834227756645,1.0,True
CANINE_DOG2,M40,NSMCE2_3,0.0696088962134618,1.0,0.07953248908821653,1.0,True
CANINE_DOG2,M40,ORC1_3,0.1061563924796343,1.0,0.12145029784443764,1.0,True
CANINE_DOG2,M40,ORC6_3,0.1030528819520424,1.0,0.11711898781719714,1.0,True
CANINE_DOG2,M40,PLK4_3,0.0940995026305532,1.0,0.10770679189682614,1.0,True
CANINE_DOG2,M40,POLE_3,0.1028356164526888,1.0,0.11816990923811121,1.0,True
CANINE_DOG2,M40,POLE2_3,0.094795966660785,1.0,0.10857001935213753,1.0,True
CANINE_DOG2,M40,POLQ_3,0.0887894189512986,1.0,0.10209148299388612,1.0,True
CANINE_DOG2,M40,RAB30_3,-0.058543598362329,-1.0,-0.06702972228444697,-1.0,True
CANINE_DOG2,M40,RCOR2_3,0.0669032695532991,1.0,0.07748293819243172,1.0,True
CANINE_DOG2,M40,RECQL4_3,0.0913209009568468,1.0,0.10417999824513026,1.0,True
CANINE_DOG2,M40,RELN_3,-0.0380354862506634,-1.0,-0.04392518196773224,-1.0,True
CANINE_DOG2,M40,REXO5_3,0.0989621471555763,1.0,0.11236319676513502,1.0,True
CANINE_DOG2,M40,RRM2_3,0.0877466283776931,1.0,0.09978102424632362,1.0,True
CANINE_DOG2,M40,SCML2_3,0.0777627800673374,1.0,0.09007291594144429,1.0,True
CANINE_DOG2,M40,SFRP4_3,-0.0610878357534643,-1.0,-0.07047020429362512,-1.0,True
CANINE_DOG2,M40,SH3D19_3,-0.0624090229162989,-1.0,-0.0711680430302101,-1.0,True
CANINE_DOG2,M40,SIM2_3,0.0534732726760469,1.0,0.06117336847638817,1.0,True
