endpoint,gene,gene_symbol_clean,human_gene_symbol,candidate_transfer_set,rna_evidence_tier,rna_evidence_priority_score,expression_column_used,score_type,score_column,gene_proliferation_correlation_raw,score_proliferation_correlation_after_residualization,n,events,coef,hr,p,se,c_index,error,gene_proliferation_correlation,gene_only_p,gene_plus_proliferation_p,gene_plus_proliferation_q,gene_plus_proliferation_c_index,abs_coef_ratio_after_proliferation_adjustment,q
OS,ACSS3_3,ACSS3,ACSS3,strict_primary,high_rna_evidence,10.0,ACSS3_3,original,candidate_5__original,-0.4949807910559759,-0.49498079105597603,186,124,-0.29436693893807886,0.7450030706463796,0.0008633197480094306,0.08835463369240386,0.6050211881346446,,-0.4949807910559759,0.0008633197480094,0.0257974806074401,0.0394549703407907,0.6148556808187415,0.781978949021259,0.0018705261206870998
OS,ACSS3_3,ACSS3,ACSS3,strict_primary,high_rna_evidence,10.0,ACSS3_3,residual_after_proliferation,candidate_5__residual_after_proliferation,-0.4949807910559759,-9.481904750852686e-17,186,124,-0.2042910450443785,0.8152250694397054,0.02694555675508052,0.09234304947343108,0.5730390981050612,,-0.4949807910559759,0.0008633197480094,0.0257974806074401,0.0394549703407907,0.6148556808187415,0.781978949021259,0.038921359757338535
OS,ACSS3_3,ACSS3,ACSS3,strict_primary,high_rna_evidence,10.0,ACSS3_3,residual_after_proliferation_and_weight,candidate_5__residual_after_proliferation_and_weight,-0.4949807910559759,-3.50478475942118e-16,185,123,-0.19453940351456744,0.8232137401028385,0.034821670309978334,0.09218015428601216,0.5726675853124746,,-0.4949807910559759,0.0008633197480094,0.0257974806074401,0.0394549703407907,0.6148556808187415,0.781978949021259,0.050297968225524264
DFI,ELOVL4_3,ELOVL4,ELOVL4,strict_primary,high_rna_evidence,8.0,ELOVL4_3,original,candidate_6__original,0.5249545311317305,0.5249545311317304,186,143,0.29017563323819057,1.3366622297264201,0.0006637532510616337,0.08524224770005621,0.5964938344971029,,0.5249545311317305,0.0006637532510616,0.0495370381735889,0.0536651246880546,0.6162531570346159,0.654507928349492,0.0011505056351734982
DFI,ELOVL4_3,ELOVL4,ELOVL4,strict_primary,high_rna_evidence,8.0,ELOVL4_3,residual_after_proliferation,candidate_6__residual_after_proliferation,0.5249545311317305,7.681543089298378e-17,186,143,0.14498343223681925,1.156020417436854,0.07488105260842769,0.08139684746723866,0.5504382706878621,,0.5249545311317305,0.0006637532510616,0.0495370381735889,0.0536651246880546,0.6162531570346159,0.654507928349492,0.08112114032579666
DFI,ELOVL4_3,ELOVL4,ELOVL4,strict_primary,high_rna_evidence,8.0,ELOVL4_3,residual_after_proliferation_and_weight,candidate_6__residual_after_proliferation_and_weight,0.5249545311317305,2.8905441314813855e-16,185,142,0.13861485500761722,1.14868160582854,0.08971864554274477,0.0816878923202376,0.5478071165274957,,0.5249545311317305,0.0006637532510616,0.0495370381735889,0.0536651246880546,0.6162531570346159,0.654507928349492,0.0967740968840888
OS,ELOVL4_3,ELOVL4,ELOVL4,strict_primary,high_rna_evidence,8.0,ELOVL4_3,original,candidate_6__original,0.5249545311317305,0.5249545311317304,186,124,0.32230301999066324,1.380302971986852,0.0007087797731355025,0.09518244703107384,0.6214919644998801,,0.5249545311317305,0.0007087797731355,0.0139516399018204,0.025910188389095,0.6228512033261374,0.8192202058354208,0.0018428274101523067
OS,ELOVL4_3,ELOVL4,ELOVL4,strict_primary,high_rna_evidence,8.0,ELOVL4_3,residual_after_proliferation,candidate_6__residual_after_proliferation,0.5249545311317305,7.681543089298378e-17,186,124,0.20583822843875332,1.228554442748507,0.023205199748696777,0.0906760645325429,0.5871112177180778,,0.5249545311317305,0.0007087797731355,0.0139516399018204,0.025910188389095,0.6228512033261374,0.8192202058354208,0.03549030549800684
OS,ELOVL4_3,ELOVL4,ELOVL4,strict_primary,high_rna_evidence,8.0,ELOVL4_3,residual_after_proliferation_and_weight,candidate_6__residual_after_proliferation_and_weight,0.5249545311317305,2.8905441314813855e-16,185,123,0.20286346515718384,1.2249052145888444,0.025974321062263297,0.09110925923648512,0.586366215449461,,0.5249545311317305,0.0007087797731355,0.0139516399018204,0.025910188389095,0.6228512033261374,0.8192202058354208,0.04220827172617786
DFI,CA14_3,CA14,CA14,strict_primary,medium_rna_evidence,7.0,CA14_3,original,candidate_7__original,0.196997704617765,0.19699770461776506,186,143,0.2797765155527945,1.3228341464423408,0.0002459796390427679,0.07630803204074246,0.5906997474372307,,0.196997704617765,0.0002459796390427,0.0035592910783132,0.0115676960045181,0.6178873867181697,0.8455694880601774,0.0005329558845926638
DFI,CA14_3,CA14,CA14,strict_primary,medium_rna_evidence,7.0,CA14_3,residual_after_proliferation,candidate_7__residual_after_proliferation,0.196997704617765,5.761157316973784e-17,186,143,0.23032619633525261,1.2590106276076156,0.0029956412704526952,0.07759833322179917,0.5626949933145149,,0.196997704617765,0.0002459796390427,0.0035592910783132,0.0115676960045181,0.6178873867181697,0.8455694880601774,0.00973583412897126
DFI,CA14_3,CA14,CA14,strict_primary,medium_rna_evidence,7.0,CA14_3,residual_after_proliferation_and_weight,candidate_7__residual_after_proliferation_and_weight,0.196997704617765,5.781088262962772e-17,185,142,0.21588174573252142,1.2409556220254674,0.005874368492005181,0.07836815145092331,0.5545023696682464,,0.196997704617765,0.0002459796390427,0.0035592910783132,0.0115676960045181,0.6178873867181697,0.8455694880601774,0.013884870981103154
OS,CA14_3,CA14,CA14,strict_primary,medium_rna_evidence,7.0,CA14_3,original,candidate_7__original,0.196997704617765,0.19699770461776506,186,124,0.2781470667678065,1.3206804111269086,0.000523629994878291,0.08019537687871561,0.5963860238266571,,0.196997704617765,0.0005236299948782,0.0021999894923347,0.0095332878001173,0.6058207403853841,0.9177364106730928,0.0017017974833544458
OS,CA14_3,CA14,CA14,strict_primary,medium_rna_evidence,7.0,CA14_3,residual_after_proliferation,candidate_7__residual_after_proliferation,0.196997704617765,5.761157316973784e-17,186,124,0.23704656524983975,1.2675001378617219,0.0032479763684953424,0.08053935501926472,0.5734388742304309,,0.196997704617765,0.0005236299948782,0.0021999894923347,0.0095332878001173,0.6058207403853841,0.9177364106730928,0.012063912225839843
OS,CA14_3,CA14,CA14,strict_primary,medium_rna_evidence,7.0,CA14_3,residual_after_proliferation_and_weight,candidate_7__residual_after_proliferation_and_weight,0.196997704617765,5.781088262962772e-17,185,123,0.22731698954434443,1.2552276989391498,0.004725186671419763,0.08046064035257247,0.5721812434141201,,0.196997704617765,0.0005236299948782,0.0021999894923347,0.0095332878001173,0.6058207403853841,0.9177364106730928,0.014322964253968022
DFI,MEX3A_3,MEX3A,MEX3A,strict_primary,medium_rna_evidence,6.0,MEX3A_3,original,candidate_8__original,0.5109602551487286,0.5109602551487286,186,143,0.4014405760522177,1.4939753332799712,5.051280347377916e-06,0.08798414883512884,0.6169217055415243,,0.5109602551487286,5.051280347377916e-06,0.0030330070935723,0.011265454918983,0.6254642697964641,0.8064469291841679,5.573827177453102e-05
DFI,MEX3A_3,MEX3A,MEX3A,strict_primary,medium_rna_evidence,6.0,MEX3A_3,residual_after_proliferation,candidate_8__residual_after_proliferation,0.5109602551487286,2.880578658486892e-17,186,143,0.314109812105344,1.369040065465146,0.001188136830856417,0.09689624874994349,0.589065517753677,,0.5109602551487286,5.051280347377916e-06,0.0030330070935723,0.011265454918983,0.6254642697964641,0.8064469291841679,0.005148592933711141
DFI,MEX3A_3,MEX3A,MEX3A,strict_primary,medium_rna_evidence,6.0,MEX3A_3,residual_after_proliferation_and_weight,candidate_8__residual_after_proliferation_and_weight,0.5109602551487286,1.92702942098759e-16,185,142,0.29726939727985363,1.3461779072695417,0.0023767309182208965,0.09783074932610691,0.583464981569247,,0.5109602551487286,5.051280347377916e-06,0.0030330070935723,0.011265454918983,0.6254642697964641,0.8064469291841679,0.01029916731229055
OS,MEX3A_3,MEX3A,MEX3A,strict_primary,medium_rna_evidence,6.0,MEX3A_3,original,candidate_8__original,0.5109602551487286,0.5109602551487286,186,124,0.31572581032728064,1.371254220330014,0.00042924185295505594,0.0896586584737717,0.6148556808187415,,0.5109602551487286,0.000429241852955,0.0160086582037802,0.0277483408865523,0.6194131286479572,0.8299860381012745,0.0015943268824044935
OS,MEX3A_3,MEX3A,MEX3A,strict_primary,medium_rna_evidence,6.0,MEX3A_3,residual_after_proliferation,candidate_8__residual_after_proliferation,0.5109602551487286,2.880578658486892e-17,186,124,0.24722313324485276,1.280464795169131,0.00984551573135916,0.09577806393997496,0.5953466059006957,,0.5109602551487286,0.000429241852955,0.0160086582037802,0.0277483408865523,0.6194131286479572,0.8299860381012745,0.018284529215381297
OS,MEX3A_3,MEX3A,MEX3A,strict_primary,medium_rna_evidence,6.0,MEX3A_3,residual_after_proliferation_and_weight,candidate_8__residual_after_proliferation_and_weight,0.5109602551487286,1.92702942098759e-16,185,123,0.2504425590800223,1.284593799557099,0.010720364690838917,0.09814794537550417,0.5939045148739563,,0.5109602551487286,0.000429241852955,0.0160086582037802,0.0277483408865523,0.6194131286479572,0.8299860381012745,0.02281872356970022
DFI,NIBAN1_3,NIBAN1,NIBAN1,strict_primary,medium_rna_evidence,6.0,NIBAN1_3,original,candidate_9__original,-0.4790780560781248,-0.4790780560781248,186,143,-0.34111714270173393,0.7109756177233418,4.80052087310788e-05,0.08391292380431474,0.6189273510622493,,-0.4790780560781248,4.80052087310788e-05,0.009981574260751,0.0151688060814522,0.6272470658148863,0.7360423976008539,0.00017830506100114982
DFI,NIBAN1_3,NIBAN1,NIBAN1,strict_primary,medium_rna_evidence,6.0,NIBAN1_3,residual_after_proliferation,candidate_9__residual_after_proliferation,-0.4790780560781248,-1.536308617859676e-16,186,143,-0.2236332615309303,0.7996083277374053,0.009231877001338373,0.08590224794235088,0.5868370227306492,,-0.4790780560781248,4.80052087310788e-05,0.009981574260751,0.0151688060814522,0.6272470658148863,0.7360423976008539,0.01714491443105698
DFI,NIBAN1_3,NIBAN1,NIBAN1,strict_primary,medium_rna_evidence,6.0,NIBAN1_3,residual_after_proliferation_and_weight,candidate_9__residual_after_proliferation_and_weight,-0.4790780560781248,-2.7941926604320055e-16,185,142,-0.18939720673653246,0.8274577696104782,0.02723289014448798,0.08577137606235011,0.5819604303016626,,-0.4790780560781248,4.80052087310788e-05,0.009981574260751,0.0151688060814522,0.6272470658148863,0.7360423976008539,0.03933639687537152
