analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,interpretable,factor,signed_cosine,absolute_cosine,squared_cosine,active_group_count,active_groups,activity_class
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor9,0.11781215196049855,0.11781215196049855,0.013879703149563601,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor10,0.12848545772885764,0.12848545772885764,0.016508512847794064,2,DOG2;TARGET_OS,partially_shared
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor1,0.010087253946087761,0.010087253946087761,0.0001017526921728631,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor2,0.0613171758079628,0.0613171758079628,0.003759796049064619,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor3,0.04082449538616069,0.04082449538616069,0.0016666394235346554,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor4,0.05966337147102249,0.05966337147102249,0.0035597178952892204,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor5,0.05101764715553136,0.05101764715553136,0.0026028003212862968,1,GSE21257,group_specific
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor6,-0.03632749413407448,0.03632749413407448,0.001319686830061216,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor7,0.004920628984479455,0.004920628984479455,2.4212589602899315e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M11,7,6,0.8571428571428571,True,Factor8,0.10702823794654526,0.10702823794654526,0.01145504371794231,3,DOG2;TARGET_OS;GSE21257,partially_shared
