,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
28_0725__Tumor,-25.83444922781161,1.2076393239172012,-3.7573145753926256,-5.437328760597967,14.234659768455838,-6.814932252658759,6.999515389235006,-7.510262956815964,-6.292812891605668,0.7409212860854475
29_0515_tumor,-5.082897742412566,0.06321259444651381,-10.278686915204524,32.15499183556489,10.076170305011242,-15.11761419964817,1.4298273556740433,5.172585524132638,8.664022777793704,-12.609812183385552
29_0729__Tumor,-11.826940735041587,-40.50003421069601,-16.9142898549317,-21.190152128997724,-10.340941208238373,1.513771893941393,-19.055549749354874,5.028358620287826,-29.74347597268575,-18.38637490402303
2_0203_Tumor,17.91956542203633,-11.827827851971572,56.72228526924757,35.45964209412553,-29.52827951334717,11.317264940020632,3.547952029808485,-4.362398944091803,0.8149878683774734,-12.899480834159851
2_0209__Tumor,-25.762351950912265,-9.458554904738854,-3.1070335671093283,3.2453733000633305,15.478850714720835,4.604382001966025,4.997235974264324,-9.460065277623269,-1.9674539759427734,-7.93401513115521
30_0517_tumor,-18.7114428757262,-6.133516384654154,7.803934011659478,2.0778069819785125,9.030577332937316,5.388194290498603,-1.1125137564823586,-8.309978957641134,-0.13404757738924014,2.276417112381006
30_0814_RNAla_Ter__tumor,-15.308377691385777,-28.19638527627137,-4.499247959240501,-3.1280135984374673,-5.556270059739098,-4.89166781435787,-0.43902624570936816,2.8093351782467955,2.8955498632020107,7.231589077662142
31_0519_tumor,15.124109345607282,-15.96479355627876,-13.131583783456032,-8.456265779335961,-10.678104744343695,0.9127008895116897,-6.355353645301856,-9.164963404807898,23.462251886144866,5.191996143084631
32_0523_tumor,48.82821379134705,11.417863045332656,14.328049131680443,-4.243374895160557,-12.12113003592762,-5.88625715598901,-18.03096413072012,1.2293815645556667,0.32879623254535373,1.4380317454247784
32_0904__Tumor,-19.203562166498905,7.262910764142308,-9.9161079253081,11.445562469409028,8.484573475889729,-14.194999044573676,-10.485158513633031,0.24758919316902198,-11.047008642573067,-9.128974291064358
33_0524_tumor,20.9593423023851,-6.160414671876611,-25.46463821446921,-6.912848171644436,16.944927862929795,-9.819048438138333,-1.5939004400873837,-3.8288609596690955,-2.8016523148254,-5.329645874256832
33_1002__Tumor,-3.0568364748957464,-38.31363008543606,9.30872425174187,-0.2190741166531834,-11.829794144165612,6.86380365325916,6.46087712637153,-4.545629784125968,-0.2699089131851569,5.9850268257511265
34_0601_tumor,16.421636269186234,-27.215142764309654,-21.983752377633966,-2.8039183161046632,-15.210451457544512,0.38870194968886684,-5.396366755630583,-6.913552457562549,-15.838707734017321,-12.300459044521553
34_1004__Tumor,2.249643672448367,-11.601904309832241,-16.839322750100738,9.60276791065525,2.269730451498659,0.15324286012388807,8.053447765653939,15.152646712026048,-4.089274433497849,7.840428210458661
35_0603_tumor,45.636698637945784,-16.704589667589065,33.64283521496948,-12.777489219156006,-2.3256941043516814,1.4168808222742866,23.654155694378133,-5.149827271518879,3.745893409754783,6.843593976095374
35_1007__Tumor,-22.532884830291145,-11.221041445992977,14.213704092756691,8.581353028413005,3.818603229010282,-1.6588494277558765,11.5228918993324,0.1527585099387527,-4.080655138939059,-6.55255552974227
36_0607_tumor,-14.20418070050922,9.54667002405654,4.340641666698268,34.10412314893719,1.6566843655500896,-15.973601289155132,6.1600517980299045,18.70635815338433,1.5943440203109287,-0.279553112597444
36_1014__Tumor,6.6162829362404185,-28.26110624098323,6.429876681950964,2.0539799717083542,27.872914381198306,-6.263287818694849,9.031270273449191,2.923951240399671,-8.787892029928331,-12.252578738892385
37_0625_tumor,62.0738560844224,3.1887342096955362,42.77406356894552,-0.1792472165945196,-22.421026868653353,-13.69936521236968,-18.09986516913011,11.304928586065461,-21.29609087176356,-12.701029243655645
37_1015__Tumor,19.332719749798862,-6.904410320464852,16.225967599598675,12.50104715264224,6.688923632916078,-4.963649047525511,17.814969423161642,-10.470605943463664,11.303867070505893,-8.922186292586247
38_0630_tumor,-11.843428201993463,22.96566334022145,-6.671039731954937,6.463153175532496,-36.43500828036138,-7.200967613586567,-2.7984725774452337,3.185412812695698,-3.094549773177786,25.741474910980248
