endpoint,repeat,fold,module_label,model,c_index,error,n_train,n_test,train_events,test_events,n_module_genes_used,n_original_proliferation_genes_used,n_disjoint_proliferation_genes_used,module_pc1_explained_variance,original_proliferation_pc1_explained_variance,disjoint_proliferation_pc1_explained_variance,train_module_original_proliferation_correlation,train_module_disjoint_proliferation_correlation,residual_sd_before_standardization
DFI,19,5,M24,residual_to_disjoint_proliferation,0.6072727272727273,,149,37,114,29,7,251,251,0.4043155972942491,0.6512064060915287,0.6512064060915287,0.32887043177776754,0.32887043177776754,0.9443750521388761
DFI,19,5,M24,residual_to_disjoint_proliferation_and_weight,0.6163636363636363,,149,37,114,29,7,251,251,0.4043155972942491,0.6512064060915287,0.6512064060915287,0.32887043177776754,0.32887043177776754,0.9388993768637188
DFI,19,5,M25,module_only,0.6781818181818182,,149,37,114,29,6,251,251,0.48148326471833097,0.6512064060915287,0.6512064060915287,-0.24399677623409274,-0.24399677623409274,
DFI,19,5,M25,original_proliferation_only,0.5509090909090909,,149,37,114,29,6,251,251,0.48148326471833097,0.6512064060915287,0.6512064060915287,-0.24399677623409274,-0.24399677623409274,
DFI,19,5,M25,module_plus_original_proliferation,0.6509090909090909,,149,37,114,29,6,251,251,0.48148326471833097,0.6512064060915287,0.6512064060915287,-0.24399677623409274,-0.24399677623409274,
DFI,19,5,M25,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,6,251,251,0.48148326471833097,0.6512064060915287,0.6512064060915287,-0.24399677623409274,-0.24399677623409274,
DFI,19,5,M25,module_plus_disjoint_proliferation,0.6509090909090909,,149,37,114,29,6,251,251,0.48148326471833097,0.6512064060915287,0.6512064060915287,-0.24399677623409274,-0.24399677623409274,
DFI,19,5,M25,residual_to_original_proliferation,0.6509090909090909,,149,37,114,29,6,251,251,0.48148326471833097,0.6512064060915287,0.6512064060915287,-0.24399677623409274,-0.24399677623409274,0.9697760427992487
DFI,19,5,M25,residual_to_disjoint_proliferation,0.6509090909090909,,149,37,114,29,6,251,251,0.48148326471833097,0.6512064060915287,0.6512064060915287,-0.24399677623409274,-0.24399677623409274,0.9697760427992487
DFI,19,5,M25,residual_to_disjoint_proliferation_and_weight,0.6472727272727272,,149,37,114,29,6,251,251,0.48148326471833097,0.6512064060915287,0.6512064060915287,-0.24399677623409274,-0.24399677623409274,0.9543396953760213
DFI,19,5,M27,module_only,0.6581818181818182,,149,37,114,29,8,251,251,0.441648227026845,0.6512064060915287,0.6512064060915287,0.23386962029969594,0.23386962029969594,
DFI,19,5,M27,original_proliferation_only,0.5509090909090909,,149,37,114,29,8,251,251,0.441648227026845,0.6512064060915287,0.6512064060915287,0.23386962029969594,0.23386962029969594,
DFI,19,5,M27,module_plus_original_proliferation,0.62,,149,37,114,29,8,251,251,0.441648227026845,0.6512064060915287,0.6512064060915287,0.23386962029969594,0.23386962029969594,
DFI,19,5,M27,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,8,251,251,0.441648227026845,0.6512064060915287,0.6512064060915287,0.23386962029969594,0.23386962029969594,
DFI,19,5,M27,module_plus_disjoint_proliferation,0.62,,149,37,114,29,8,251,251,0.441648227026845,0.6512064060915287,0.6512064060915287,0.23386962029969594,0.23386962029969594,
DFI,19,5,M27,residual_to_original_proliferation,0.649090909090909,,149,37,114,29,8,251,251,0.441648227026845,0.6512064060915287,0.6512064060915287,0.23386962029969594,0.23386962029969594,0.9722679675382071
DFI,19,5,M27,residual_to_disjoint_proliferation,0.649090909090909,,149,37,114,29,8,251,251,0.441648227026845,0.6512064060915287,0.6512064060915287,0.23386962029969594,0.23386962029969594,0.9722679675382071
DFI,19,5,M27,residual_to_disjoint_proliferation_and_weight,0.6381818181818182,,149,37,114,29,8,251,251,0.441648227026845,0.6512064060915287,0.6512064060915287,0.23386962029969594,0.23386962029969594,0.9375260015270939
DFI,19,5,M28,module_only,0.6290909090909091,,149,37,114,29,13,251,251,0.41253613127843236,0.6512064060915287,0.6512064060915287,-0.31574144241532076,-0.31574144241532076,
DFI,19,5,M28,original_proliferation_only,0.5509090909090909,,149,37,114,29,13,251,251,0.41253613127843236,0.6512064060915287,0.6512064060915287,-0.31574144241532076,-0.31574144241532076,
DFI,19,5,M28,module_plus_original_proliferation,0.6163636363636363,,149,37,114,29,13,251,251,0.41253613127843236,0.6512064060915287,0.6512064060915287,-0.31574144241532076,-0.31574144241532076,
DFI,19,5,M28,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,13,251,251,0.41253613127843236,0.6512064060915287,0.6512064060915287,-0.31574144241532076,-0.31574144241532076,
