analysis,module_label,endpoint,fold,n_module_genes,n_strict_symbol_concordant,n_strict_one_to_one,n_broad_transferable,n_manual_review,fraction_strict_symbol_concordant,fraction_strict_one_to_one,fraction_broad_transferable,n_high_or_medium_rna_evidence,strict_human_symbols,broad_human_symbols,module_transfer_qc_tier
nested_cv,M16,DFI,5.0,5,4,4,4,0,0.8,0.8,0.8,0,NR2F1;HHIP;CHST2;ST6GALNAC3,NR2F1;HHIP;CHST2;ST6GALNAC3,high_sensitivity_transfer_readiness
nested_cv,M9,DFI,4.0,5,4,4,5,1,0.8,0.8,1.0,0,STK39;KCTD12;TMCC3;SERTM1,STK39;KCTD12;TMCC3;LDLRAD4;SERTM1,high_sensitivity_transfer_readiness
nested_cv,M11,DFI,2.0,8,6,6,6,0,0.75,0.75,0.75,0,SRM;ADGRG6;P4HA1;FKBP7;TMCC3;RCN3,SRM;ADGRG6;P4HA1;FKBP7;TMCC3;RCN3,high_sensitivity_transfer_readiness
nested_cv,M13,DFI,5.0,4,3,3,3,0,0.75,0.75,0.75,0,ANGPT2;STC1;IGFBP3,ANGPT2;STC1;IGFBP3,high_sensitivity_transfer_readiness
nested_cv,M17,DFI,3.0,11,7,7,9,2,0.6363636363636364,0.6363636363636364,0.8181818181818182,0,HHIP;OSR2;NET1;SCRN2;NETO1;GLI1;FLVCR2,HHIP;OSR2;NET1;SCRN2;NETO1;GLI1;FLVCR2;CSRP2;STX3,high_sensitivity_transfer_readiness
nested_cv,M9,DFI,1.0,10,5,5,9,4,0.5,0.5,0.9,2,ATAD1;STAMBPL1;PTEN;PIK3IP1;FAM107A,ATAD1;STAMBPL1;PTEN;SGMS1;MINPP1;FAS;PAPSS2;PIK3IP1;FAM107A,high_sensitivity_transfer_readiness
nested_cv,M18,DFI,5.0,4,2,2,3,1,0.5,0.5,0.75,1,H2AX;STON1,H2AX;H2AC6;STON1,high_sensitivity_transfer_readiness
nested_cv,M5,DFI,4.0,6,3,3,6,3,0.5,0.5,1.0,1,ATAD1;PTEN;STAMBPL1,MINPP1;ATAD1;PTEN;STAMBPL1;PAPSS2;SGMS1,high_sensitivity_transfer_readiness
nested_cv,M2,DFI,1.0,4,2,2,3,1,0.5,0.5,0.75,0,NETO1;SCRN2,NETO1;SCRN2;STX3,high_sensitivity_transfer_readiness
nested_cv,M20,DFI,5.0,4,2,2,3,1,0.5,0.5,0.75,0,SCRN2;TSTD1,SCRN2;STX3;TSTD1,high_sensitivity_transfer_readiness
nested_cv,M19,DFI,5.0,5,2,2,5,3,0.4,0.4,1.0,1,ATAD1;PTEN,ATAD1;MINPP1;PTEN;PAPSS2;SGMS1,high_sensitivity_transfer_readiness
nested_cv,M15,DFI,5.0,4,2,2,2,0,0.5,0.5,0.5,0,STUM;SERTM1,STUM;SERTM1,low_transfer_readiness
nested_cv,M12,DFI,4.0,63,46,46,54,8,0.7301587301587301,0.7301587301587301,0.8571428571428571,4,CYP4V2;ZMAT1;ENPP5;TLR3;KIAA0040;CTSH;TLR7;MOSPD2;CSF1R;BLNK;TMEM86A;ABCC3;TAPBPL;SCTR;RASSF5;TBC1D9;PYCARD;EVI2A;TMEM140;HNMT;GPR183;TNFAIP8L2;PIK3AP1;TAGAP;RGS18;INPP5D;CBLN3;GASK1B;IFI30;SLC6A6;SAMD9L;ACOD1;CARD9;RETSAT;ADGRG6;PTPN6;HACD4;GPSM3;BATF2;NCF4;NCKAP1L;PARP15;ANKRD22;CYTH4;RNASEL;LAPTM5,CYP4V2;ZMAT1;ENPP5;FMO5;TLR3;KIAA0040;CTSH;APOBEC3H;EVI2B;TLR7;P2RX7;MOSPD2;CSF1R;BLNK;TMEM86A;ABCC3;TAPBPL;SCTR;RASSF5;TBC1D9;PYCARD;EVI2A;SELPLG;TMEM140;HNMT;ASAH1;GPR183;TNFAIP8L2;PIK3AP1;LMO2;TAGAP;RGS18;INPP5D;CBLN3;GASK1B;IFI30;SLC6A6;SAMD9L;ACOD1;CARD9;RETSAT;ADGRG6;PTPN6;IFIT3;HACD4;GPSM3;BATF2;NCF4;NCKAP1L;PARP15;ANKRD22;CYTH4;RNASEL;LAPTM5,medium_primary_transfer_readiness
nested_cv,M15,DFI,2.0,96,70,70,79,9,0.7291666666666666,0.7291666666666666,0.8229166666666666,8,SUGCT;UBE2S;RECQL4;NIBAN1;DNA2;LHX2;SPC24;RCOR2;FANCM;FANCA;E2F1;TRIP13;CENPK;POLE2;FANCD2;SPC25;DLGAP5;MYBL2;PLK4;CCNA2;FAM180A;HSP90AA1;RBM44;TSPAN33;SPAG5;CDCA8;MCM5;SIVA1;SH3D19;ECT2;DNPH1;HSPH1;IGF2BP1;POLE;TONSL;TNFSF10;FAM83D;DSN1;ELOVL4;SCML2;E2F7;RAB30;HELLS;BUB1;PER2;CDC6;UBE2T;CDCA3;TK1;UHRF1;SKA3;GTSE1;SULT1C4;ORC6;MIS18A;ST8SIA5;TOP2A;NCAPG;C1S;MCM2;CDC20;GPRC5C;MTFR2;RRM2;DRAM1;KIF22;CXCL14;CENPH;HORMAD1;E2F8,SUGCT;UBE2S;RECQL4;NIBAN1;DNA2;CENPW;LHX2;SPC24;RCOR2;FANCM;SERF1A;FANCA;E2F1;FKBP4;TRIP13;CENPK;POLE2;FANCD2;SPC25;DLGAP5;MYBL2;PLK4;CCNA2;FAM180A;HSP90AA1;RBM44;TSPAN33;SPAG5;CDCA8;MCM5;SIVA1;SH3D19;ECT2;DNPH1;HSPH1;IGF2BP1;POLE;TONSL;SHCBP1;TNFSF10;FAM83D;DSN1;ELOVL4;SCML2;E2F7;RAB30;HELLS;BUB1;PER2;CDC6;CSRP1;SLC5A6;UBE2T;CDCA3;TK1;CCNB2;UHRF1;SKA3;GTSE1;SULT1C4;ORC6;MIS18A;ST8SIA5;CDT1;TOP2A;NCAPG;C1S;MCM2;CDC20;GPRC5C;MTFR2;RRM2;DRAM1;STMN1;KIF22;CXCL14;CENPH;HORMAD1;E2F8,medium_primary_transfer_readiness
