analysis_set,module_label,subspace_name,n_ranks,median_capture,minimum_capture,maximum_capture,median_random_percentile,maximum_empirical_q_global,fraction_ranks_global_q_lt_0_05,median_module_coverage_fraction
three_cohort_no_ffpe,M11,ubiquitous_all_groups,3,0.07931300629545349,0.012729312529965705,0.08361981944697155,1.0,0.9078398300849575,0.6666666666666666,1.0
three_cohort_no_ffpe,M24,all_retained,3,0.05323791505749296,0.031523764918417324,0.0546802345761475,0.991,0.17780583392514268,0.6666666666666666,1.0
three_cohort_no_ffpe,M24,partially_shared,2,0.006687772360859314,3.4453914385788587e-05,0.01334109080733284,0.5555,0.958952622454205,0.0,1.0
three_cohort_no_ffpe,M24,shared_non_ffpe_only,3,0.05323791505749296,0.031523764918417324,0.0546802345761475,0.991,0.17780583392514268,0.6666666666666666,1.0
three_cohort_no_ffpe,M24,shared_two_or_more,3,0.05323791505749296,0.031523764918417324,0.0546802345761475,0.991,0.17780583392514268,0.6666666666666666,1.0
three_cohort_no_ffpe,M24,ubiquitous_all_groups,3,0.04234829650424714,0.031523764918417324,0.05439770369893984,0.9695,0.17780583392514268,0.6666666666666666,1.0
three_cohort_no_ffpe,M34,all_retained,3,0.6167826363298136,0.5920613932700726,0.6198683645218509,1.0,0.0009281073748839865,1.0,0.808641975308642
three_cohort_no_ffpe,M34,partially_shared,2,0.029235732993991154,0.011259963239349177,0.04721150274863313,1.0,0.0009281073748839865,1.0,0.808641975308642
three_cohort_no_ffpe,M34,shared_non_ffpe_only,3,0.6167826363298136,0.5920613932700726,0.6198683645218509,1.0,0.0009281073748839865,1.0,0.808641975308642
three_cohort_no_ffpe,M34,shared_two_or_more,3,0.6167826363298136,0.5920613932700726,0.6198683645218509,1.0,0.0009281073748839865,1.0,0.808641975308642
three_cohort_no_ffpe,M34,ubiquitous_all_groups,3,0.6019499649205723,0.5920613932700726,0.6167747826456792,1.0,0.0009281073748839865,1.0,0.808641975308642
three_cohort_no_ffpe,M40,all_retained,3,0.6587492570943695,0.6558936865511694,0.6709598513864173,1.0,0.0009281073748839865,1.0,0.7027027027027027
three_cohort_no_ffpe,M40,partially_shared,2,0.003858397752371851,9.246804669619676e-06,0.007707548700074082,0.25075,1.0,0.0,0.7027027027027027
three_cohort_no_ffpe,M40,shared_non_ffpe_only,3,0.6587492570943695,0.6558936865511694,0.6709598513864173,1.0,0.0009281073748839865,1.0,0.7027027027027027
three_cohort_no_ffpe,M40,shared_two_or_more,3,0.6587492570943695,0.6558936865511694,0.6709598513864173,1.0,0.0009281073748839865,1.0,0.7027027027027027
three_cohort_no_ffpe,M40,ubiquitous_all_groups,3,0.6587492570943695,0.6552124038907684,0.6701196030045725,1.0,0.0009281073748839865,1.0,0.7027027027027027
