endpoint,module_label,model,n_valid_folds,mean_c_index,std_c_index,median_c_index,q25_c_index,q75_c_index,min_c_index,max_c_index,fraction_above_0_50,fraction_above_0_55,mean_train_module_original_proliferation_correlation,mean_train_module_disjoint_proliferation_correlation,mean_n_module_genes_used,mean_n_disjoint_proliferation_genes_used,mean_c_index__disjoint_proliferation_only,mean_c_index__module_only,mean_c_index__module_plus_disjoint_proliferation,mean_c_index__module_plus_original_proliferation,mean_c_index__original_proliferation_only,mean_c_index__residual_to_disjoint_proliferation,mean_c_index__residual_to_disjoint_proliferation_and_weight,mean_c_index__residual_to_original_proliferation,delta_disjoint_residual_vs_original_residual,delta_joint_module_vs_disjoint_proliferation_only
DFI,M27,module_only,100,0.6189451506236299,0.05319583289862524,0.6190050259817701,0.5811004325245069,0.6547503037359522,0.5108303249097473,0.7392857142857143,1.0,0.89,0.2981390312195887,0.2981390312195887,8.0,251.0,0.607753071873709,0.6189451506236299,0.6325455696251953,0.6325455696251953,0.607753071873709,0.6000630098225764,0.5872163279931887,0.6000630098225764,0.0,0.024792497751486287
DFI,M27,module_plus_disjoint_proliferation,100,0.6325455696251953,0.05602702721735439,0.6327805738374844,0.5934009416877943,0.6675482994972751,0.5010438413361169,0.775,1.0,0.92,0.2981390312195887,0.2981390312195887,8.0,251.0,0.607753071873709,0.6189451506236299,0.6325455696251953,0.6325455696251953,0.607753071873709,0.6000630098225764,0.5872163279931887,0.6000630098225764,0.0,0.024792497751486287
DFI,M27,module_plus_original_proliferation,100,0.6325455696251953,0.05602702721735439,0.6327805738374844,0.5934009416877943,0.6675482994972751,0.5010438413361169,0.775,1.0,0.92,0.2981390312195887,0.2981390312195887,8.0,251.0,0.607753071873709,0.6189451506236299,0.6325455696251953,0.6325455696251953,0.607753071873709,0.6000630098225764,0.5872163279931887,0.6000630098225764,0.0,0.024792497751486287
DFI,M27,original_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.2981390312195887,0.2981390312195887,8.0,251.0,0.607753071873709,0.6189451506236299,0.6325455696251953,0.6325455696251953,0.607753071873709,0.6000630098225764,0.5872163279931887,0.6000630098225764,0.0,0.024792497751486287
DFI,M27,residual_to_disjoint_proliferation,100,0.6000630098225764,0.052427768299549496,0.5986699091946752,0.559843852645409,0.6366392741765259,0.48014440433212996,0.7163636363636363,0.97,0.83,0.2981390312195887,0.2981390312195887,8.0,251.0,0.607753071873709,0.6189451506236299,0.6325455696251953,0.6325455696251953,0.607753071873709,0.6000630098225764,0.5872163279931887,0.6000630098225764,0.0,0.024792497751486287
DFI,M27,residual_to_disjoint_proliferation_and_weight,100,0.5872163279931887,0.05223295550228992,0.5852753534764039,0.5519474562135113,0.6243348928948214,0.4657039711191336,0.7079037800687286,0.95,0.76,0.2981390312195887,0.2981390312195887,8.0,251.0,0.607753071873709,0.6189451506236299,0.6325455696251953,0.6325455696251953,0.607753071873709,0.6000630098225764,0.5872163279931887,0.6000630098225764,0.0,0.024792497751486287
DFI,M27,residual_to_original_proliferation,100,0.6000630098225764,0.052427768299549496,0.5986699091946752,0.559843852645409,0.6366392741765259,0.48014440433212996,0.7163636363636363,0.97,0.83,0.2981390312195887,0.2981390312195887,8.0,251.0,0.607753071873709,0.6189451506236299,0.6325455696251953,0.6325455696251953,0.607753071873709,0.6000630098225764,0.5872163279931887,0.6000630098225764,0.0,0.024792497751486287
DFI,M28,disjoint_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,-0.4060167361516362,-0.4060167361516362,13.0,251.0,0.607753071873709,0.6348602013448912,0.6445324445280588,0.6445324445280588,0.607753071873709,0.6085714110998218,0.5982287474207981,0.6085714110998218,0.0,0.03677937265434983
DFI,M28,module_only,100,0.6348602013448912,0.05611201354163185,0.6416077840843276,0.6091616523952789,0.6652613038516304,0.48249027237354086,0.7678571428571429,0.97,0.9,-0.4060167361516362,-0.4060167361516362,13.0,251.0,0.607753071873709,0.6348602013448912,0.6445324445280588,0.6445324445280588,0.607753071873709,0.6085714110998218,0.5982287474207981,0.6085714110998218,0.0,0.03677937265434983
DFI,M28,module_plus_disjoint_proliferation,100,0.6445324445280588,0.05703439102747741,0.6467031986177789,0.6111882683350606,0.6799887754474445,0.4910891089108911,0.7964285714285714,0.99,0.93,-0.4060167361516362,-0.4060167361516362,13.0,251.0,0.607753071873709,0.6348602013448912,0.6445324445280588,0.6445324445280588,0.607753071873709,0.6085714110998218,0.5982287474207981,0.6085714110998218,0.0,0.03677937265434983
DFI,M28,module_plus_original_proliferation,100,0.6445324445280588,0.05703439102747741,0.6467031986177789,0.6111882683350606,0.6799887754474445,0.4910891089108911,0.7964285714285714,0.99,0.93,-0.4060167361516362,-0.4060167361516362,13.0,251.0,0.607753071873709,0.6348602013448912,0.6445324445280588,0.6445324445280588,0.607753071873709,0.6085714110998218,0.5982287474207981,0.6085714110998218,0.0,0.03677937265434983
DFI,M28,original_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,-0.4060167361516362,-0.4060167361516362,13.0,251.0,0.607753071873709,0.6348602013448912,0.6445324445280588,0.6445324445280588,0.607753071873709,0.6085714110998218,0.5982287474207981,0.6085714110998218,0.0,0.03677937265434983
DFI,M28,residual_to_disjoint_proliferation,100,0.6085714110998218,0.05827252482317071,0.6177982875091433,0.5754992909982404,0.6428967609023332,0.4669260700389105,0.7495361781076066,0.94,0.83,-0.4060167361516362,-0.4060167361516362,13.0,251.0,0.607753071873709,0.6348602013448912,0.6445324445280588,0.6445324445280588,0.607753071873709,0.6085714110998218,0.5982287474207981,0.6085714110998218,0.0,0.03677937265434983
DFI,M28,residual_to_disjoint_proliferation_and_weight,100,0.5982287474207981,0.05829724027043038,0.6026799066818209,0.5679405284841209,0.6367358159229292,0.45052631578947366,0.7291280148423006,0.91,0.82,-0.4060167361516362,-0.4060167361516362,13.0,251.0,0.607753071873709,0.6348602013448912,0.6445324445280588,0.6445324445280588,0.607753071873709,0.6085714110998218,0.5982287474207981,0.6085714110998218,0.0,0.03677937265434983
