initial_factors,module_label,subspace_name,analysis_set_a,analysis_set_b,capture_a,capture_b,capture_difference_a_minus_b
16,M11,shared_two_or_more,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.11346979267986256,0.11751218033817026,-0.004042387658307708
16,M11,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.11346979267986256,0.08393439040631842,0.029535402273544134
16,M11,shared_two_or_more,four_cohort_detection_aware,three_cohort_no_ffpe,0.11751218033817026,0.08393439040631842,0.03357778993185184
16,M11,ubiquitous_all_groups,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.004588404027842178,0.025243268918936954,-0.020654864891094776
16,M11,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.004588404027842178,0.08361981944697155,-0.07903141541912938
16,M11,ubiquitous_all_groups,four_cohort_detection_aware,three_cohort_no_ffpe,0.025243268918936954,0.08361981944697155,-0.0583765505280346
16,M11,partially_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.11043583755444247,0.0920218087848371,0.01841402876960538
16,M11,partially_shared,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.11043583755444247,1.721197684000224e-05,0.11041862557760247
16,M11,partially_shared,four_cohort_detection_aware,three_cohort_no_ffpe,0.0920218087848371,1.721197684000224e-05,0.0920045968079971
16,M11,shared_non_ffpe_only,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.10395867630744995,0.0920218087848371,0.01193686752261286
16,M11,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.10395867630744995,0.08393439040631842,0.020024285901131533
16,M11,shared_non_ffpe_only,four_cohort_detection_aware,three_cohort_no_ffpe,0.0920218087848371,0.08393439040631842,0.008087418378518674
16,M11,gse39055_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.013019275605216754,0.025243268918936954,-0.0122239933137202
16,M24,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.05484537277384542,0.0546802345761475,0.0001651381976979227
16,M24,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.05484537277384542,0.0546802345761475,0.0001651381976979227
16,M24,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.0028116783668106116,0.05439770369893984,-0.05158602533212923
16,M24,partially_shared,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.05378275311447676,3.4453914385788587e-05,0.05374829920009097
16,M24,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.05271137173566037,0.0546802345761475,-0.001968862840487126
16,M40,all_retained,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.627911291140015,0.48815739329485025,0.13975389784516473
16,M40,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.627911291140015,0.6558936865511694,-0.027982395411154437
16,M40,all_retained,four_cohort_detection_aware,three_cohort_no_ffpe,0.48815739329485025,0.6558936865511694,-0.16773629325631917
16,M40,shared_two_or_more,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.627911291140015,0.48288868297178644,0.14502260816822854
16,M40,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.627911291140015,0.6558936865511694,-0.027982395411154437
16,M40,shared_two_or_more,four_cohort_detection_aware,three_cohort_no_ffpe,0.48288868297178644,0.6558936865511694,-0.17300500357938298
16,M40,ubiquitous_all_groups,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.004531705120029743,0.46300259079987394,-0.4584708856798442
16,M40,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.004531705120029743,0.6552124038907684,-0.6506806987707386
16,M40,ubiquitous_all_groups,four_cohort_detection_aware,three_cohort_no_ffpe,0.46300259079987394,0.6552124038907684,-0.19220981309089447
16,M40,partially_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6196647520784262,0.02026659825484619,0.59939815382358
16,M40,partially_shared,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6196647520784262,9.246804669619676e-06,0.6196555052737566
16,M40,partially_shared,four_cohort_detection_aware,three_cohort_no_ffpe,0.02026659825484619,9.246804669619676e-06,0.02025735145017657
16,M40,shared_non_ffpe_only,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.617454018942619,0.02026659825484619,0.5971874206877728
16,M40,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.617454018942619,0.6558936865511694,-0.03843966760855044
16,M40,shared_non_ffpe_only,four_cohort_detection_aware,three_cohort_no_ffpe,0.02026659825484619,0.6558936865511694,-0.6356270882963232
16,M40,gse39055_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.010147279794412175,0.46300259079987394,-0.4528553110054618
