endpoint,fold,method,method_c_index,method_n_genes,random_source,matched_random_panel_size,random_mean_c_index,random_median_c_index,random_q90_c_index,random_max_c_index,method_percentile_vs_random,method_minus_random_mean,method_minus_random_median
DFI,1,elastic_net_cox,0.5515463917525774,25,train_screen_top1000,25,0.5742268041237112,0.5773195876288659,0.634020618556701,0.6701030927835051,0.31,-0.02268041237113383,-0.025773195876288568
DFI,1,elastic_net_cox,0.5515463917525774,25,train_screen_top500,25,0.5751718213058419,0.5721649484536082,0.6257731958762887,0.6821305841924399,0.27,-0.02362542955326452,-0.020618556701030855
DFI,2,univariate_top10,0.6048237476808905,10,train_variance_top5000,10,0.5721706864564008,0.5788497217068646,0.6233766233766234,0.6975881261595547,0.81,0.03265306122448974,0.025974025974025983
DFI,2,univariate_top10,0.6048237476808905,10,train_screen_top1000,10,0.5942115027829312,0.5955473098330241,0.6365491651205937,0.6623376623376623,0.63,0.010612244897959311,0.00927643784786647
DFI,2,univariate_top10,0.6048237476808905,10,train_screen_top500,10,0.5922077922077922,0.5974025974025974,0.6458256029684601,0.6883116883116883,0.6,0.01261595547309835,0.007421150278293154
DFI,2,conditional_cox_mb,0.5992578849721707,7,train_variance_top5000,7,0.5713543599257885,0.575139146567718,0.6291280148423005,0.6901669758812616,0.68,0.02790352504638216,0.024118738404452666
DFI,2,conditional_cox_mb,0.5992578849721707,7,train_screen_top1000,7,0.5964749536178108,0.5955473098330241,0.6567717996289425,0.6957328385899815,0.57,0.002782931354359919,0.0037105751391466324
DFI,2,conditional_cox_mb,0.5992578849721707,7,train_screen_top500,7,0.5911688311688312,0.588126159554731,0.6328385899814472,0.6808905380333952,0.6,0.008089053803339463,0.011131725417439675
DFI,2,conditional_cox_mb_plus_clinical,0.608534322820037,7,train_variance_top5000,7,0.5713543599257885,0.575139146567718,0.6291280148423005,0.6901669758812616,0.76,0.03717996289424852,0.033395176252319025
DFI,2,conditional_cox_mb_plus_clinical,0.608534322820037,7,train_screen_top1000,7,0.5964749536178108,0.5955473098330241,0.6567717996289425,0.6957328385899815,0.64,0.012059369202226278,0.012987012987012991
DFI,2,conditional_cox_mb_plus_clinical,0.608534322820037,7,train_screen_top500,7,0.5911688311688312,0.588126159554731,0.6328385899814472,0.6808905380333952,0.68,0.017365491651205822,0.020408163265306034
DFI,2,iamb_alpha0.10,0.5064935064935064,11,train_variance_top5000,10,0.5721706864564008,0.5788497217068646,0.6233766233766234,0.6975881261595547,0.11,-0.06567717996289435,-0.07235621521335811
DFI,2,iamb_alpha0.10,0.5064935064935064,11,train_screen_top1000,10,0.5942115027829312,0.5955473098330241,0.6365491651205937,0.6623376623376623,0.01,-0.08771799628942478,-0.08905380333951762
DFI,2,iamb_alpha0.10,0.5064935064935064,11,train_screen_top500,10,0.5922077922077922,0.5974025974025974,0.6458256029684601,0.6883116883116883,0.02,-0.08571428571428574,-0.09090909090909094
DFI,2,gsmb_alpha0.10,0.5009276437847866,11,train_variance_top5000,10,0.5721706864564008,0.5788497217068646,0.6233766233766234,0.6975881261595547,0.1,-0.07124304267161419,-0.07792207792207795
DFI,2,gsmb_alpha0.10,0.5009276437847866,11,train_screen_top1000,10,0.5942115027829312,0.5955473098330241,0.6365491651205937,0.6623376623376623,0.01,-0.09328385899814462,-0.09461966604823746
DFI,2,gsmb_alpha0.10,0.5009276437847866,11,train_screen_top500,10,0.5922077922077922,0.5974025974025974,0.6458256029684601,0.6883116883116883,0.01,-0.09128014842300558,-0.09647495361781078
DFI,2,elastic_net_cox,0.5899814471243042,10,train_variance_top5000,10,0.5721706864564008,0.5788497217068646,0.6233766233766234,0.6975881261595547,0.65,0.017810760667903436,0.011131725417439675
DFI,2,elastic_net_cox,0.5899814471243042,10,train_screen_top1000,10,0.5942115027829312,0.5955473098330241,0.6365491651205937,0.6623376623376623,0.43,-0.004230055658626997,-0.005565862708719838
DFI,2,elastic_net_cox,0.5899814471243042,10,train_screen_top500,10,0.5922077922077922,0.5974025974025974,0.6458256029684601,0.6883116883116883,0.47,-0.0022263450834879572,-0.007421150278293154
DFI,3,univariate_top10,0.6183953033268101,10,train_variance_top5000,10,0.5910958904109589,0.595890410958904,0.6790606653620352,0.7475538160469667,0.73,0.02729941291585125,0.022504892367906093
DFI,3,univariate_top10,0.6183953033268101,10,train_screen_top1000,10,0.6165949119373777,0.6213307240704501,0.6810176125244618,0.7416829745596869,0.49,0.001800391389432443,-0.0029354207436399493
DFI,3,univariate_top10,0.6183953033268101,10,train_screen_top500,10,0.6220547945205479,0.6223091976516634,0.6870841487279844,0.7318982387475538,0.46,-0.0036594911937377628,-0.003913894324853229
DFI,3,conditional_cox_mb,0.6379647749510763,6,train_variance_top5000,6,0.5738943248532289,0.5841487279843445,0.6422700587084149,0.7162426614481409,0.85,0.0640704500978474,0.05381604696673181
DFI,3,conditional_cox_mb,0.6379647749510763,6,train_screen_top1000,6,0.6158904109589041,0.6144814090019569,0.6716242661448142,0.7592954990215264,0.71,0.02207436399217222,0.023483365949119372
DFI,3,conditional_cox_mb,0.6379647749510763,6,train_screen_top500,6,0.6213111545988259,0.62426614481409,0.6829745596868885,0.7221135029354208,0.63,0.016653620352250376,0.013698630136986245
