endpoint,module_label,contrast,model_a,model_b,mean_repeat_c_index_a,mean_repeat_c_index_b,n_repeats,n_fold_pairs,mean_delta_c_index,median_delta_c_index,std_delta_c_index,bootstrap_repeat_mean_ci_low,bootstrap_repeat_mean_ci_high,fraction_repeat_deltas_positive,wilcoxon_repeat_p_two_sided,wilcoxon_repeat_p_greater,sign_repeat_p_two_sided,sign_repeat_p_greater,corrected_t,corrected_t_df,corrected_t_p_two_sided,corrected_standard_error,correction_factor,wilcoxon_repeat_p_two_sided_bh_q,wilcoxon_repeat_p_greater_bh_q,corrected_t_p_two_sided_bh_q,descriptive_support
DFI,M20,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.5633597284008298,0.5,20,100,0.06335972840082973,0.06210726722164389,0.007274148896484341,0.06047792170686242,0.06662704740211721,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,2.505387288421567,99.0,0.013863029054996721,0.02528939485469624,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.07301195302298273,strong_descriptive_support
DFI,M23,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.631585853816728,0.6077530718737091,20,100,0.023832781943019077,0.023982198017446388,0.01016696989881169,0.01965342736574122,0.02814180006720928,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.4093620191981877,99.0,0.1618616709599916,0.016910333624981608,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.3095097151122165,strong_descriptive_support
DFI,M23,module_vs_disjoint_proliferation,module_only,disjoint_proliferation_only,0.6207378294101952,0.6077530718737091,20,100,0.012984757536486207,0.011383842496584473,0.008634152712800183,0.009311426527696306,0.01664396964263813,0.95,5.7220458984375e-06,2.86102294921875e-06,4.00543212890625e-05,2.002716064453125e-05,0.4234884446997251,99.0,0.6728575563821069,0.0306614211060542,0.26,8.13603401184082e-06,6.508827209472656e-06,0.7703731442635716,moderate_descriptive_support
DFI,M23,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.631585853816728,0.6207378294101952,20,100,0.01084802440653287,0.011510514045964981,0.010429198445286402,0.0062803652767537506,0.015274688710349964,0.85,0.0004825592041015625,0.00024127960205078125,0.0025768280029296875,0.0012884140014648438,0.5425406261168437,99.0,0.5886653968837592,0.01999486100087294,0.26,0.0006273269653320312,0.0004773139953613281,0.7046146417244996,moderate_descriptive_support
DFI,M23,disjoint_residual_vs_module_only,residual_to_disjoint_proliferation,module_only,0.5827648978879462,0.6207378294101952,20,100,-0.03797293152224904,-0.03728351237465871,0.006607199359334675,-0.040766358289157666,-0.0351789049142311,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-2.3113964212863585,99.0,0.02288406027535252,0.016428567238637504,0.26,2.9925642342403016e-06,1.0,0.10043559787515828,no_consistent_positive_support
DFI,M23,disjoint_residual_vs_original_residual,residual_to_disjoint_proliferation,residual_to_original_proliferation,0.5827648978879462,0.5827648978879462,20,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,1.0,1.0,,no_consistent_positive_support
DFI,M23,weight_adjusted_residual_vs_unadjusted_residual,residual_to_disjoint_proliferation_and_weight,residual_to_disjoint_proliferation,0.5658236673089636,0.5827648978879462,20,100,-0.016941230578982596,-0.01738576910674977,0.0049849613867310166,-0.019096308417468087,-0.014879415406267683,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-1.8677941246120675,99.0,0.06474861692082212,0.009070180891858837,0.26,2.9925642342403016e-06,1.0,0.21084897106961056,no_consistent_positive_support
DFI,M23,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.5827648978879462,0.5,20,100,0.08276489788794619,0.08270699841529733,0.006444738704298165,0.0800785050586028,0.08548070486954298,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,3.269168971699863,99.0,0.0014840454123110887,0.025316800264659035,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.0117239587572576,strong_descriptive_support
DFI,M24,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.628362028895247,0.6077530718737091,20,100,0.020608957021537994,0.02087881013134163,0.0071086028073235824,0.017682406033631252,0.023569414527503593,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,0.9489653998251143,99.0,0.34494900858418365,0.021717290246131258,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.5240571476567406,strong_descriptive_support
DFI,M24,module_vs_disjoint_proliferation,module_only,disjoint_proliferation_only,0.6255148144248533,0.6077530718737091,20,100,0.017761742551144304,0.017088306545368637,0.006068379927832939,0.015166185139424979,0.020303317680472308,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,0.568552113948675,99.0,0.5709475901634193,0.031240306940003234,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.6939209172755404,moderate_descriptive_support
DFI,M24,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.628362028895247,0.6255148144248533,20,100,0.0028472144703936887,0.0015932268836477692,0.006236988255568225,0.00017565306436406497,0.005526897971583575,0.7,0.058258056640625,0.0291290283203125,0.11531829833984375,0.057659149169921875,0.195584682772955,99.0,0.8453361221653107,0.014557451176782078,0.26,0.06975635729337994,0.05301483154296875,0.8789837977920959,weak_positive_descriptive_support
DFI,M24,disjoint_residual_vs_module_only,residual_to_disjoint_proliferation,module_only,0.6068549770502143,0.6255148144248533,20,100,-0.018659837374638978,-0.02029571647853534,0.0066654653522369165,-0.021502242017189976,-0.01585808465429939,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-1.343717566940526,99.0,0.1821114077960406,0.01388672577759406,0.26,2.9925642342403016e-06,1.0,0.3345767724624932,no_consistent_positive_support
