analysis_set,initial_factors,factor,view,group,r2
three_cohort_no_ffpe,12,Factor9,RNA,GSE21257,2.3012876510620117
three_cohort_no_ffpe,12,Factor1,RNA,TARGET_OS,10.790050029754639
three_cohort_no_ffpe,12,Factor2,RNA,TARGET_OS,10.020619630813599
three_cohort_no_ffpe,12,Factor3,RNA,TARGET_OS,3.8432717323303223
three_cohort_no_ffpe,12,Factor4,RNA,TARGET_OS,3.6136209964752197
three_cohort_no_ffpe,12,Factor5,RNA,TARGET_OS,3.3000290393829346
three_cohort_no_ffpe,12,Factor6,RNA,TARGET_OS,3.0365347862243652
three_cohort_no_ffpe,12,Factor7,RNA,TARGET_OS,1.2388348579406738
three_cohort_no_ffpe,12,Factor8,RNA,TARGET_OS,2.0550131797790527
three_cohort_no_ffpe,12,Factor9,RNA,TARGET_OS,1.9768834114074707
three_cohort_no_ffpe,16,Factor1,RNA,DOG2,14.383584260940552
three_cohort_no_ffpe,16,Factor2,RNA,DOG2,8.806103467941284
three_cohort_no_ffpe,16,Factor3,RNA,DOG2,7.938802242279053
three_cohort_no_ffpe,16,Factor4,RNA,DOG2,6.448876857757568
three_cohort_no_ffpe,16,Factor5,RNA,DOG2,4.20653223991394
three_cohort_no_ffpe,16,Factor6,RNA,DOG2,3.00176739692688
three_cohort_no_ffpe,16,Factor7,RNA,DOG2,2.953040599822998
three_cohort_no_ffpe,16,Factor8,RNA,DOG2,4.453372955322266
three_cohort_no_ffpe,16,Factor9,RNA,DOG2,1.7935097217559814
three_cohort_no_ffpe,16,Factor10,RNA,DOG2,1.4213144779205322
three_cohort_no_ffpe,16,Factor1,RNA,GSE21257,11.544674634933472
three_cohort_no_ffpe,16,Factor2,RNA,GSE21257,8.600825071334839
three_cohort_no_ffpe,16,Factor3,RNA,GSE21257,2.951592206954956
three_cohort_no_ffpe,16,Factor4,RNA,GSE21257,2.560800313949585
three_cohort_no_ffpe,16,Factor5,RNA,GSE21257,2.5729775428771973
three_cohort_no_ffpe,16,Factor6,RNA,GSE21257,3.3316493034362793
three_cohort_no_ffpe,16,Factor7,RNA,GSE21257,2.661311626434326
three_cohort_no_ffpe,16,Factor8,RNA,GSE21257,1.0119318962097168
three_cohort_no_ffpe,16,Factor9,RNA,GSE21257,2.219533920288086
three_cohort_no_ffpe,16,Factor10,RNA,GSE21257,0.6016969680786133
three_cohort_no_ffpe,16,Factor1,RNA,TARGET_OS,11.08943223953247
three_cohort_no_ffpe,16,Factor2,RNA,TARGET_OS,9.15476679801941
three_cohort_no_ffpe,16,Factor3,RNA,TARGET_OS,4.0174901485443115
three_cohort_no_ffpe,16,Factor4,RNA,TARGET_OS,1.9277691841125488
three_cohort_no_ffpe,16,Factor5,RNA,TARGET_OS,3.0215859413146973
three_cohort_no_ffpe,16,Factor6,RNA,TARGET_OS,2.9610753059387207
three_cohort_no_ffpe,16,Factor7,RNA,TARGET_OS,2.856796979904175
three_cohort_no_ffpe,16,Factor8,RNA,TARGET_OS,2.6603758335113525
three_cohort_no_ffpe,16,Factor9,RNA,TARGET_OS,2.3512721061706543
three_cohort_no_ffpe,16,Factor10,RNA,TARGET_OS,1.267242431640625
