module_label,canine_gene,canine_gene_symbol,human_gene_symbol,ortholog_qc_status,raw_pca_loading,risk_oriented_loading,absolute_risk_loading,is_strict_mapping,is_broad_mapping,human_symbol_duplicate_count,normalized_abs_sum_weight
M34,DENND1C_3,DENND1C,DENND1C,strict_symbol_concordant_one_to_one,0.08461528699783312,-0.08461528699783312,0.08461528699783312,True,True,1,-0.00670443321657884
M34,DHX58_3,DHX58,DHX58,strict_symbol_concordant_one_to_one,0.05806736958885461,-0.05806736958885461,0.05806736958885461,True,True,1,-0.0046009275071163735
M34,DNASE1L3_3,DNASE1L3,DNASE1L3,strict_symbol_concordant_one_to_one,0.05115203327787668,-0.05115203327787668,0.05115203327787668,True,True,1,-0.004052995660376653
M34,DOCK2_3,DOCK2,DOCK2,strict_symbol_concordant_one_to_one,0.08206482764898658,-0.08206482764898658,0.08206482764898658,True,True,1,-0.0065023493499085224
M34,DOK2_3,DOK2,DOK2,strict_symbol_concordant_one_to_one,0.06798909445580148,-0.06798909445580148,0.06798909445580148,True,True,1,-0.005387068453083009
M34,DRAM1_3,DRAM1,DRAM1,strict_symbol_concordant_one_to_one,0.06144316621599011,-0.06144316621599011,0.06144316621599011,True,True,1,-0.004868406397071113
M34,DTX3L_3,DTX3L,DTX3L,strict_symbol_concordant_one_to_one,0.05259691023729839,-0.05259691023729839,0.05259691023729839,True,True,1,-0.004167479477950473
M34,EGR1_3,EGR1,EGR1,strict_symbol_concordant_one_to_one,0.02617100573022489,-0.02617100573022489,0.02617100573022489,True,True,1,-0.0020736413756238664
M34,EHD3_3,EHD3,EHD3,strict_symbol_concordant_one_to_one,0.04622951308051073,-0.04622951308051073,0.04622951308051073,True,True,1,-0.00366296320771422
M34,ENPP5_3,ENPP5,ENPP5,strict_symbol_concordant_one_to_one,0.06633575837321569,-0.06633575837321569,0.06633575837321569,True,True,1,-0.005256067522358276
M34,EPAS1_3,EPAS1,EPAS1,strict_symbol_concordant_one_to_one,0.04840180029552532,-0.04840180029552532,0.04840180029552532,True,True,1,-0.0038350828692674133
M34,EPHB3_3,EPHB3,EPHB3,strict_symbol_concordant_one_to_one,-0.03620680534393059,0.03620680534393059,0.03620680534393059,True,True,1,0.002868820954542988
M34,EVI2A_3,EVI2A,EVI2A,strict_symbol_concordant_one_to_one,0.05506713612398868,-0.05506713612398868,0.05506713612398868,True,True,1,-0.004363206102237682
M34,EVI2B_3,EVI2B,EVI2B,one_to_one_low_confidence_review,0.08136003551391931,-0.08136003551391931,0.08136003551391931,False,True,1,-0.006446505636924962
M34,F5_3,F5,F5,strict_symbol_concordant_one_to_one,0.04980937330869649,-0.04980937330869649,0.04980937330869649,True,True,1,-0.003946610934692594
M34,FAM107A_3,FAM107A,FAM107A,strict_symbol_concordant_one_to_one,0.016718241583231763,-0.016718241583231763,0.016718241583231763,True,True,1,-0.0013246582050389906
M34,FAXDC2_3,FAXDC2,FAXDC2,strict_symbol_concordant_one_to_one,0.03511696185101632,-0.03511696185101632,0.03511696185101632,True,True,1,-0.0027824679659281316
