analysis_set,initial_factors,module_label,n_module_genes,module_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean,random_q95,observed_percentile,empirical_p_greater_equal,empirical_q_within_model_subspace,empirical_q_global
four_cohort_core_plus_frozen,16,M40,78,0.7027027027027027,partially_shared,8,Factor3;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.6196647520784262,2000,0.041059301144909514,0.06097725627452394,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,16,M40,78,0.7027027027027027,shared_non_ffpe_only,7,Factor3;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.617454018942619,2000,0.04000387226334055,0.05998233287814235,1.0,0.0004997501249375312,0.0009995002498750624,0.0009281073748839865
four_cohort_core_plus_frozen,16,M40,78,0.7027027027027027,gse39055_shared,4,Factor1;Factor2;Factor4;Factor5,0.010147279794412175,2000,0.06027086792139295,0.08213597312371056,0.0,1.0,1.0,1.0
four_cohort_detection_aware,8,M34,50,0.30864197530864196,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.5001704320701909,2000,0.1419321099684944,0.18130058802884996,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,8,M34,50,0.30864197530864196,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.5001704320701909,2000,0.1419321099684944,0.18130058802884996,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,8,M34,50,0.30864197530864196,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor4,0.46479761801976643,2000,0.1314779348404813,0.16743806655129373,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,8,M34,50,0.30864197530864196,partially_shared,2,Factor5;Factor6,0.04172913587443065,2000,0.012453713966513801,0.027696210874497865,0.9945,0.005997001499250375,0.017991004497751123,0.010200507223024001
four_cohort_detection_aware,8,M34,50,0.30864197530864196,shared_non_ffpe_only,2,Factor5;Factor6,0.04172913587443065,2000,0.012453713966513801,0.027696210874497865,0.9945,0.005997001499250375,0.017991004497751123,0.010200507223024001
four_cohort_detection_aware,8,M34,50,0.30864197530864196,gse39055_shared,4,Factor1;Factor2;Factor3;Factor4,0.46479761801976643,2000,0.1314779348404813,0.16743806655129373,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,8,M11,5,0.7142857142857143,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.020584671005751985,2000,0.020930992280709323,0.03597090820066577,0.539,0.4612693653173413,0.46126936531734125,0.5772827871778395
four_cohort_detection_aware,8,M11,5,0.7142857142857143,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.020584671005751985,2000,0.020930992280709323,0.03597090820066577,0.539,0.4612693653173413,0.46126936531734125,0.5772827871778395
four_cohort_detection_aware,8,M11,5,0.7142857142857143,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor4,0.020284308597000308,2000,0.0164503056218738,0.02827929234339809,0.7595,0.24087956021989004,0.24087956021989002,0.313143428285857
four_cohort_detection_aware,8,M11,5,0.7142857142857143,partially_shared,2,Factor5;Factor6,0.00035098603567761425,2000,0.005212806716733802,0.015919929182003526,0.067,0.9330334832583708,0.9330334832583708,1.0
four_cohort_detection_aware,8,M11,5,0.7142857142857143,shared_non_ffpe_only,2,Factor5;Factor6,0.00035098603567761425,2000,0.005212806716733802,0.015919929182003526,0.067,0.9330334832583708,0.9330334832583708,1.0
four_cohort_detection_aware,8,M11,5,0.7142857142857143,gse39055_shared,4,Factor1;Factor2;Factor3;Factor4,0.020284308597000308,2000,0.0164503056218738,0.02827929234339809,0.7595,0.24087956021989004,0.24087956021989002,0.313143428285857
four_cohort_detection_aware,8,M40,32,0.2882882882882883,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.4859523385887246,2000,0.042755776286112594,0.06318517539632229,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,8,M40,32,0.2882882882882883,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.4859523385887246,2000,0.042755776286112594,0.06318517539632229,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,8,M40,32,0.2882882882882883,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor4,0.48579192073369193,2000,0.037364815733231575,0.05516411351611921,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,8,M40,32,0.2882882882882883,partially_shared,2,Factor5;Factor6,0.005880360619879887,2000,0.007111988496218279,0.020199123924819564,0.534,0.4662668665667166,0.6994002998500749,0.5772827871778395
four_cohort_detection_aware,8,M40,32,0.2882882882882883,shared_non_ffpe_only,2,Factor5;Factor6,0.005880360619879887,2000,0.007111988496218279,0.020199123924819564,0.534,0.4662668665667166,0.6994002998500749,0.5772827871778395
four_cohort_detection_aware,8,M40,32,0.2882882882882883,gse39055_shared,4,Factor1;Factor2;Factor3;Factor4,0.48579192073369193,2000,0.037364815733231575,0.05516411351611921,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
four_cohort_detection_aware,12,M34,50,0.30864197530864196,all_retained,8,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8,0.5235802618914179,2000,0.15061231990960575,0.19067619245813192,1.0,0.0004997501249375312,0.0004997501249375312,0.0009281073748839865
four_cohort_detection_aware,12,M34,50,0.30864197530864196,shared_two_or_more,7,Factor1;Factor2;Factor3;Factor4;Factor5;Factor7;Factor8,0.5114450619819702,2000,0.14880525644128864,0.18840296468770526,1.0,0.0004997501249375312,0.0004997501249375312,0.0009281073748839865
four_cohort_detection_aware,12,M34,50,0.30864197530864196,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor4,0.44365982993681186,2000,0.13421991810700512,0.17337457937619458,1.0,0.0004997501249375312,0.0007496251874062968,0.0009281073748839865
