analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean_capture,random_q95_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,shared_two_or_more,10,Factor1;Factor2;Factor3;Factor4;Factor6;Factor7;Factor9;Factor10;Factor11;Factor12,0.3368313962688583,2000,0.024297699842498174,0.030752783092398227,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,ubiquitous_all_groups,3,Factor1;Factor2;Factor3,0.017234589320311754,2000,0.015876909072808323,0.02211294388050185,0.6565,0.34382808595702147,0.38120070399582817,0.46905118869136864
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,partially_shared,7,Factor4;Factor6;Factor7;Factor9;Factor10;Factor11;Factor12,0.3308720759371839,2000,0.008121462191980119,0.014887442922792883,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,shared_non_ffpe_only,7,Factor4;Factor6;Factor7;Factor9;Factor10;Factor11;Factor12,0.3308720759371839,2000,0.008121462191980119,0.014887442922792883,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,gse39055_shared,3,Factor1;Factor2;Factor3,0.017234589320311754,2000,0.015876909072808323,0.02211294388050185,0.6565,0.34382808595702147,0.38120070399582817,0.46905118869136864
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,gse39055_specific,1,Factor8,6.077888138976699e-05,2000,0.0012525536665980131,0.004531294294168126,0.16,0.84007996001999,0.851206846907672,0.84007996001999
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.28505685495315686,2000,0.05488174223037117,0.0687739410433762,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.28505685495315686,2000,0.05488174223037117,0.0687739410433762,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor4,0.2710457607829681,2000,0.05199770699245573,0.06554621429637557,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,partially_shared,2,Factor5;Factor6,0.0067930552052716964,2000,0.004071661947754004,0.011659319464145406,0.814,0.18640679660169915,0.2193864606158459,0.27961019490254874
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,shared_non_ffpe_only,2,Factor5;Factor6,0.0067930552052716964,2000,0.004071661947754004,0.011659319464145406,0.814,0.18640679660169915,0.2193864606158459,0.27961019490254874
four_cohort_detection_aware_variable_only_700,8,M34,162,40,0.24691358024691357,gse39055_shared,4,Factor1;Factor2;Factor3;Factor4,0.2710457607829681,2000,0.05199770699245573,0.06554621429637557,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,all_retained,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.016276322225252854,2000,0.012701756707115503,0.02153293524086128,0.7965,0.20389805097451275,0.23623262995367988,0.20389805097451275
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,shared_two_or_more,6,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6,0.016276322225252854,2000,0.012701756707115503,0.02153293524086128,0.7965,0.20389805097451275,0.23623262995367988,0.20389805097451275
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,ubiquitous_all_groups,4,Factor1;Factor2;Factor3;Factor4,0.015703381847018243,2000,0.009560054728934661,0.016643764161470488,0.929,0.07146426786606697,0.08962322117629709,0.08039730134932534
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,partially_shared,2,Factor5;Factor6,0.000467197670561363,2000,0.0033444744750174777,0.010507917157194298,0.1365,0.863568215892054,0.8635682158920539,0.863568215892054
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,shared_non_ffpe_only,2,Factor5;Factor6,0.000467197670561363,2000,0.0033444744750174777,0.010507917157194298,0.1365,0.863568215892054,0.8635682158920539,0.863568215892054
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,gse39055_shared,4,Factor1;Factor2;Factor3;Factor4,0.015703381847018243,2000,0.009560054728934661,0.016643764161470488,0.929,0.07146426786606697,0.08962322117629709,0.08039730134932534
