probe_id,gene_symbol,probe_variance
ILMN_1768062,ADK,2.504815561734342
ILMN_1708934,ADM,1.3431629499655222
ILMN_1702933,ADM2,1.9923609504931663
ILMN_1657993,ADNP,1.0422799233819722
ILMN_2080751,ADNP2,1.912648227282964
ILMN_1690352,ADO,0.9022025681360059
ILMN_1747227,ADORA1,0.5077990162056982
ILMN_1807372,ADORA2A,0.03354216282981542
ILMN_1703946,ADORA2B,0.10847432601177448
ILMN_1733259,ADORA3,0.15224899934274277
ILMN_1793959,ADPGK,1.0683736388427327
ILMN_1794512,ADPRH,0.2711499745163785
ILMN_1760335,ADPRHL1,1.7549221694960666
ILMN_1811480,ADPRHL2,0.8366586112641413
ILMN_1709167,ADRA1A,2.488627770895765
ILMN_1679754,ADRA1B,1.64237209283482
ILMN_1716421,ADRA1D,0.9918243281664678
ILMN_1659371,ADRA2A,0.34465130790104404
ILMN_1677868,ADRA2B,0.5440315158298925
ILMN_1733963,ADRA2C,0.4953281376658853
ILMN_1804255,ADRB1,2.3487661457454423
ILMN_1695590,ADRB2,3.6684017720640245
ILMN_1694007,ADRB3,1.125403647701419
ILMN_3307926,ADRBK1,0.7990919461718212
ILMN_1668900,ADRBK2,2.0023896490278066
ILMN_1760143,ADRM1,1.8923452371759488
ILMN_1790757,ADSL,0.27827406013386163
ILMN_1778796,ADSS,1.2860721306633895
ILMN_1720235,ADSSL1,2.134403814351203
ILMN_1736178,AEBP1,2.6489004139947796
ILMN_1803376,AEBP2,0.7964523942964382
ILMN_3240321,AEN,1.2636755848112728
ILMN_1707958,AES,3.4848295433258274
ILMN_1701998,AFAP1,1.075323829633058
ILMN_1694140,AFAP1L1,1.7994454344228816
ILMN_2404917,AFAP1L2,0.48485518034325537
ILMN_1702696,AFAR3,0.6533608972440292
ILMN_1769563,AFARP1,1.2739621704387103
ILMN_1673119,AFF1,0.9262024067273822
ILMN_1725889,AFF2,1.8191813877582734
ILMN_1775235,AFF3,1.1569583698742323
ILMN_1708502,AFF4,0.5029302034955327
ILMN_2409898,AFG3L1,2.019388386959999
ILMN_2066124,AFG3L2,1.4969073966252524
ILMN_1777797,AFM,0.00498053646946665
ILMN_1707551,AFMID,2.9733176292724037
ILMN_1782204,AFP,1.2286671018880286
ILMN_2342841,AFTPH,1.2821155989592956
ILMN_1802631,AGA,3.1393593834667346
ILMN_2318481,AGAP1,0.40353446891889755
ILMN_3238543,AGAP11,1.0830615508209345
ILMN_1735591,AGAP2,0.7447515455844679
ILMN_2269136,AGAP3,2.270183923639063
ILMN_3239130,AGAP6,0.5996862561676656
ILMN_2120103,AGAP7,0.9131890944502599
ILMN_3242883,AGAP8,1.307882277438382
ILMN_2100055,AGBL1,0.006171244642736391
ILMN_1688627,AGBL2,1.1851835860447908
