analysis_set,initial_factors,module_label,subspace_name,n_random_valid,random_mean_capture,random_q95_capture,observed_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_variable_only_1500,16,M40,all_retained,2000,0.026753158441772413,0.033839559961163085,0.34204358070564894,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M40,shared_two_or_more,2000,0.024297699842498174,0.030752783092398227,0.3368313962688583,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M40,ubiquitous_all_groups,2000,0.015876909072808323,0.02211294388050185,0.017234589320311754,0.6565,0.34382808595702147,0.38120070399582817,0.46905118869136864
four_cohort_variable_only_1500,16,M40,partially_shared,2000,0.008121462191980119,0.014887442922792883,0.3308720759371839,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,16,M40,shared_non_ffpe_only,2000,0.008121462191980119,0.014887442922792883,0.3308720759371839,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,16,M40,gse39055_shared,2000,0.015876909072808323,0.02211294388050185,0.017234589320311754,0.6565,0.34382808595702147,0.38120070399582817,0.46905118869136864
four_cohort_variable_only_1500,16,M40,gse39055_specific,2000,0.0012525536665980131,0.004531294294168126,6.077888138976699e-05,0.16,0.84007996001999,0.851206846907672,0.84007996001999
four_cohort_detection_aware_variable_only_700,8,M34,all_retained,2000,0.05488174223037117,0.0687739410433762,0.28505685495315686,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,8,M34,shared_two_or_more,2000,0.05488174223037117,0.0687739410433762,0.28505685495315686,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,8,M34,ubiquitous_all_groups,2000,0.05199770699245573,0.06554621429637557,0.2710457607829681,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,8,M34,partially_shared,2000,0.004071661947754004,0.011659319464145406,0.0067930552052716964,0.814,0.18640679660169915,0.2193864606158459,0.27961019490254874
four_cohort_detection_aware_variable_only_700,8,M34,shared_non_ffpe_only,2000,0.004071661947754004,0.011659319464145406,0.0067930552052716964,0.814,0.18640679660169915,0.2193864606158459,0.27961019490254874
four_cohort_detection_aware_variable_only_700,8,M34,gse39055_shared,2000,0.05199770699245573,0.06554621429637557,0.2710457607829681,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,8,M11,all_retained,2000,0.012701756707115503,0.02153293524086128,0.016276322225252854,0.7965,0.20389805097451275,0.23623262995367988,0.20389805097451275
four_cohort_detection_aware_variable_only_700,8,M11,shared_two_or_more,2000,0.012701756707115503,0.02153293524086128,0.016276322225252854,0.7965,0.20389805097451275,0.23623262995367988,0.20389805097451275
four_cohort_detection_aware_variable_only_700,8,M11,ubiquitous_all_groups,2000,0.009560054728934661,0.016643764161470488,0.015703381847018243,0.929,0.07146426786606697,0.08962322117629709,0.08039730134932534
four_cohort_detection_aware_variable_only_700,8,M11,partially_shared,2000,0.0033444744750174777,0.010507917157194298,0.000467197670561363,0.1365,0.863568215892054,0.8635682158920539,0.863568215892054
four_cohort_detection_aware_variable_only_700,8,M11,shared_non_ffpe_only,2000,0.0033444744750174777,0.010507917157194298,0.000467197670561363,0.1365,0.863568215892054,0.8635682158920539,0.863568215892054
four_cohort_detection_aware_variable_only_700,8,M11,gse39055_shared,2000,0.009560054728934661,0.016643764161470488,0.015703381847018243,0.929,0.07146426786606697,0.08962322117629709,0.08039730134932534
four_cohort_detection_aware_variable_only_700,8,M40,all_retained,2000,0.022455951636426236,0.033041153674054996,0.28434231183066805,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,8,M40,shared_two_or_more,2000,0.022455951636426236,0.033041153674054996,0.28434231183066805,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,8,M40,ubiquitous_all_groups,2000,0.019482920939967167,0.02872317292457982,0.2804550785411177,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,8,M40,partially_shared,2000,0.0033924670148256907,0.010415035703052383,0.008928959147090843,0.925,0.07546226886556721,0.09311070271315955,0.135832083958021
four_cohort_detection_aware_variable_only_700,8,M40,shared_non_ffpe_only,2000,0.0033924670148256907,0.010415035703052383,0.008928959147090843,0.925,0.07546226886556721,0.09311070271315955,0.135832083958021
four_cohort_detection_aware_variable_only_700,8,M40,gse39055_shared,2000,0.019482920939967167,0.02872317292457982,0.2804550785411177,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M34,all_retained,2000,0.05807954944751224,0.073530263097251,0.33291216590144845,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,12,M34,shared_two_or_more,2000,0.05807954944751224,0.073530263097251,0.33291216590144845,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,12,M34,ubiquitous_all_groups,2000,0.048183108938179314,0.0612132527747306,0.2757167611611261,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M34,partially_shared,2000,0.015344496939915676,0.030336057464813528,0.035274156816787285,0.9795,0.020989505247376312,0.027215205956343864,0.0472263868065967
four_cohort_detection_aware_variable_only_700,12,M34,shared_non_ffpe_only,2000,0.015344496939915676,0.030336057464813528,0.035274156816787285,0.9795,0.020989505247376312,0.027215205956343864,0.0472263868065967
four_cohort_detection_aware_variable_only_700,12,M34,gse39055_shared,2000,0.048183108938179314,0.0612132527747306,0.2757167611611261,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M11,all_retained,2000,0.01600437790158553,0.02731960450419771,0.059464879211069514,0.9995,0.0009995002498750624,0.001402968240650317,0.0011244377811094452
four_cohort_detection_aware_variable_only_700,12,M11,shared_two_or_more,2000,0.01600437790158553,0.02731960450419771,0.059464879211069514,0.9995,0.0009995002498750624,0.001402968240650317,0.0011244377811094452
four_cohort_detection_aware_variable_only_700,12,M11,ubiquitous_all_groups,2000,0.010660130304830755,0.018710355212922386,0.013755583216812993,0.7935,0.20689655172413793,0.23623262995367988,0.20689655172413793
four_cohort_detection_aware_variable_only_700,12,M11,partially_shared,2000,0.005903127675744561,0.016344142554645977,0.04685367322972173,0.9995,0.0009995002498750624,0.001402968240650317,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,12,M11,shared_non_ffpe_only,2000,0.005903127675744561,0.016344142554645977,0.04685367322972173,0.9995,0.0009995002498750624,0.001402968240650317,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,12,M11,gse39055_shared,2000,0.010660130304830755,0.018710355212922386,0.013755583216812993,0.7935,0.20689655172413793,0.23623262995367988,0.20689655172413793
four_cohort_detection_aware_variable_only_700,12,M40,all_retained,2000,0.025244197279663212,0.03681771249349592,0.28595919931516695,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
