gene,gene_symbol_clean,candidate_source,coef_dfi,hr_per_sd_dfi,p_dfi,q_dfi,c_index_dfi,coef_os,hr_per_sd_os,p_os,q_os,c_index_os,same_direction,combined_rank_score,candidate_rank
TRIM14_3,TRIM14,dfi_top400,-0.284922100475076,0.752072838154327,0.0010377869627074,0.020755739254148,0.5857227752191353,-0.3265341554453615,0.721419734215491,0.0005177737500768,0.0514285554615664,0.604221635883905,True,298.0,250
CDC20_3,CDC20,dfi_top400,0.2792558832707776,1.3221456155332103,0.0010508821341285,0.0208801328733893,0.5864656068934779,0.2251339145281816,1.2524904316270504,0.0137307159142707,0.1300257188851398,0.5737586951307267,True,779.0,251
ST8SIA5_3,ST8SIA5,dfi_top400,0.2776778781926983,1.3200609083098254,0.001053435347102,0.0208801328733893,0.5983509136829595,0.2195642496135519,1.2455338704548296,0.0159734702149176,0.1392340137257842,0.5919085312225154,True,824.0,252
CDCA7_3,CDCA7,dfi_top400,0.2805420842811229,1.3238472546501217,0.0010606592927246,0.0208801328733893,0.5803001039964344,0.2163522488711243,1.241539632919203,0.0119241234300571,0.1228971353258366,0.5663228591988486,True,738.0,253
HSD11B1_3,HSD11B1,dfi_top400,-0.3149103768509879,0.7298542831771152,0.0010607107499681,0.0208801328733893,0.5768087951270242,-0.1659033398357169,0.8471281137747351,0.0801229845983333,0.3085535631790377,0.5398576796993684,True,1550.0,254
ADAMTS1_3,ADAMTS1,dfi_top400,0.259980398347651,1.2969046649422469,0.001072852747519,0.0209711901309067,0.5882484029119002,0.1914049687037002,1.2109497495473545,0.0290982532928482,0.1807344925021632,0.5594467098424882,True,1060.0,255
LPXN_3,LPXN,dfi_top400,-0.275584852323478,0.7591280155852027,0.0010737249347024,0.0209711901309067,0.612538998662903,-0.2645346782709943,0.7675630306472565,0.0031071844133902,0.0817680108786914,0.6210921883745103,True,446.0,256
ARL4D_3,ARL4D,dfi_top400,0.2929840517926288,1.3404214129425571,0.0010879124678763,0.0211656122154941,0.5958995691576289,0.2526892119415336,1.2874830802828676,0.0074748569469743,0.1013042606143508,0.592628128248181,True,625.0,257
TMEM178A_3,TMEM178A,dfi_top400,0.2977157230953183,1.3467788753255667,0.001120039524065,0.0216268920795677,0.5225820829000148,0.1378044778443465,1.1477511175614503,0.1286794228245984,0.3864619436046934,0.5025585672023667,True,1922.0,258
MAP1LC3C_3,MAP1LC3C,dfi_top400,-0.2965140595268575,0.7434051752656018,0.0011205991370486,0.0216268920795677,0.5835685633635418,-0.3107086184271106,0.7329274062988665,0.0012991418939411,0.0634546305609596,0.5843527624530263,True,360.0,259
KIF18B_3,KIF18B,dfi_top400,0.283564162040968,1.3278540754082735,0.0011245983881375,0.0216268920795677,0.6021393552221067,0.2584211967709348,1.2948841047834612,0.0047393688614032,0.0865178330802292,0.5976653074278404,True,533.0,260
LOC119876044,LOC119876044,dfi_top400,-0.3022132883182307,0.7391803895328212,0.0011397347096708,0.0217921639502004,0.5929653840439756,-0.2989988915761694,0.7415602313975873,0.002324218496873,0.0756453002193586,0.6094587031262493,True,413.0,261
CENPT_3,CENPT,dfi_top400,0.2778978430256842,1.3203513072246564,0.0011419093909905,0.0217921639502004,0.5985737631852622,0.2402917282200594,1.2716200636735957,0.0081002277595421,0.1051784730333363,0.5998240985048373,True,647.0,262
EVI2A_3,EVI2A,dfi_top400,-0.279831936640542,0.7559107716846027,0.0011508075841699,0.0218784711819391,0.6006536918734214,-0.2535801118953706,0.7760175741961528,0.006223622450562,0.0971179145621652,0.5979051731030622,True,583.0,263
ARHGDIB_3,ARHGDIB,dfi_top400,-0.2635287329887371,0.7683355455454859,0.0011677298779402,0.02211609617311,0.5863170405586094,-0.2619362035484923,0.7695601173462677,0.0030543925548605,0.081716802379977,0.5808747101623091,True,449.0,264
NMRAL1_3,NMRAL1,dfi_top400,0.2631040832141711,1.30096212022409,0.0011845967787178,0.0223413193664419,0.5829742980240677,0.1764164437546777,1.1929347454469137,0.0404297193601504,0.2134066194203435,0.5586471575917487,True,1212.0,265
SPAG5_3,SPAG5,dfi_top400,0.2993132437758993,1.348932101885116,0.0011885581902947,0.0223413193664419,0.5843856782053187,0.2643727547130863,1.3026136611971508,0.007636118047575,0.1020871396734638,0.5794355161109779,True,640.0,266
HSP90AA1_3,HSP90AA1,dfi_top400,0.2724836182104301,1.3132219458107022,0.0012058175651958,0.0225808532808215,0.5854256425493983,0.2035770747422438,1.2257796306494988,0.0163989477250083,0.1406443618360476,0.5729591428799872,True,849.0,267
GPRIN1_3,GPRIN1,dfi_top400,0.2973450413655454,1.3462797415180463,0.0012111298530187,0.0225957062130372,0.5837171296984104,0.1844307538416766,1.2025337075622102,0.0284367405371774,0.1786498390612962,0.5705604861277684,True,1063.0,268
