,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
KCNQ1,0.06108033742041546,-0.008920762326505335,-0.004100231824579891,0.030166291185783563,-0.03832416984107477,0.0017658045036891522,-0.0013701577766185337,0.004613067949241817,0.035400844415627145,-0.007612616591113663,0.047154617767079895,0.04050611110317562
KIAA0040,0.04389174197627095,-0.056264192751987296,0.055563290437226236,0.010192915691093997,0.07629766779400625,-0.05457617368279758,-0.007805028740664818,-0.009845022781835718,-0.019667481531582872,0.04041743094368572,-0.03448908036728059,-0.0014079518405412418
KIF15,-0.040839400735308506,-0.0029661011757880565,-0.06155777127409675,0.0881436439397473,0.030278143336203957,0.02544317621500576,0.054718298250163874,0.028436127300883518,-0.0033974157186585988,-0.011761940995391282,-0.03403814446671444,0.035064835025660934
KIF22,-0.03755337171422632,-0.020982860942750172,-0.0646182230844424,0.07145229539838117,0.021111310406440868,0.03895119312026168,0.0028102256722281277,-0.0018701322572557758,0.05330805820960533,0.0687056810620393,-0.027632528578964304,0.02232334174397765
KIF23,-0.03966206659707809,-0.010768010145462723,-0.07301207822078426,0.07149717534752326,0.03715611806372087,0.03902880911732129,0.05117332958566545,0.029182472818217065,0.008514986953136497,-0.00036035752613829825,-0.025380083650410133,0.02997376137185815
KIF4A,-0.03569782053955318,-0.022096825826781987,-0.06536380159062824,0.0794741471842949,0.054535022372387915,0.04955082376934919,0.037834750711703856,0.01250101344262713,0.04515125111617045,0.002046878629421883,-0.041216420146036714,-0.029028533002632376
LAMA3,0.016343043424449605,-0.0010612322359722778,0.06205087195727929,0.013857480280298366,-0.011592483982053379,0.06592263760065403,0.017390250977759796,0.015719684356202322,-0.09138589682998748,0.05229639397696359,-0.04662453848905436,0.003926695332973575
LAPTM5,0.07331087438016616,-0.04015250714390367,-0.007542740839664114,0.02351549804548006,0.05575660705234354,-0.03886154161895667,-0.038213469245351815,0.0030712524675812107,0.002144887465199305,0.005265031810008048,0.006639053729171195,-0.00039015311658052113
LCP1,0.0742091046311438,-0.04011592810615479,-0.020727198035088074,0.02216923899361261,0.03921806531203984,-0.04517720668237569,-0.02104296920222326,0.0188390310857744,-0.016998229409605565,0.01704220246390136,-0.007969161469280634,-0.003851715852474684
LGR4,-0.04430900225403729,-0.008075578623950039,0.02239047634489895,0.05288766418009478,-0.04020722766658724,-0.015895959796675754,0.04632702292133002,0.007662941178717575,-0.0012133083869866367,-0.06320790472019841,-0.028424769339586077,-0.03843254728454938
