,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
CARD11,0.29495695,-0.040451396,0.084652446,0.021633238,-0.12051328,0.13824847
CAV2,0.14835405,0.2603141,-0.06861738,0.013249171,0.0026124194,0.09290648
CBS,-0.14817181,-0.043453913,0.15820965,0.20666607,-0.062758096,0.0062498786
CCDC68,-0.06706138,0.025881346,0.1390515,0.010287726,-0.029754864,-0.09263697
CD248,0.03549727,0.22466981,0.20848958,0.036233004,0.08326162,-0.18346061
CD83,0.05228318,-0.08365867,0.08398417,0.09812049,-0.115961336,0.21078892
CD84,0.15171158,-0.19877812,0.083760865,-0.0006939173,0.4104554,0.0015585895
CDA,0.25385302,-0.04706887,-0.111770876,0.054698378,0.12036606,0.009188902
CDC42EP5,0.012040657,0.12904838,0.1753313,-0.16685638,0.0020314774,-0.04102316
CDH15,-0.03276432,-0.26661417,0.26621598,-0.0009841674,-0.001128159,-0.072480485
CDH23,-0.059238482,0.12130694,0.20986903,-0.010983047,-0.0016767927,0.13626039
CDO1,-0.05537903,0.05980074,0.1633483,-0.0131236315,-0.012576597,-0.22057807
CFI,0.18807434,0.033726748,0.060363486,-0.028965974,0.10979216,0.0010468324
CGNL1,0.028965008,0.21902229,0.16771354,0.0066934065,0.0038513984,0.12905997
CHAD,-0.0036999497,-0.06163881,0.3327421,-0.17440812,-0.004864662,-0.1240618
CHPF,-0.0025560828,0.18145442,0.11100684,-0.11488421,-0.013409433,0.011701978
CILP,0.050323915,0.14708917,0.08066028,-0.0010669833,-0.02789257,0.24293469
CLDN5,0.16436161,0.037527774,0.12220626,-0.11771265,-0.005093443,-0.0787256
CLIC3,0.055675566,0.094040275,0.13498048,-0.05341207,0.21657835,-0.054548856
CNTNAP1,-0.069932856,0.11362985,0.18213193,0.19544224,-0.0023354683,0.16168259
COBLL1,0.0031284413,0.100432195,0.10060273,0.0056700683,-0.14508425,0.16368178
COL11A1,-0.040311735,0.24023898,0.19185539,0.0074917204,0.003907493,-0.16986233
COL11A2,-0.14980933,-0.072988115,0.23373042,-0.021961259,-0.059839927,-0.30391467
COL12A1,-0.0021604472,0.2500295,0.17282042,0.0014608918,0.15849726,-0.10288237
COL13A1,-0.13336053,-0.20426066,0.3511702,-0.013614973,-0.052531842,-0.0037390988
COL14A1,0.021311834,0.34161916,0.11842083,0.026743257,-0.0043455493,-0.021470366
COL15A1,0.13634183,0.16500588,0.110914506,0.07768784,0.04758485,0.17110965
COL18A1,0.09514221,0.14467539,0.19458017,-0.005825363,0.0051643974,0.013384865
COL1A1,-0.049609553,0.16123065,0.29994735,-0.07286201,0.110232264,-0.1801952
COL22A1,-0.049993567,-0.24834232,0.31316862,-0.03493285,0.005554927,-0.27949095
COL2A1,-0.13927011,0.081451714,0.16384207,0.029041043,-0.004353885,-0.19732328
COL3A1,-0.01569698,0.36535344,0.13830358,0.0041567488,0.09654835,-0.08242604
COL5A1,-0.04767305,0.24619325,0.25157043,-0.009164137,0.14031199,-0.00021603018
COL5A3,0.040953655,0.10472081,0.18692039,-0.013137263,0.042225495,0.13510282
COL6A1,0.02974709,0.2961429,0.12919983,-0.016079647,0.10143957,0.29375836
COL6A3,0.00041865572,0.3061069,0.1583819,0.0315688,0.12381724,0.14263077
COMP,0.024621774,0.2797233,0.16651782,-0.056651637,-0.05440037,-0.04717026
CPE,-0.17676184,-0.1787346,0.36811602,-0.014436274,-0.082349986,-0.12009029
CPNE8,0.00022458112,-0.02309278,0.1446039,-0.00732775,-0.003091176,-0.08412944
CRYAB,-0.020354059,-0.06946789,0.11527372,-0.069503546,0.13412248,0.03244383
CSF1,0.18807623,-0.15610746,0.1033043,0.0019637612,0.20414253,0.15397172
CSPG4,-0.10427528,0.022168491,0.27681598,-0.022836145,0.019674916,0.11305658
CTHRC1,0.017790072,0.09560069,0.097212434,0.0155203985,0.15635252,-0.14927559
CTSK,0.14390658,-0.15510735,0.07026883,0.0013123504,0.4350523,0.029106025
CTSS,0.3486253,0.009362676,-0.0023463329,0.1312274,-0.15003504,-0.09023943
CXCL12,0.20207928,0.12684834,0.121233255,-0.012994176,-0.0053345766,0.03326259
CYBRD1,0.0108880075,0.12105133,0.19454443,-0.07125792,-0.03465007,0.3758847
CYGB,0.03685293,-0.10177199,0.24637958,-0.045138087,0.21081679,0.10443732
CYP51A1,-0.16294919,-0.018619837,-0.013452271,0.27561498,0.0118075805,0.2195225
DAAM2,-0.11931768,-0.0073837154,0.22498828,0.018814009,-0.069601424,0.18119721
DCN,0.04321094,0.22240973,0.15514265,-0.11158174,0.034772348,0.11998883
DDIT4L,0.014446376,0.21501407,0.11858349,-0.030087436,-0.093093745,0.13167569
DHRS3,0.12709,0.019435233,0.025882978,-0.010595582,-0.050760005,-0.23726872
DKK1,-0.033942055,-0.12826265,0.17780682,-0.019383516,-0.06601857,-0.22228825
DKK3,0.014787075,0.29420254,0.10506482,-0.009689915,0.0002687771,-0.009480649
DLX1,-0.16665517,-0.13457118,0.049083542,0.18492678,-0.09056191,-0.011676419
DLX3,-0.12067849,-0.3185549,0.29583597,0.0023629477,-0.06336521,-0.0036057371
DPP4,0.07004667,-0.16728441,0.08436655,-0.001753194,0.43303448,0.00076985266
DPT,0.034082368,0.08983998,0.20155351,-0.14385715,0.046170488,0.08832762
DTNA,-0.022898547,-0.0022298587,0.10915167,-0.0013507537,-0.17459767,-0.002622636
DUSP1,0.12148734,0.115468755,-0.081728384,-0.004086537,0.002474171,0.15080616
DUSP10,0.1494352,0.0813911,-0.040808894,0.1214147,0.10807188,0.18385221
DUSP2,0.14780837,-0.187977,-0.044943385,0.0066981404,0.3296621,-0.02084027
ECHDC2,0.012974926,0.011593865,0.102387555,-0.015265549,0.01038478,-0.113943204
ECM1,0.11549251,0.12420257,0.1658664,-0.042330164,0.03959081,0.15916696
ECM2,0.0032798748,0.27291244,0.16002497,-0.0020916152,0.045291714,0.12070366
EDIL3,-0.01870273,0.2604445,0.05570561,0.061494846,0.11903809,-0.13780202
EEF1A2,0.03580061,-0.087705486,0.06810731,-0.029431503,0.2277346,-0.049272884
EFEMP1,0.064728454,0.23016976,0.099198736,0.005681704,0.0059127035,-0.08315593
EMILIN1,-0.114764035,-0.03882881,0.20083664,0.15889618,0.08701878,0.042688355
ENC1,0.0014490025,0.009278481,0.14144917,0.1378347,-0.1448835,-0.084660985
ENO2,-0.023829963,0.11634089,0.0002940512,0.09592811,-0.00068917125,0.06873676
ENPEP,-0.07691775,0.07395021,0.20491178,0.13910611,0.02529219,0.07099397
ENPP2,0.013341868,-0.11808299,0.29179126,0.05925493,0.025726644,0.16236502
ENTPD3,-0.0052954475,-0.18206878,0.21876469,0.008050166,0.014849362,0.006058695
EPDR1,0.068685085,-0.08152059,0.16985855,-0.049576238,0.12800197,0.15052524
ESM1,-0.03417488,-0.073367484,0.026908357,0.07518299,-0.01021506,-0.02545794
F11R,0.18690716,0.04654401,0.12555334,-0.01877205,0.010602186,0.0024498473
FBLN1,0.014660908,0.15341765,0.1895165,-0.013865048,0.036763426,0.29207993
FBLN2,0.098184444,0.28343707,0.1591893,-0.007902041,-0.004944243,-0.049291257
FBLN5,0.028172296,0.19030763,0.22359098,-0.06634814,-0.0026277136,0.27081656
FBN1,0.11815008,0.27981943,0.13738203,0.00028954775,0.05653488,0.22733523
FBN2,-0.018828435,0.06641531,0.1604271,0.14488664,-0.0020215155,-0.2328922
FEZ1,-0.0458866,0.052755833,0.116763525,0.0044146315,-0.021389542,-0.17318583
FGFR1,-0.09479484,-0.08393531,0.2772298,0.0073146936,0.053330317,0.2677462
FLNC,-0.031568978,0.25642145,-0.015738867,0.10669123,0.0035887877,0.044993315
FNDC1,0.011173465,0.23675838,0.26186398,-0.09872573,0.018087357,-0.052713264
FOSB,0.0028964584,0.051095095,0.014836701,0.007574636,0.0071981647,0.14738798
FRAS1,0.0039121085,0.094807275,0.09509657,0.106415465,-0.033710722,-0.052468333
FZD1,-0.0022792832,0.3450889,0.086880356,0.051834594,0.05522895,-0.0062674545
FZD3,-0.095031165,0.006445337,0.051533476,0.1609786,0.017114615,-0.14721662
FZD7,-0.04219988,-0.07588613,0.14146616,0.06427624,0.013063068,0.331122
GABBR1,-0.08075573,0.055072114,0.1956823,-0.03966189,-0.059202287,0.028674548
GABRE,-0.0038243304,0.12536438,0.16818406,0.0014431119,-0.016242819,-0.1841519
GALNT3,-0.09938822,-0.19892398,0.26022494,-0.013618865,-0.053683568,0.061789546
GAS1,0.07505761,0.23286968,0.054136265,-0.03766268,0.095982686,0.14690584
GCNT1,0.042170815,0.057096284,0.008430139,0.14862208,-0.02012495,0.0011888953
GHR,-0.050183944,0.02719021,0.2933907,-0.07185906,-0.070707016,0.17781518
GIMAP4,0.33573905,-0.036586154,0.020208422,0.11796578,-0.2149507,-0.0741516
GIMAP7,0.31988654,-0.0068227663,0.03750079,0.1113212,-0.21475,-0.07285886
GJA1,-0.07005893,0.019097306,0.18931845,0.083889425,0.1754801,0.008051602
GLDN,0.020407308,-0.120027274,0.26985747,-0.07089244,0.003848017,0.31146178
GNPTAB,0.13410005,-0.1426853,0.098761365,0.04746105,0.38259557,0.09278982
GPC2,-0.06581774,-0.031461373,0.07924346,0.22522905,0.013033801,-0.10456375
GPC6,0.030335046,0.14212146,-0.00023273802,0.038498115,0.055936012,-0.119959556
GPR137B,0.12727582,-0.13434651,0.09585174,-0.007093999,0.41697326,0.082224704
GPR65,0.3360271,0.005178771,0.009754308,0.08595461,-0.12414141,-0.009621369
HAPLN1,-0.06629743,0.24632199,0.11928215,0.03372126,-0.00034556145,-0.17337137
HAS2,-0.012032877,0.2460827,0.029474769,0.1374887,0.015311235,-0.12650171
HERC5,0.13437767,-0.14831829,0.049105737,0.12028397,-0.016251473,0.21907705
HES4,-0.063105024,-0.13438362,0.21315347,0.05770147,-0.031333067,0.13803783
HEY1,-0.09969966,-0.22358534,0.15989156,0.046728298,-0.008288037,0.024939848
HEY2,-0.0014952475,-0.1535534,0.2557602,-0.023545807,0.06738485,0.25412998
HEYL,0.046097748,-0.053646088,0.2572767,0.010114978,0.0040782355,0.030741729
HK2,-0.0833698,0.09447202,-0.10153481,0.24354537,0.023273533,-0.02454729
HOXB8,-0.07745758,-0.06636036,0.1212713,0.014860615,-0.05272928,0.003753789
HS3ST3A1,-0.047153495,0.11142912,0.08744147,0.16386282,0.007609938,-0.0074134255
HSPA2,-0.071822144,-0.08105744,0.16464612,0.09489473,-0.057037055,0.21864405
HSPB6,-0.05009936,0.2095011,0.06177734,0.017313374,-0.008580641,-0.0013817182
HSPB8,-0.067985356,0.055683848,0.046372797,-0.02971001,-0.03084411,0.1445105
HYOU1,-0.074364856,-0.10502101,0.05186788,0.2693998,-0.0040870206,0.04272462
IBSP,-0.05832262,-0.22207767,0.2731065,-0.034339458,0.085807085,-0.332971
IGF2BP2,-0.0689996,-0.030943414,0.041093282,0.12882963,-0.0038029863,-0.026059644
IGFBP4,0.16955937,0.17099227,0.20424376,-0.0049728225,0.005642936,0.02589868
IGFBP5,-0.06798375,0.13031891,0.21228336,0.107511096,0.023518153,0.009750664
IL11RA,-0.002845693,0.22985168,0.1536592,0.03886122,-0.02374218,-0.16484542
IL1R1,0.052415304,0.04095938,0.18735121,-0.09548285,0.044715922,0.33199912
IL21R,0.20594153,-0.07733873,0.0771327,0.065084174,0.07618099,-0.03447895
INSIG1,0.018141776,-0.1196244,0.03486212,0.08975553,0.3675715,0.09890937
IRX2,-0.08993469,-0.011610446,0.108980425,0.103442684,-0.07475105,-0.026339458
IRX5,-0.1085702,-0.1758818,0.24714753,-0.05113576,-0.0011502209,0.020502128
ISG20,0.22502199,0.023291467,-0.043337815,0.14576663,-0.11009459,0.110722184
ITGA10,-0.120348655,-0.15154012,0.2550166,0.053629115,0.012040907,0.023787176
ITGA11,0.0024429269,0.17635247,0.13201131,-0.0050025247,0.19927439,0.1771688
ITGA2,0.07711089,-0.15045899,0.12638626,0.07488941,0.3208424,0.060723513
ITGAL,0.32456264,-0.050021548,0.027637161,0.17168112,-0.1293036,-0.033757303
ITGB2,0.35418686,-0.019946622,0.006903533,0.12639785,-0.042498074,-0.020434732
JDP2,0.07407449,-0.08731836,0.14888732,-0.04617984,0.41682255,0.10202226
JPH1,-0.060224175,0.10285404,0.0530718,4.4989385e-05,-0.120564915,-0.08242943
KCNG1,-0.13022652,-0.034838106,0.08040592,0.12618224,-0.003995787,-0.077311404
