,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
CSPG4,-0.098395444,0.19425035,0.26688367,-0.006570393,0.0008220254,0.11172713,0.00085339346,-0.14461918,-0.07082893
CTHRC1,0.014685804,0.15406474,0.1417549,0.07896283,0.0028746303,-0.22214717,-0.00175166,-0.2508626,-0.05085695
CTSK,0.15218353,0.13480987,0.085403964,0.4929433,0.00036345248,0.002562865,-0.003565345,-0.0065317824,0.0013544301
CTSS,0.3493415,-0.07898941,0.00077925273,-0.15614016,0.046906743,-0.05977222,-0.1878851,-0.10983712,-0.05122972
CXCL12,0.19964203,0.14779803,0.00019748394,-0.08568669,-0.014008918,-0.01715008,0.11931696,0.2879546,0.011232926
CYBRD1,0.0119218845,0.2877006,0.02770604,-0.13048479,-0.008643628,0.3259022,-0.001186498,-0.07801137,-0.16398153
CYGB,0.060517196,0.12170941,0.24855064,0.22265019,-0.015119597,0.09374325,0.1672304,0.051195428,0.130852
CYP51A1,-0.13354692,0.056991734,-0.008193773,0.019898377,0.32914874,0.1790059,-0.077457935,-0.17357585,-0.005286899
DAAM2,-0.10217021,0.10295635,0.17366123,-0.09196339,0.08401115,0.21846306,-0.02595729,0.057691965,0.024947232
DCN,0.016871339,0.366879,0.007255988,-0.084821746,-0.116941355,0.051348984,-0.19049351,-0.15595333,-0.12426292
DDIT4L,0.009137911,0.22461961,-0.024645932,-0.21799819,-0.01239648,0.07064296,0.001830531,0.17371434,-0.04956709
DHRS3,0.12101723,-0.07662478,0.006373079,-0.05627663,-0.05135316,-0.20576844,0.0063965493,0.18821357,-0.11930668
DKK1,-0.016192112,-0.15744352,0.26073205,-0.009510045,-0.023611424,-0.10765417,0.08548042,0.1164923,-0.13982716
DKK3,0.0037723803,0.2971475,0.001717757,-0.17080471,-0.0075831725,-0.14602874,-0.012414848,-0.09513174,-0.10923101
DLX1,-0.14016195,-0.16415276,0.12047199,-0.009275113,0.208545,0.037261445,-0.006341676,0.008470618,-0.033387817
DLX3,-0.09254121,-0.20535885,0.43617547,0.082806475,0.026187085,0.18671712,0.0075727655,0.00073502347,-0.027514752
DPP4,0.07629449,0.1167328,0.07891871,0.49997804,0.0022682608,-0.0005381171,0.008986061,0.09375733,-0.043499578
DPT,0.012793626,0.25293955,0.15263033,-0.009378775,-0.15224037,0.0835889,-0.17834058,-0.21764113,0.00040584637
DTNA,-0.016517073,-0.06872066,0.08312999,-0.16966502,0.0034014785,0.028796423,0.13531242,0.15172532,-0.26410294
DUSP1,0.11927931,0.09681355,-0.10345257,-0.05631883,-0.005346593,0.021481771,0.14390075,-0.2207025,-0.021120805
DUSP10,0.16485855,0.14114079,-0.09800932,0.040999804,0.11685773,0.03852283,0.11094353,-0.096204616,0.054121062
DUSP2,0.15736401,-0.0036429681,-0.044841833,0.41614306,-0.00042272755,-0.0027728132,0.0029460322,0.12723738,0.062051006
ECHDC2,0.009823346,0.035027668,0.111450545,0.005173092,-0.025480993,-0.09451695,-0.039362304,-0.022686575,-0.07426916
ECM1,0.11174121,0.2533502,0.073539235,-0.02944413,-0.03943594,0.07693828,0.019258903,-0.14796029,-0.0781705
ECM2,-0.001097714,0.37914294,0.00296931,-0.10999768,0.0027084735,-0.00040628284,-0.10530751,-0.008028542,0.10694746
EDIL3,-0.034603197,0.3048314,-0.048541803,-0.01560893,0.034505647,-0.23867024,-0.20523618,0.0211615,-0.023197843
EEF1A2,0.025376407,0.04151855,0.025935913,0.24235961,-0.008403566,-0.021752732,0.057437405,0.1591808,-0.087014176
EFEMP1,0.056677096,0.21014987,0.00018450014,-0.11627079,-4.5794677e-06,-0.18920967,0.026025886,0.06295808,-0.14859699
EMILIN1,-0.0898842,0.12851605,0.17015944,0.07097257,0.17933221,0.085126035,-0.21514042,0.05373862,0.26276538
ENC1,0.021561801,-0.0732767,0.14948104,-0.16940536,0.13802165,-0.07991013,0.122863844,0.13138753,-0.01909928
ENO2,-0.01946519,0.12210092,-0.08465517,-0.05947207,0.111769326,0.009019172,-0.0089619225,0.03621507,-0.11143386
ENPEP,-0.053121004,0.16869457,0.11661521,-0.018639578,0.18204086,0.022399511,0.036637764,0.16520084,0.08543156
ENPP2,0.040564246,0.088531874,0.2886002,0.0582806,0.08105431,0.2210605,-0.09037244,-0.008530154,0.1175371
ENTPD3,0.0092076855,-0.05489695,0.32711443,0.09751091,0.011375074,0.08459066,0.06765884,-0.19616298,-0.07480758
EPDR1,0.06734972,0.13399845,0.1530704,0.14620027,-0.047093816,0.17615901,-0.114076756,-0.09574785,-0.01987744
ESM1,-0.011053724,-0.101078264,0.12824667,-0.007236775,0.107967876,-0.033754893,0.2487517,-0.21193585,-0.108159006
F11R,0.19920994,0.06305258,0.14684919,-0.06393619,-0.013030853,-0.068689674,0.36049277,0.03397389,-0.0019534875
FBLN1,0.014595624,0.33116153,-0.0055293273,-0.040519085,0.0067160656,0.22189382,-0.022108817,0.25742918,0.068420015
